!21o -> 21f, beta-decay
!Q=8.105 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00       -0.893000            -6.270290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00       -0.892995            -6.270290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00       -0.892907            -6.270290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00       -0.892525            -6.269290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -0.884634            -6.256290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -0.811028            -6.132290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -0.192515            -5.286290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        2.016730            -2.653290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00       -0.892995            -6.270290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00       -0.892907            -6.270290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00       -0.892525            -6.269290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -0.884634            -6.256290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -0.811028            -6.132290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -0.192515            -5.286290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        2.016730            -2.653290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00       -0.892997            -6.270290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00       -0.892910            -6.270290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00       -0.892528            -6.269290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -0.884634            -6.256290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -0.811028            -6.132290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -0.192515            -5.286290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        2.016730            -2.653290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00       -0.893000            -6.270290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00       -0.892935            -6.270290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00       -0.892561            -6.269290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00       -0.884680            -6.256290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -0.811090            -6.132290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -0.192515            -5.286290             -100.00  
