!23ne -> 23f, e- capture
!Q=-8.48 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -69.276000      -75.801290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -49.429000      -55.793290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -33.769992      -39.948290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -25.813957      -31.859290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -17.677490      -23.527290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00      -10.866993      -16.454290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -5.148501      -10.342290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        0.261817       -4.424290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -68.863000      -75.388290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -49.407000      -55.771290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -33.767992      -39.947290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -25.813957      -31.858290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -17.677490      -23.527290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00      -10.866993      -16.454290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -5.148501      -10.342290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        0.261817       -4.424290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -67.915000      -74.439290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -49.201000      -55.565290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -33.753992      -39.932290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -25.810957      -31.855290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -17.677490      -23.527290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00      -10.866993      -16.454290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -5.148501      -10.342290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        0.261817       -4.424290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -66.909000      -73.433290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -48.379000      -54.743290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -33.611995      -39.791290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -25.778960      -31.824290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -17.671497      -23.521290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00      -10.866003      -16.453290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -5.147518      -10.341290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        0.261817       -4.424290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -65.843000      -72.367290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -47.348000      -53.712290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -32.878999      -39.057290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -25.490979      -31.535290             -100.00  
