!23ne -> 23na, beta-decay
!Q=4.376 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00       -1.743000            -7.174290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00       -1.742996            -7.174290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00       -1.742938            -7.174290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00       -1.738688            -7.169290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -1.705931            -7.125290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -1.507495            -6.863290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -0.774352            -5.936290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.581236            -3.104290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00       -1.742996            -7.174290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00       -1.742938            -7.174290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00       -1.738688            -7.169290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -1.705931            -7.125290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -1.507495            -6.863290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -0.774352            -5.936290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.581236            -3.104290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00       -1.743000            -7.174290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00       -1.742998            -7.174290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00       -1.742940            -7.174290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00       -1.738691            -7.169290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -1.705936            -7.125290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -1.507528            -6.863290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -0.774352            -5.936290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        1.581236            -3.104290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00       -1.744000            -7.175290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00       -1.744000            -7.175290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00       -1.744000            -7.175290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00       -1.744000            -7.174290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00       -1.744000            -7.174290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00       -1.744000            -7.174290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00       -1.742956            -7.174290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00       -1.738712            -7.169290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00       -1.705959            -7.125290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -1.507528            -6.863290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -0.774671            -5.936290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        1.581236            -3.104290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00       -1.744000            -7.176290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00       -1.744000            -7.176290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00       -1.744000            -7.176290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00       -1.744000            -7.176290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00       -1.744000            -7.176290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00       -1.744000            -7.175290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00       -1.742992            -7.174290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00       -1.739851            -7.170290             -100.00  
       5.000000        9.477121    5.607618e-08            0.00            0.00       -1.706189            -7.126290             -100.00  
       5.000000        9.698970    1.441959e-08            0.00            0.00       -1.507788            -6.864290             -100.00  
       5.000000       10.000000    3.204353e-09            0.00            0.00       -0.774671            -5.936290             -100.00  
       5.000000       10.477121    0.000000e+00            0.00            0.00        1.581236            -3.104290             -100.00  
       6.000000        7.000000    1.163180e-06            0.00            0.00       -1.749000            -7.184290             -100.00  
       6.000000        8.000000    1.161578e-06            0.00            0.00       -1.749000            -7.184290             -100.00  
       6.000000        8.301030    1.159976e-06            0.00            0.00       -1.749000            -7.184290             -100.00  
       6.000000        8.602060    1.150363e-06            0.00            0.00       -1.749000            -7.184290             -100.00  
       6.000000        8.845098    1.121524e-06            0.00            0.00       -1.749000            -7.184290             -100.00  
       6.000000        9.000000    1.076663e-06            0.00            0.00       -1.749000            -7.183290             -100.00  
       6.000000        9.176091    9.677147e-07            0.00            0.00       -1.747999            -7.182290             -100.00  
       6.000000        9.301030    8.203144e-07            0.00            0.00       -1.743984            -7.176290             -100.00  
       6.000000        9.477121    4.790508e-07            0.00            0.00       -1.710331            -7.133290             -100.00  
       6.000000        9.698970    1.457981e-07            0.00            0.00       -1.511120            -6.871290             -100.00  
       6.000000       10.000000    3.204353e-08            0.00            0.00       -0.778200            -5.940290             -100.00  
       6.000000       10.477121    3.204353e-09            0.00            0.00        1.580264            -3.104290             -100.00  
       7.000000        7.000000    1.959462e-06            0.00            0.00       -1.786000            -7.245290             -100.00  
       7.000000        8.000000    1.957860e-06            0.00            0.00       -1.786000            -7.245290             -100.00  
       7.000000        8.301030    1.957860e-06            0.00            0.00       -1.786000            -7.245290             -100.00  
       7.000000        8.602060    1.953053e-06            0.00            0.00       -1.786000            -7.245290             -100.00  
       7.000000        8.845098    1.941838e-06            0.00            0.00       -1.786000            -7.244290             -100.00  
       7.000000        9.000000    1.922612e-06            0.00            0.00       -1.786000            -7.243290             -100.00  
       7.000000        9.176091    1.879353e-06            0.00            0.00       -1.784000            -7.240290             -100.00  
       7.000000        9.301030    1.815266e-06            0.00            0.00       -1.779000            -7.232290             -100.00  
       7.000000        9.477121    1.635822e-06            0.00            0.00       -1.741956            -7.182290             -100.00  
       7.000000        9.698970    1.118319e-06            0.00            0.00       -1.536865            -6.914290             -100.00  
       7.000000       10.000000    3.140266e-07            0.00            0.00       -0.806337            -5.980290             -100.00  
       7.000000       10.477121    3.364571e-08            0.00            0.00        1.577348            -3.107290             -100.00  
       8.000000        7.000000    3.920526e-06            0.00            0.00       -2.064000            -7.655290             -100.00  
       8.000000        8.000000    3.920526e-06            0.00            0.00       -2.064000            -7.655290             -100.00  
       8.000000        8.301030    3.918924e-06            0.00            0.00       -2.063000            -7.655290             -100.00  
       8.000000        8.602060    3.917322e-06            0.00            0.00       -2.063000            -7.654290             -100.00  
       8.000000        8.845098    3.912515e-06            0.00            0.00       -2.062000            -7.651290             -100.00  
       8.000000        9.000000    3.904504e-06            0.00            0.00       -2.060000            -7.647290             -100.00  
       8.000000        9.176091    3.883676e-06            0.00            0.00       -2.054000            -7.636290             -100.00  
       8.000000        9.301030    3.854837e-06            0.00            0.00       -2.042000            -7.616290             -100.00  
       8.000000        9.477121    3.773126e-06            0.00            0.00       -1.982000            -7.522290             -100.00  
       8.000000        9.698970    3.511971e-06            0.00            0.00       -1.706855            -7.143290             -100.00  
       8.000000       10.000000    2.392050e-06            0.00            0.00       -0.961507            -6.202290             -100.00  
       8.000000       10.477121    3.348549e-07            0.00            0.00        1.547098            -3.138290             -100.00  
       9.000000        7.000000    8.299275e-06            0.00            0.00      -99.698970          -105.795290             -100.00  
       9.000000        8.000000    8.299275e-06            0.00            0.00      -23.185000           -30.569290             -100.00  
       9.000000        8.301030    8.299275e-06            0.00            0.00      -14.887000           -21.971290             -100.00  
       9.000000        8.602060    8.299275e-06            0.00            0.00      -10.290000           -17.076290             -100.00  
       9.000000        8.845098    8.296071e-06            0.00            0.00       -7.980000           -14.524290             -100.00  
       9.000000        9.000000    8.292866e-06            0.00            0.00       -6.863000           -13.224290             -100.00  
       9.000000        9.176091    8.283253e-06            0.00            0.00       -5.734000           -11.867290             -100.00  
       9.000000        9.301030    8.268834e-06            0.00            0.00       -4.983000           -10.972290             -100.00  
       9.000000        9.477121    8.231984e-06            0.00            0.00       -3.982000            -9.788290             -100.00  
       9.000000        9.698970    8.110218e-06            0.00            0.00       -2.819998            -8.415290             -100.00  
       9.000000       10.000000    7.543048e-06            0.00            0.00       -1.465013            -6.799290             -100.00  
       9.000000       10.477121    3.159492e-06            0.00            0.00        1.264314            -3.428290             -100.00  
      10.000000        7.000000    1.781300e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      10.000000        8.000000    1.781300e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      10.000000        8.301030    1.781300e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      10.000000        8.602060    1.781300e-05            0.00            0.00      -83.348000           -90.128290             -100.00  
      10.000000        8.845098    1.781140e-05            0.00            0.00      -48.965000           -55.501290             -100.00  
      10.000000        9.000000    1.780980e-05            0.00            0.00      -35.032000           -41.413290             -100.00  
      10.000000        9.176091    1.780499e-05            0.00            0.00      -24.010000           -30.216290             -100.00  
      10.000000        9.301030    1.779858e-05            0.00            0.00      -18.367000           -24.447290             -100.00  
      10.000000        9.477121    1.778096e-05            0.00            0.00      -12.531000           -18.432290             -100.00  
      10.000000        9.698970    1.772488e-05            0.00            0.00       -7.587000           -13.271290             -100.00  
      10.000000       10.000000    1.746052e-05            0.00            0.00       -3.569712            -8.992290             -100.00  
      10.000000       10.477121    1.468074e-05            0.00            0.00        0.132226            -4.607290             -100.00  
      11.000000        7.000000    3.834650e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      11.000000        8.000000    3.834650e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      11.000000        8.301030    3.834650e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      11.000000        8.602060    3.834650e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      11.000000        8.845098    3.834489e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      11.000000        9.000000    3.834489e-05            0.00            0.00      -99.151601          -105.610290             -100.00  
      11.000000        9.176091    3.834169e-05            0.00            0.00      -66.707000           -72.924290             -100.00  
      11.000000        9.301030    3.834009e-05            0.00            0.00      -50.304000           -56.399290             -100.00  
      11.000000        9.477121    3.833047e-05            0.00            0.00      -33.731000           -39.657290             -100.00  
      11.000000        9.698970    3.830484e-05            0.00            0.00      -20.235000           -25.955290             -100.00  
      11.000000       10.000000    3.818307e-05            0.00            0.00       -9.847835           -15.308290             -100.00  
      11.000000       10.477121    3.687410e-05            0.00            0.00       -2.138299            -6.914290             -100.00  
