!24na -> 24mg, beta-decay
!Q=5.514 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00       -4.905000           -10.778290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00       -4.905000           -10.778290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00       -4.905000           -10.778290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00       -4.905000           -10.777290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00       -4.794998           -10.472290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00       -4.260977            -9.668290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00       -3.500903            -8.846290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00       -3.038734            -8.366290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -2.416964            -7.710290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -1.716950            -6.979290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -1.011777            -6.178290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.319421            -3.383290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00       -4.905000           -10.778290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00       -4.905000           -10.778290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00       -4.905000           -10.778290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00       -4.905000           -10.777290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00       -4.794999           -10.472290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00       -4.260978            -9.668290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00       -3.500903            -8.846290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00       -3.038734            -8.366290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -2.416964            -7.710290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -1.716950            -6.979290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -1.011777            -6.178290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.319421            -3.383290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00       -4.906000           -10.778290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00       -4.905000           -10.778290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00       -4.905000           -10.778290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00       -4.905000           -10.777290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00       -4.795000           -10.472290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00       -4.260986            -9.668290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00       -3.500907            -8.846290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00       -3.038736            -8.366290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -2.416964            -7.710290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -1.716950            -6.979290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -1.011777            -6.178290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        1.319421            -3.383290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00       -4.907000           -10.781290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00       -4.907000           -10.780290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00       -4.907000           -10.780290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00       -4.906000           -10.778290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00       -4.795000           -10.472290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00       -4.260998            -9.668290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00       -3.500933            -8.846290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00       -3.038754            -8.366290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00       -2.416976            -7.710290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -1.716964            -6.979290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -1.011777            -6.178290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        1.319421            -3.383290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00       -4.916000           -10.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00       -4.915000           -10.794290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00       -4.915000           -10.794290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00       -4.914000           -10.791290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00       -4.801000           -10.478290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00       -4.262000            -9.669290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00       -3.500988            -8.847290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00       -3.038873            -8.367290             -100.00  
       5.000000        9.477121    5.607618e-08            0.00            0.00       -2.417094            -7.710290             -100.00  
       5.000000        9.698970    1.441959e-08            0.00            0.00       -1.717073            -6.979290             -100.00  
       5.000000       10.000000    3.204353e-09            0.00            0.00       -1.011992            -6.178290             -100.00  
       5.000000       10.477121    0.000000e+00            0.00            0.00        1.319421            -3.383290             -100.00  
       6.000000        7.000000    1.163180e-06            0.00            0.00       -4.973000           -10.885290             -100.00  
       6.000000        8.000000    1.161578e-06            0.00            0.00       -4.973000           -10.885290             -100.00  
       6.000000        8.301030    1.159976e-06            0.00            0.00       -4.973000           -10.884290             -100.00  
       6.000000        8.602060    1.150363e-06            0.00            0.00       -4.971000           -10.879290             -100.00  
       6.000000        8.845098    1.121524e-06            0.00            0.00       -4.843000           -10.519290             -100.00  
       6.000000        9.000000    1.076663e-06            0.00            0.00       -4.276000            -9.679290             -100.00  
       6.000000        9.176091    9.677147e-07            0.00            0.00       -3.504999            -8.851290             -100.00  
       6.000000        9.301030    8.203144e-07            0.00            0.00       -3.041986            -8.371290             -100.00  
       6.000000        9.477121    4.790508e-07            0.00            0.00       -2.419666            -7.714290             -100.00  
       6.000000        9.698970    1.457981e-07            0.00            0.00       -1.719053            -6.982290             -100.00  
       6.000000       10.000000    3.204353e-08            0.00            0.00       -1.013909            -6.182290             -100.00  
       6.000000       10.477121    3.204353e-09            0.00            0.00        1.319421            -3.383290             -100.00  
       7.000000        7.000000    1.959462e-06            0.00            0.00       -5.415000           -11.527290             -100.00  
       7.000000        8.000000    1.957860e-06            0.00            0.00       -5.415000           -11.526290             -100.00  
       7.000000        8.301030    1.957860e-06            0.00            0.00       -5.413000           -11.522290             -100.00  
       7.000000        8.602060    1.953053e-06            0.00            0.00       -5.406000           -11.504290             -100.00  
       7.000000        8.845098    1.941838e-06            0.00            0.00       -5.126000           -10.722290             -100.00  
       7.000000        9.000000    1.922612e-06            0.00            0.00       -4.353000            -9.734290             -100.00  
       7.000000        9.176091    1.879353e-06            0.00            0.00       -3.535000            -8.889290             -100.00  
       7.000000        9.301030    1.815266e-06            0.00            0.00       -3.064000            -8.404290             -100.00  
       7.000000        9.477121    1.635822e-06            0.00            0.00       -2.435979            -7.739290             -100.00  
       7.000000        9.698970    1.118319e-06            0.00            0.00       -1.732720            -7.004290             -100.00  
       7.000000       10.000000    3.140266e-07            0.00            0.00       -1.033993            -6.212290             -100.00  
       7.000000       10.477121    3.364571e-08            0.00            0.00        1.316465            -3.386290             -100.00  
       8.000000        7.000000    3.920526e-06            0.00            0.00      -99.698970          -105.795290             -100.00  
       8.000000        8.000000    3.920526e-06            0.00            0.00      -26.108000           -31.501290             -100.00  
       8.000000        8.301030    3.918924e-06            0.00            0.00      -14.207000           -19.600290             -100.00  
       8.000000        8.602060    3.917322e-06            0.00            0.00       -8.228000           -13.628290             -100.00  
       8.000000        8.845098    3.912515e-06            0.00            0.00       -5.619000           -11.032290             -100.00  
       8.000000        9.000000    3.904504e-06            0.00            0.00       -4.554000            -9.975290             -100.00  
       8.000000        9.176091    3.883676e-06            0.00            0.00       -3.701000            -9.124290             -100.00  
       8.000000        9.301030    3.854837e-06            0.00            0.00       -3.218000            -8.622290             -100.00  
       8.000000        9.477121    3.773126e-06            0.00            0.00       -2.560000            -7.916290             -100.00  
       8.000000        9.698970    3.511971e-06            0.00            0.00       -1.828950            -7.144290             -100.00  
       8.000000       10.000000    2.392050e-06            0.00            0.00       -1.147133            -6.383290             -100.00  
       8.000000       10.477121    3.348549e-07            0.00            0.00        1.285860            -3.418290             -100.00  
       9.000000        7.000000    8.299275e-06            0.00            0.00      -99.698970          -105.795290             -100.00  
       9.000000        8.000000    8.299275e-06            0.00            0.00      -27.272000           -33.083290             -100.00  
       9.000000        8.301030    8.299275e-06            0.00            0.00      -15.372000           -21.182290             -100.00  
       9.000000        8.602060    8.299275e-06            0.00            0.00       -9.421000           -15.229290             -100.00  
       9.000000        8.845098    8.296071e-06            0.00            0.00       -6.865000           -12.668290             -100.00  
       9.000000        9.000000    8.292866e-06            0.00            0.00       -5.834000           -11.629290             -100.00  
       9.000000        9.176091    8.283253e-06            0.00            0.00       -4.962000           -10.711290             -100.00  
       9.000000        9.301030    8.268834e-06            0.00            0.00       -4.345000           -10.017290             -100.00  
       9.000000        9.477121    8.231984e-06            0.00            0.00       -3.444000            -9.035290             -100.00  
       9.000000        9.698970    8.110218e-06            0.00            0.00       -2.532000            -8.046290             -100.00  
       9.000000       10.000000    7.543048e-06            0.00            0.00       -1.609371            -6.956290             -100.00  
       9.000000       10.477121    3.159492e-06            0.00            0.00        0.997614            -3.710290             -100.00  
      10.000000        7.000000    1.781300e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      10.000000        8.000000    1.781300e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      10.000000        8.301030    1.781300e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      10.000000        8.602060    1.781300e-05            0.00            0.00      -69.579000           -76.363290             -100.00  
      10.000000        8.845098    1.781140e-05            0.00            0.00      -41.350000           -47.893290             -100.00  
      10.000000        9.000000    1.780980e-05            0.00            0.00      -29.888000           -36.278290             -100.00  
      10.000000        9.176091    1.780499e-05            0.00            0.00      -20.813000           -27.028290             -100.00  
      10.000000        9.301030    1.779858e-05            0.00            0.00      -16.172000           -22.260290             -100.00  
      10.000000        9.477121    1.778096e-05            0.00            0.00      -11.379000           -17.287290             -100.00  
      10.000000        9.698970    1.772488e-05            0.00            0.00       -7.289000           -12.986290             -100.00  
      10.000000       10.000000    1.746052e-05            0.00            0.00       -3.856782            -9.302290             -100.00  
      10.000000       10.477121    1.468074e-05            0.00            0.00       -0.172218            -4.903290             -100.00  
      11.000000        7.000000    3.834650e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      11.000000        8.000000    3.834650e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      11.000000        8.301030    3.834650e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
      11.000000        8.602060    3.834650e-05            0.00            0.00      -99.698970          -105.795290             -100.00  
