!27al -> 27mg, e- capture
!Q=-2.611 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -77.028000      -84.103290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -43.691000      -50.458290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -28.598000      -35.113290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -21.416000      -27.767290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -15.597000      -21.759290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -12.554994      -18.579290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -9.316661      -15.142290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -6.360699      -11.922290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -3.085289       -8.223290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.137900       -3.512290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -76.028000      -83.103290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -42.691000      -49.458290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -28.185000      -34.700290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -21.394000      -27.745290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -15.596000      -21.757290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -12.553994      -18.578290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -9.316661      -15.142290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -6.360699      -11.922290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -3.085289       -8.223290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.137900       -3.512290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -75.022000      -82.097290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -41.689000      -48.456290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -27.236000      -33.751290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -21.188000      -27.539290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -15.581000      -21.743290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -12.550994      -18.575290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -9.315662      -15.141290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -6.360699      -11.922290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -3.085289       -8.223290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        1.137900       -3.512290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -73.967000      -81.042290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -40.671000      -47.438290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -26.230000      -32.745290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -20.366000      -26.717290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -15.440000      -21.601290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -12.519995      -18.543290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00       -9.310666      -15.136290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -6.359725      -11.921290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -3.085289       -8.223290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        1.137900       -3.512290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -72.464000      -79.539290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -39.500000      -46.268290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -25.164000      -31.679290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -19.335000      -25.686290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -14.706000      -20.868290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -12.230997      -18.255290             -100.00  
