!27al -> 27si, beta-decay
!Q=-4.812 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -61.995000           -68.768290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -35.506000           -42.030290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -25.682000           -32.046290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -17.898998           -24.079290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -13.883991           -19.931290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -9.686922           -15.543290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -6.021425           -11.632290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -2.705328            -7.970290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        0.910706            -3.814290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -62.995000           -69.768290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -35.919000           -42.444290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -25.703000           -32.068290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -17.900998           -24.081290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -13.883991           -19.932290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -9.686922           -15.543290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -6.021425           -11.632290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -2.705328            -7.970290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        0.910706            -3.814290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -63.997000           -70.770290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -36.867000           -43.392290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -25.910000           -32.274290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -17.914998           -24.095290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -13.886991           -19.935290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -9.686922           -15.544290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -6.021425           -11.632290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -2.705328            -7.970290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        0.910706            -3.814290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -65.015000           -71.788290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -37.872999           -44.398290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -26.730999           -33.096290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -18.056997           -24.237290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -13.918990           -19.966290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00       -9.692921           -15.549290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -6.022424           -11.633290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -2.705328            -7.970290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        0.910706            -3.814290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -66.186000           -72.958290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -38.939994           -45.464290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -27.762987           -34.127290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -18.789985           -24.971290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -14.207981           -20.255290             -100.00  
