!27mg -> 27na, e- capture
!Q=-8.94 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -71.453000      -77.982290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -50.607000      -56.978290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -34.177999      -40.368290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -25.844993      -31.904290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -17.356922      -23.229290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00      -10.351822      -15.980290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -4.715285       -9.975290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        0.381735       -4.315290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -71.040000      -77.569290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -50.585000      -56.957290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -34.176999      -40.366290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -25.844993      -31.904290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -17.356922      -23.229290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00      -10.351822      -15.980290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -4.715285       -9.975290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        0.381735       -4.315290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -70.092000      -76.621290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -50.380000      -56.751290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -34.161999      -40.351290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -25.841994      -31.901290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -17.356922      -23.229290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00      -10.351822      -15.980290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -4.715285       -9.975290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        0.381735       -4.315290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -69.085000      -75.615290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -49.558000      -55.929290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -34.019999      -40.210290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -25.809994      -31.869290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -17.350923      -23.223290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00      -10.350822      -15.979290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -4.715277       -9.975290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        0.381735       -4.315290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -68.019000      -74.548290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -48.526000      -54.897290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -33.287000      -39.476290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -25.521997      -31.581290             -100.00  
