!30p -> 30si, e- capture
!Q=4.226 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00       -2.351997       -7.900290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00       -2.351999       -7.900290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00       -2.351999       -7.900290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00       -2.351999       -7.900290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00       -2.351998       -7.900290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00       -2.348953       -7.897290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00       -2.314348       -7.855290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00       -2.229237       -7.752290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -2.017462       -7.501290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -1.705481       -7.074290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -0.899611       -5.934290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.592083       -3.030290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00       -2.351967       -7.900290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00       -2.351989       -7.900290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00       -2.351992       -7.900290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00       -2.351993       -7.900290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00       -2.351994       -7.900290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00       -2.348950       -7.897290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00       -2.314346       -7.855290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00       -2.229237       -7.752290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -2.017429       -7.501290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -1.705481       -7.074290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -0.899611       -5.934290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.592083       -3.030290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00       -2.351756       -7.900290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00       -2.351888       -7.900290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00       -2.351916       -7.900290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00       -2.351934       -7.900290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00       -2.351944       -7.900290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00       -2.348920       -7.897290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00       -2.314323       -7.855290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00       -2.229211       -7.752290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -2.017429       -7.501290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -1.705481       -7.074290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -0.899611       -5.934290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        1.592083       -3.030290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00       -2.350741       -7.897290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00       -2.351002       -7.898290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00       -2.351192       -7.898290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00       -2.351352       -7.899290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00       -2.351441       -7.899290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00       -2.348476       -7.896290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00       -2.314066       -7.854290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00       -2.229006       -7.752290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00       -2.017263       -7.500290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -1.705481       -7.074290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -0.899611       -5.934290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        1.592083       -3.030290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00       -2.345218       -7.885290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00       -2.345295       -7.885290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00       -2.345550       -7.885290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00       -2.346087       -7.887290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00       -2.346604       -7.888290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00       -2.343892       -7.885290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00       -2.310143       -7.845290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00       -2.226286       -7.745290             -100.00  
       5.000000        9.477121    5.607618e-08            0.00            0.00       -2.014462       -7.496290             -100.00  
       5.000000        9.698970    1.441959e-08            0.00            0.00       -1.703965       -7.071290             -100.00  
       5.000000       10.000000    3.204353e-09            0.00            0.00       -0.898611       -5.933290             -100.00  
       5.000000       10.477121    0.000000e+00            0.00            0.00        1.592083       -3.030290             -100.00  
       6.000000        7.000000    1.163180e-06            0.00            0.00       -2.305715       -7.799290             -100.00  
       6.000000        8.000000    1.161578e-06            0.00            0.00       -2.305715       -7.799290             -100.00  
       6.000000        8.301030    1.159976e-06            0.00            0.00       -2.305715       -7.799290             -100.00  
       6.000000        8.602060    1.150363e-06            0.00            0.00       -2.305715       -7.799290             -100.00  
       6.000000        8.845098    1.121524e-06            0.00            0.00       -2.305816       -7.799290             -100.00  
       6.000000        9.000000    1.076663e-06            0.00            0.00       -2.302917       -7.795290             -100.00  
       6.000000        9.176091    9.677147e-07            0.00            0.00       -2.270208       -7.757290             -100.00  
       6.000000        9.301030    8.203144e-07            0.00            0.00       -2.189781       -7.665290             -100.00  
       6.000000        9.477121    4.790508e-07            0.00            0.00       -1.988058       -7.438290             -100.00  
       6.000000        9.698970    1.457981e-07            0.00            0.00       -1.686947       -7.038290             -100.00  
       6.000000       10.000000    3.204353e-08            0.00            0.00       -0.892793       -5.926290             -100.00  
       6.000000       10.477121    3.204353e-09            0.00            0.00        1.593062       -3.030290             -100.00  
       7.000000        7.000000    1.959462e-06            0.00            0.00       -2.017792       -7.321290             -100.00  
       7.000000        8.000000    1.957860e-06            0.00            0.00       -2.017792       -7.321290             -100.00  
       7.000000        8.301030    1.957860e-06            0.00            0.00       -2.017792       -7.321290             -100.00  
       7.000000        8.602060    1.953053e-06            0.00            0.00       -2.017255       -7.319290             -100.00  
       7.000000        8.845098    1.941838e-06            0.00            0.00       -2.015640       -7.317290             -100.00  
       7.000000        9.000000    1.922612e-06            0.00            0.00       -2.011021       -7.311290             -100.00  
       7.000000        9.176091    1.879353e-06            0.00            0.00       -1.981329       -7.276290             -100.00  
       7.000000        9.301030    1.815266e-06            0.00            0.00       -1.912597       -7.199290             -100.00  
       7.000000        9.477121    1.635822e-06            0.00            0.00       -1.737877       -7.006290             -100.00  
       7.000000        9.698970    1.118319e-06            0.00            0.00       -1.488970       -6.711290             -100.00  
       7.000000       10.000000    3.140266e-07            0.00            0.00       -0.827814       -5.849290             -100.00  
       7.000000       10.477121    3.364571e-08            0.00            0.00        1.596021       -3.027290             -100.00  
       8.000000        7.000000    3.920526e-06            0.00            0.00       -1.064025       -6.202290             -100.00  
       8.000000        8.000000    3.920526e-06            0.00            0.00       -1.064025       -6.202290             -100.00  
       8.000000        8.301030    3.918924e-06            0.00            0.00       -1.064025       -6.202290             -100.00  
       8.000000        8.602060    3.917322e-06            0.00            0.00       -1.064025       -6.201290             -100.00  
       8.000000        8.845098    3.912515e-06            0.00            0.00       -1.062128       -6.199290             -100.00  
       8.000000        9.000000    3.904504e-06            0.00            0.00       -1.059128       -6.195290             -100.00  
       8.000000        9.176091    3.883676e-06            0.00            0.00       -1.040293       -6.171290             -100.00  
       8.000000        9.301030    3.854837e-06            0.00            0.00       -0.996015       -6.115290             -100.00  
       8.000000        9.477121    3.773126e-06            0.00            0.00       -0.871735       -5.963290             -100.00  
       8.000000        9.698970    3.511971e-06            0.00            0.00       -0.674224       -5.726290             -100.00  
       8.000000       10.000000    2.392050e-06            0.00            0.00       -0.318378       -5.281290             -100.00  
       8.000000       10.477121    3.348549e-07            0.00            0.00        1.625502       -2.996290             -100.00  
       9.000000        7.000000    8.299275e-06            0.00            0.00        0.338886       -4.684290             -100.00  
       9.000000        8.000000    8.299275e-06            0.00            0.00        0.338886       -4.684290             -100.00  
       9.000000        8.301030    8.299275e-06            0.00            0.00        0.338886       -4.683290             -100.00  
       9.000000        8.602060    8.299275e-06            0.00            0.00        0.338886       -4.683290             -100.00  
       9.000000        8.845098    8.296071e-06            0.00            0.00        0.339884       -4.682290             -100.00  
       9.000000        9.000000    8.292866e-06            0.00            0.00        0.340888       -4.680290             -100.00  
       9.000000        9.176091    8.283253e-06            0.00            0.00        0.351936       -4.665290             -100.00  
       9.000000        9.301030    8.268834e-06            0.00            0.00        0.378067       -4.628290             -100.00  
       9.000000        9.477121    8.231984e-06            0.00            0.00        0.458413       -4.522290             -100.00  
       9.000000        9.698970    8.110218e-06            0.00            0.00        0.596794       -4.350290             -100.00  
       9.000000       10.000000    7.543048e-06            0.00            0.00        0.839353       -4.052290             -100.00  
       9.000000       10.477121    3.159492e-06            0.00            0.00        1.903758       -2.712290             -100.00  
      10.000000        7.000000    1.781300e-05            0.00            0.00        2.161013       -2.748290             -100.00  
      10.000000        8.000000    1.781300e-05            0.00            0.00        2.161013       -2.748290             -100.00  
      10.000000        8.301030    1.781300e-05            0.00            0.00        2.161013       -2.748290             -100.00  
      10.000000        8.602060    1.781300e-05            0.00            0.00        2.161013       -2.748290             -100.00  
      10.000000        8.845098    1.781140e-05            0.00            0.00        2.161013       -2.747290             -100.00  
      10.000000        9.000000    1.780980e-05            0.00            0.00        2.162013       -2.747290             -100.00  
      10.000000        9.176091    1.780499e-05            0.00            0.00        2.165014       -2.740290             -100.00  
      10.000000        9.301030    1.779858e-05            0.00            0.00        2.175017       -2.724290             -100.00  
      10.000000        9.477121    1.778096e-05            0.00            0.00        2.204025       -2.675290             -100.00  
      10.000000        9.698970    1.772488e-05            0.00            0.00        2.262039       -2.583290             -100.00  
      10.000000       10.000000    1.746052e-05            0.00            0.00        2.380068       -2.414290             -100.00  
      10.000000       10.477121    1.468074e-05            0.00            0.00        2.938470       -1.632290             -100.00  
      11.000000        7.000000    3.834650e-05            0.00            0.00        4.176000       -0.434290             -100.00  
      11.000000        8.000000    3.834650e-05            0.00            0.00        4.176000       -0.434290             -100.00  
