!30si -> 30p, beta-decay
!Q=-4.226 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -55.502000           -62.275290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -32.174000           -38.697290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -23.610999           -29.973290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -16.784981           -22.958290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -13.198915           -19.235290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -9.322625           -15.165290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -5.784211           -11.378290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -2.445132            -7.687290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.147401            -3.563290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -56.502000           -63.275290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -32.587000           -39.110290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -23.632999           -29.994290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -16.786981           -22.960290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -13.198915           -19.236290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -9.322625           -15.165290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -5.784211           -11.378290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -2.445132            -7.687290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.147401            -3.563290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -57.504000           -64.277290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -33.535000           -40.059290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -23.838999           -30.200290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -16.800981           -22.974290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -13.201915           -19.239290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -9.322625           -15.166290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -5.784211           -11.378290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -2.445132            -7.687290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        1.147401            -3.563290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -58.522000           -65.294290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -34.541997           -41.065290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -24.660991           -31.022290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -16.942973           -23.116290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -13.233908           -19.270290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00       -9.328620           -15.171290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -5.785205           -11.379290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -2.445132            -7.687290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        1.147401            -3.563290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -59.693000           -66.465290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -35.607972           -42.131290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -25.691913           -32.054290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -17.676860           -23.849290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -13.521824           -19.559290             -100.00  
