!32cl -> 32s, e- capture
!Q=12.687 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00        0.148001       -5.083290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00        0.148000       -5.083290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00        0.148000       -5.083290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00        0.148000       -5.083290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00        0.148000       -5.083290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00        0.148009       -5.084290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00        0.147130       -5.085290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00        0.147583       -5.084290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00        0.155468       -5.069290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00        0.203495       -4.984290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00        0.502056       -4.510290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        2.220377       -2.373290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00        0.148007       -5.083290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00        0.148002       -5.083290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00        0.148002       -5.083290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00        0.148001       -5.083290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00        0.148001       -5.083290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00        0.148010       -5.084290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00        0.147130       -5.085290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00        0.147583       -5.084290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00        0.155468       -5.069290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00        0.203495       -4.984290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00        0.502056       -4.510290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        2.220377       -2.373290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00        0.148052       -5.083290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00        0.148024       -5.083290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00        0.148018       -5.083290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00        0.148013       -5.083290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00        0.148011       -5.083290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00        0.148016       -5.084290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00        0.147134       -5.085290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00        0.147587       -5.084290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00        0.155476       -5.069290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00        0.203495       -4.984290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00        0.502056       -4.510290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        2.220377       -2.373290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00        0.148270       -5.083290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00        0.148212       -5.083290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00        0.148169       -5.083290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00        0.148133       -5.083290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00        0.148112       -5.083290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00        0.148103       -5.084290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00        0.147186       -5.085290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00        0.147630       -5.084290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00        0.155516       -5.069290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00        0.203548       -4.984290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00        0.502056       -4.510290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        2.220377       -2.373290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00        0.149416       -5.081290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00        0.149397       -5.081290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00        0.149340       -5.081290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00        0.149211       -5.081290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00        0.149082       -5.082290             -100.00  
