!33ar -> 33cl, e- capture
!Q=11.606 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00        0.624001       -4.549290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00        0.624000       -4.549290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00        0.624000       -4.549290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00        0.624000       -4.549290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00        0.624000       -4.549290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00        0.624007       -4.549290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00        0.624090       -4.549290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00        0.624401       -4.548290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00        0.626397       -4.545290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00        0.646031       -4.514290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00        0.886011       -4.129290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        2.467365       -2.109290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00        0.624005       -4.549290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00        0.624002       -4.549290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00        0.624001       -4.549290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00        0.624001       -4.549290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00        0.624001       -4.549290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00        0.624007       -4.549290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00        0.624090       -4.549290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00        0.624401       -4.548290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00        0.626397       -4.545290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00        0.646031       -4.514290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00        0.886011       -4.129290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        2.467365       -2.109290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00        0.624038       -4.549290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00        0.624017       -4.549290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00        0.624013       -4.549290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00        0.624010       -4.549290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00        0.624008       -4.549290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00        0.624011       -4.549290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00        0.624093       -4.549290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00        0.624404       -4.548290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00        0.626397       -4.545290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00        0.646031       -4.514290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00        0.886011       -4.129290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        2.467365       -2.109290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00        0.624194       -4.549290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00        0.624151       -4.549290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00        0.624120       -4.549290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00        0.624094       -4.549290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00        0.624079       -4.549290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00        0.624072       -4.549290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00        0.624129       -4.549290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00        0.624434       -4.548290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00        0.626430       -4.545290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00        0.646070       -4.514290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00        0.886011       -4.129290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        2.467365       -2.109290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00        0.625005       -4.547290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00        0.624991       -4.547290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00        0.624949       -4.547290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00        0.624856       -4.547290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00        0.624759       -4.548290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00        0.624705       -4.548290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00        0.624671       -4.548290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00        0.624831       -4.547290             -100.00  
       5.000000        9.477121    5.607618e-08            0.00            0.00        0.626732       -4.544290             -100.00  
       5.000000        9.698970    1.441959e-08            0.00            0.00        0.646381       -4.513290             -100.00  
       5.000000       10.000000    3.204353e-09            0.00            0.00        0.886329       -4.128290             -100.00  
       5.000000       10.477121    0.000000e+00            0.00            0.00        2.467365       -2.109290             -100.00  
       6.000000        7.000000    1.163180e-06            0.00            0.00        0.630614       -4.538290             -100.00  
       6.000000        8.000000    1.161578e-06            0.00            0.00        0.630614       -4.538290             -100.00  
       6.000000        8.301030    1.159976e-06            0.00            0.00        0.630614       -4.538290             -100.00  
       6.000000        8.602060    1.150363e-06            0.00            0.00        0.630584       -4.538290             -100.00  
       6.000000        8.845098    1.121524e-06            0.00            0.00        0.630509       -4.538290             -100.00  
       6.000000        9.000000    1.076663e-06            0.00            0.00        0.630421       -4.538290             -100.00  
       6.000000        9.176091    9.677147e-07            0.00            0.00        0.630304       -4.538290             -100.00  
       6.000000        9.301030    8.203144e-07            0.00            0.00        0.630275       -4.538290             -100.00  
       6.000000        9.477121    4.790508e-07            0.00            0.00        0.631100       -4.536290             -100.00  
       6.000000        9.698970    1.457981e-07            0.00            0.00        0.649720       -4.507290             -100.00  
       6.000000       10.000000    3.204353e-08            0.00            0.00        0.889213       -4.124290             -100.00  
       6.000000       10.477121    3.204353e-09            0.00            0.00        2.467365       -2.108290             -100.00  
       7.000000        7.000000    1.959462e-06            0.00            0.00        0.680644       -4.457290             -100.00  
       7.000000        8.000000    1.957860e-06            0.00            0.00        0.680644       -4.457290             -100.00  
       7.000000        8.301030    1.957860e-06            0.00            0.00        0.680644       -4.457290             -100.00  
       7.000000        8.602060    1.953053e-06            0.00            0.00        0.680644       -4.457290             -100.00  
       7.000000        8.845098    1.941838e-06            0.00            0.00        0.680766       -4.457290             -100.00  
       7.000000        9.000000    1.922612e-06            0.00            0.00        0.681012       -4.456290             -100.00  
       7.000000        9.176091    1.879353e-06            0.00            0.00        0.681506       -4.455290             -100.00  
       7.000000        9.301030    1.815266e-06            0.00            0.00        0.682255       -4.453290             -100.00  
       7.000000        9.477121    1.635822e-06            0.00            0.00        0.684296       -4.448290             -100.00  
       7.000000        9.698970    1.118319e-06            0.00            0.00        0.698850       -4.424290             -100.00  
       7.000000       10.000000    3.140266e-07            0.00            0.00        0.919037       -4.080290             -100.00  
       7.000000       10.477121    3.364571e-08            0.00            0.00        2.470013       -2.106290             -100.00  
       8.000000        7.000000    3.920526e-06            0.00            0.00        1.055711       -3.932290             -100.00  
       8.000000        8.000000    3.920526e-06            0.00            0.00        1.055711       -3.932290             -100.00  
       8.000000        8.301030    3.918924e-06            0.00            0.00        1.055711       -3.932290             -100.00  
       8.000000        8.602060    3.917322e-06            0.00            0.00        1.055711       -3.932290             -100.00  
       8.000000        8.845098    3.912515e-06            0.00            0.00        1.056341       -3.931290             -100.00  
       8.000000        9.000000    3.904504e-06            0.00            0.00        1.056972       -3.930290             -100.00  
       8.000000        9.176091    3.883676e-06            0.00            0.00        1.058867       -3.927290             -100.00  
       8.000000        9.301030    3.854837e-06            0.00            0.00        1.060767       -3.923290             -100.00  
       8.000000        9.477121    3.773126e-06            0.00            0.00        1.067136       -3.912290             -100.00  
       8.000000        9.698970    3.511971e-06            0.00            0.00        1.091596       -3.874290             -100.00  
       8.000000       10.000000    2.392050e-06            0.00            0.00        1.227329       -3.676290             -100.00  
       8.000000       10.477121    3.348549e-07            0.00            0.00        2.496941       -2.077290             -100.00  
       9.000000        7.000000    8.299275e-06            0.00            0.00        2.097837       -2.736290             -100.00  
       9.000000        8.000000    8.299275e-06            0.00            0.00        2.097837       -2.735290             -100.00  
       9.000000        8.301030    8.299275e-06            0.00            0.00        2.097837       -2.735290             -100.00  
       9.000000        8.602060    8.299275e-06            0.00            0.00        2.097837       -2.735290             -100.00  
       9.000000        8.845098    8.296071e-06            0.00            0.00        2.098803       -2.735290             -100.00  
       9.000000        9.000000    8.292866e-06            0.00            0.00        2.098803       -2.734290             -100.00  
       9.000000        9.176091    8.283253e-06            0.00            0.00        2.099770       -2.733290             -100.00  
       9.000000        9.301030    8.268834e-06            0.00            0.00        2.101703       -2.731290             -100.00  
       9.000000        9.477121    8.231984e-06            0.00            0.00        2.105571       -2.724290             -100.00  
       9.000000        9.698970    8.110218e-06            0.00            0.00        2.122244       -2.700290             -100.00  
       9.000000       10.000000    7.543048e-06            0.00            0.00        2.201972       -2.584290             -100.00  
       9.000000       10.477121    3.159492e-06            0.00            0.00        2.751730       -1.805290             -100.00  
      10.000000        7.000000    1.781300e-05            0.00            0.00        3.476610       -1.201290             -100.00  
      10.000000        8.000000    1.781300e-05            0.00            0.00        3.476610       -1.201290             -100.00  
      10.000000        8.301030    1.781300e-05            0.00            0.00        3.476610       -1.201290             -100.00  
      10.000000        8.602060    1.781300e-05            0.00            0.00        3.476610       -1.201290             -100.00  
      10.000000        8.845098    1.781140e-05            0.00            0.00        3.476610       -1.200290             -100.00  
      10.000000        9.000000    1.780980e-05            0.00            0.00        3.476610       -1.200290             -100.00  
      10.000000        9.176091    1.780499e-05            0.00            0.00        3.476610       -1.200290             -100.00  
      10.000000        9.301030    1.779858e-05            0.00            0.00        3.477609       -1.199290             -100.00  
      10.000000        9.477121    1.778096e-05            0.00            0.00        3.478607       -1.196290             -100.00  
      10.000000        9.698970    1.772488e-05            0.00            0.00        3.485607       -1.186290             -100.00  
      10.000000       10.000000    1.746052e-05            0.00            0.00        3.520707       -1.131290             -100.00  
      10.000000       10.477121    1.468074e-05            0.00            0.00        3.729071       -0.770290             -100.00  
      11.000000        7.000000    3.834650e-05            0.00            0.00        4.994019        0.550710             -100.00  
      11.000000        8.000000    3.834650e-05            0.00            0.00        4.994019        0.550710             -100.00  
      11.000000        8.301030    3.834650e-05            0.00            0.00        4.994019        0.550710             -100.00  
      11.000000        8.602060    3.834650e-05            0.00            0.00        4.994019        0.550710             -100.00  
      11.000000        8.845098    3.834489e-05            0.00            0.00        4.994019        0.550710             -100.00  
      11.000000        9.000000    3.834489e-05            0.00            0.00        4.994019        0.550710             -100.00  
      11.000000        9.176091    3.834169e-05            0.00            0.00        4.994019        0.550710             -100.00  
      11.000000        9.301030    3.834009e-05            0.00            0.00        4.994019        0.550710             -100.00  
      11.000000        9.477121    3.833047e-05            0.00            0.00        4.994019        0.551710             -100.00  
      11.000000        9.698970    3.830484e-05            0.00            0.00        4.996019        0.555710             -100.00  
      11.000000       10.000000    3.818307e-05            0.00            0.00        5.007023        0.574710             -100.00  
      11.000000       10.477121    3.687410e-05            0.00            0.00        5.049147        0.692710             -100.00  
