!35cl -> 35ar, beta-decay
!Q=-5.965 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -76.431000           -83.205290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -43.715000           -50.240290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -31.399999           -37.765290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -21.679992           -27.861290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -16.696968           -22.745290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -11.533828           -17.391290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -7.098905           -12.708290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -3.219225            -8.483290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        0.806313            -3.922290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -77.432000           -84.205290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -44.128000           -50.653290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -31.421999           -37.786290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -21.681992           -27.862290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -16.697968           -22.745290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -11.533828           -17.391290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -7.098905           -12.708290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -3.219225            -8.483290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        0.806313            -3.922290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -78.433000           -85.207290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -45.076000           -51.601290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -31.627999           -37.992290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -21.695992           -27.876290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -16.700968           -22.748290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -11.534827           -17.391290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -7.098905           -12.708290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -3.219225            -8.483290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        0.806313            -3.922290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -79.451000           -86.225290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -46.081996           -52.607290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -32.448993           -38.814290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -21.837989           -28.018290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -16.731965           -22.780290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -11.539825           -17.397290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -7.099903           -12.709290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -3.220217            -8.483290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        0.806313            -3.922290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -80.621996           -87.395290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -47.148956           -53.674290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -33.480935           -39.845290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -22.570941           -28.752290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -17.020934           -23.068290             -100.00  
