!35s -> 35p, e- capture
!Q=-3.988 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -60.169000      -66.939290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -37.644000      -44.163290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -27.492000      -33.848290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -19.366995      -25.535290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00      -15.172964      -21.205290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00      -10.787789      -16.622290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -6.946108      -12.521290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -3.362169       -8.565290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        0.637298       -4.021290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -59.169000      -65.939290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -37.231000      -43.749290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -27.470000      -33.826290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -19.365995      -25.534290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00      -15.172964      -21.204290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00      -10.787789      -16.622290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -6.946108      -12.521290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -3.362169       -8.565290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        0.637298       -4.021290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -58.168000      -64.937290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -36.283000      -42.801290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -27.264000      -33.620290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -19.350995      -25.519290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00      -15.169964      -21.201290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00      -10.787789      -16.621290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -6.946108      -12.521290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -3.362169       -8.565290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        0.637298       -4.021290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -57.150000      -63.919290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -35.276000      -41.795290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -26.442000      -32.798290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -19.209996      -25.377290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00      -15.137967      -21.170290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00      -10.781792      -16.616290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -6.945113      -12.520290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -3.362169       -8.565290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        0.637298       -4.021290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -99.698970     -105.795290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -55.979000      -62.749290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -34.210000      -40.729290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -25.411000      -31.767290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -18.475999      -24.644290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00      -14.849983      -20.881290             -100.00  
