!36k -> 36ar, e- capture
!Q=12.805 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(e-cap-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)        Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00        0.295001       -4.912290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00        0.295000       -4.912290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00        0.295000       -4.912290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00        0.295000       -4.912290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00        0.295000       -4.912290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00        0.295009       -4.912290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00        0.294120       -4.912290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00        0.293534       -4.912290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00        0.294186       -4.911290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00        0.321264       -4.863290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00        0.607701       -4.405290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        2.309443       -2.280290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00        0.295007       -4.912290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00        0.295002       -4.912290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00        0.295002       -4.912290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00        0.295001       -4.912290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00        0.295001       -4.912290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00        0.295009       -4.912290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00        0.294120       -4.912290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00        0.293535       -4.912290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00        0.294186       -4.911290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00        0.321264       -4.863290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00        0.607701       -4.405290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        2.309443       -2.280290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00        0.295052       -4.912290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00        0.295023       -4.912290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00        0.295017       -4.912290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00        0.295013       -4.912290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00        0.295011       -4.912290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00        0.295015       -4.912290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00        0.294124       -4.912290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00        0.293539       -4.912290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00        0.294186       -4.911290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00        0.321264       -4.863290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00        0.607701       -4.405290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        2.309443       -2.280290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00        0.295264       -4.911290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00        0.295206       -4.911290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00        0.295164       -4.911290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00        0.295127       -4.911290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00        0.295106       -4.911290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00        0.295097       -4.911290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00        0.294172       -4.912290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00        0.293579       -4.912290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00        0.294222       -4.911290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00        0.321314       -4.863290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00        0.607701       -4.405290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        2.309443       -2.280290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00        0.296362       -4.909290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00        0.296340       -4.909290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00        0.296283       -4.909290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00        0.296151       -4.910290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00        0.296019       -4.910290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00        0.295943       -4.910290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00        0.294894       -4.911290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00        0.294107       -4.912290             -100.00  
       5.000000        9.477121    5.607618e-08            0.00            0.00        0.294631       -4.910290             -100.00  
       5.000000        9.698970    1.441959e-08            0.00            0.00        0.321718       -4.862290             -100.00  
       5.000000       10.000000    3.204353e-09            0.00            0.00        0.608080       -4.405290             -100.00  
       5.000000       10.477121    0.000000e+00            0.00            0.00        2.309443       -2.280290             -100.00  
