!36s -> 36cl, beta-decay
!Q=-1.142 MeV
!
!Log(rhoY)      Log(temp)       mu              dQ              Vs              Log(beta-decay-rate) Log(nu-energy-loss) Log(gamma-energy)
!Log(g/cm^3)    Log(K)          erg             erg             erg             Log(1/s)             Log(erg/s)          Log(erg/s)       
       1.000000        7.000000    8.139057e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.000000    7.257860e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       1.000000        8.301030    6.040206e-07            0.00            0.00      -62.477000           -69.550290             -100.00  
       1.000000        8.602060    3.284462e-07            0.00            0.00      -32.001000           -38.765290             -100.00  
       1.000000        8.845098    1.281741e-08            0.00            0.00      -19.013000           -25.523290             -100.00  
       1.000000        9.000000    0.000000e+00            0.00            0.00      -14.571999           -20.917290             -100.00  
       1.000000        9.176091    0.000000e+00            0.00            0.00      -10.932928           -17.088290             -100.00  
       1.000000        9.301030    0.000000e+00            0.00            0.00       -8.947557           -14.965290             -100.00  
       1.000000        9.477121    0.000000e+00            0.00            0.00       -6.714997           -12.536290             -100.00  
       1.000000        9.698970    0.000000e+00            0.00            0.00       -4.497444           -10.047290             -100.00  
       1.000000       10.000000    0.000000e+00            0.00            0.00       -1.818522            -7.017290             -100.00  
       1.000000       10.477121    0.000000e+00            0.00            0.00        1.503799            -3.188290             -100.00  
       2.000000        7.000000    8.171101e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.000000    7.578295e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       2.000000        8.301030    6.665055e-07            0.00            0.00      -63.477000           -70.550290             -100.00  
       2.000000        8.602060    4.550182e-07            0.00            0.00      -33.001000           -39.765290             -100.00  
       2.000000        8.845098    1.041415e-07            0.00            0.00      -19.427000           -25.936290             -100.00  
       2.000000        9.000000    8.010883e-09            0.00            0.00      -14.593999           -20.938290             -100.00  
       2.000000        9.176091    0.000000e+00            0.00            0.00      -10.934927           -17.089290             -100.00  
       2.000000        9.301030    0.000000e+00            0.00            0.00       -8.947557           -14.966290             -100.00  
       2.000000        9.477121    0.000000e+00            0.00            0.00       -6.714997           -12.536290             -100.00  
       2.000000        9.698970    0.000000e+00            0.00            0.00       -4.497444           -10.047290             -100.00  
       2.000000       10.000000    0.000000e+00            0.00            0.00       -1.818522            -7.017290             -100.00  
       2.000000       10.477121    0.000000e+00            0.00            0.00        1.503799            -3.188290             -100.00  
       3.000000        7.000000    8.219166e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.000000    7.898731e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       3.000000        8.301030    7.305925e-07            0.00            0.00      -64.483000           -71.556290             -100.00  
       3.000000        8.602060    5.831923e-07            0.00            0.00      -34.003000           -40.767290             -100.00  
       3.000000        8.845098    3.156288e-07            0.00            0.00      -20.375000           -26.885290             -100.00  
       3.000000        9.000000    7.370013e-08            0.00            0.00      -14.799998           -21.145290             -100.00  
       3.000000        9.176091    8.010883e-09            0.00            0.00      -10.948925           -17.104290             -100.00  
       3.000000        9.301030    1.602177e-09            0.00            0.00       -8.950554           -14.969290             -100.00  
       3.000000        9.477121    0.000000e+00            0.00            0.00       -6.715992           -12.536290             -100.00  
       3.000000        9.698970    0.000000e+00            0.00            0.00       -4.498420           -10.047290             -100.00  
       3.000000       10.000000    0.000000e+00            0.00            0.00       -1.818522            -7.017290             -100.00  
       3.000000       10.477121    0.000000e+00            0.00            0.00        1.503799            -3.188290             -100.00  
       4.000000        7.000000    8.379384e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.000000    8.267231e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       4.000000        8.301030    7.978840e-07            0.00            0.00      -65.538000           -72.611290             -100.00  
       4.000000        8.602060    7.113664e-07            0.00            0.00      -35.021000           -41.785290             -100.00  
       4.000000        8.845098    5.399335e-07            0.00            0.00      -21.381000           -27.891290             -100.00  
       4.000000        9.000000    3.348549e-07            0.00            0.00      -15.620990           -21.966290             -100.00  
       4.000000        9.176091    7.530230e-08            0.00            0.00      -11.090896           -17.246290             -100.00  
       4.000000        9.301030    2.243047e-08            0.00            0.00       -8.982520           -15.000290             -100.00  
       4.000000        9.477121    6.408707e-09            0.00            0.00       -6.720969           -12.541290             -100.00  
       4.000000        9.698970    1.602177e-09            0.00            0.00       -4.498420           -10.047290             -100.00  
       4.000000       10.000000    0.000000e+00            0.00            0.00       -1.819286            -7.017290             -100.00  
       4.000000       10.477121    0.000000e+00            0.00            0.00        1.503799            -3.188290             -100.00  
       5.000000        7.000000    9.036276e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.000000    9.020254e-07            0.00            0.00      -99.698970          -105.795290             -100.00  
       5.000000        8.301030    8.940146e-07            0.00            0.00      -67.041000           -74.114290             -100.00  
       5.000000        8.602060    8.603689e-07            0.00            0.00      -36.192000           -42.956290             -100.00  
       5.000000        8.845098    7.770557e-07            0.00            0.00      -22.446995           -28.957290             -100.00  
       5.000000        9.000000    6.616989e-07            0.00            0.00      -16.652892           -22.998290             -100.00  
       5.000000        9.176091    4.245768e-07            0.00            0.00      -11.824454           -17.979290             -100.00  
       5.000000        9.301030    2.050786e-07            0.00            0.00       -9.270083           -15.288290             -100.00  
