!69zn -> 69cu, e- capture
!Q=2.682 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0              -78.125   -85.20128960626502               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0              -55.243   -62.14228960626502               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -43.463   -50.23228960626501               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0              -36.465   -43.13228960626502               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -31.652   -38.23628960626502               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -27.809   -34.32228960626502               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -24.799  -31.250289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0              -22.416  -28.814289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0              -20.492  -26.841289606265015               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0              -14.617  -20.778289606265016               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0                -11.6  -17.624289606265016               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   -8.424999837525867  -14.259289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -6.659993751422121  -12.361289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -5.465949329058297  -11.065289606265013               -100.0
