!77sr -> 77rb, e- capture
!Q=-7.027 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0  -1.1099962000103714   -6.425289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0  -1.1099987872153128   -6.425289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0  -1.1099991374507934   -6.425289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0  -1.1099992907751295   -6.425289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0   -1.111999379439682   -6.427289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0  -1.1159994353438938   -6.431289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0  -1.1229992825626993   -6.438289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0  -1.1319978581786645   -6.447289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0  -1.1419932890970879  -6.4572896062650145               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0  -1.1529824702571065   -6.468289606265015               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  -1.1649610269114172   -6.480289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -1.225476974609545   -6.539289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -1.2786685930523582  -6.5902896062650145               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -1.3485607484385747   -6.649289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -1.3555127991822784   -6.627289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -1.267446380740645   -6.488289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -0.7264327362770056   -5.811289606265015               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0 -0.053822223443696235  -5.0292896062650145               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0    2.241285707469258   -2.286289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.900178523357712   0.7937103937349862               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0  -1.1099881210413165   -6.425289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0  -1.1099961648496555   -6.425289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0    -1.10999727238577   -6.425289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0  -1.1099977572379958   -6.425289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0   -1.111998037619001   -6.427289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0  -1.1159982226071754   -6.431289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0  -1.1229982750224439   -6.438289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0  -1.1319971959683632   -6.447289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0  -1.1419927592977162  -6.4572896062650145               -100.0
