!66ga -> 66ge, beta-decay
!Q=2.117 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0              -57.019   -64.08728960626502               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0              -38.667  -45.551289606265016               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -29.377  -36.085289606265015               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0              -23.723  -30.325289606265017               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -20.028  -26.545289606265015               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -17.747  -24.194289606265016               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   -16.14398575123621  -22.530289606265015               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0  -14.901968028108884  -21.235289606265013               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  -13.900920796438824  -20.185289606265016               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -10.797154017748952  -16.893289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -9.134950289858864  -15.094289606265013               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   -7.280274671306507  -13.043289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -6.178342642093992  -11.801289606265014               -100.0
