!67as -> 67se, beta-decay
!Q=10.007 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -84.881   -91.48128960626502               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -72.891   -79.42328960626502               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -64.002   -70.47628960626501               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0              -57.093   -63.51428960626502               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0              -51.555   -57.93028960626501               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0              -34.831   -41.02628960626502               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0              -26.361   -32.42828960626501               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0              -16.083  -21.720289606265016               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -12.34399882568739  -17.890289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -9.901997591297812  -15.375289606265014               -100.0
