!68co -> 68ni, beta-decay
!Q=-11.821 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0   0.5980000000000023   -4.410289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0   0.6010000000022018   -4.407289606265015               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0   0.6060000001744955   -4.402289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   0.6110000017249809   -4.397289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   0.6170000074436219   -4.391289606265015               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   0.6230000227920979   -4.385289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0   0.6280000565958104   -4.379289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.6510010322473941  -4.3562896062650145               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   0.6650053676183323   -4.342289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.6780369628823295   -4.327289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.6831204270634321   -4.322289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   0.6842822559954747   -4.319289606265015               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0   0.7152138841139747   -4.284289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   0.8393658927838346   -4.147289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.1559971234236492   -2.611289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0     4.69492964984979   0.5147103937349854               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0   0.5980000000000006   -4.410289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0   0.6010000000006994   -4.407289606265015               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0   0.6060000000725746   -4.402289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   0.6110000013145718   -4.397289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0   0.6170000068831035   -4.391289606265015               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0     0.62300002217095   -4.385289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0   0.6280000559479636   -4.379289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.6510010322473941  -4.3562896062650145               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   0.6650053676183323   -4.342289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.6780369628823295   -4.327289606265015               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.6831204270634321   -4.322289606265014               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0   0.6842822559954747   -4.319289606265015               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0   0.7152138841139747   -4.284289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0   0.8393658927838346   -4.147289606265014               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.1559971234236492   -2.611289606265014               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0     4.69492964984979   0.5147103937349854               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0   0.5980000000000002   -4.410289606265014               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0   0.6010000000002211   -4.407289606265015               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0   0.6060000000239764   -4.402289606265014               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0    0.611000000668012   -4.397289606265014               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0   0.6170000054298059   -4.391289606265015               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0   0.6230000203134786   -4.385289606265014               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0   0.6280000538002488   -4.379289606265014               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   0.6510010298732938  -4.3562896062650145               -100.0
  2.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   0.6650053552732288   -4.342289606265014               -100.0
  2.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.6780369628823295   -4.327289606265015               -100.0
  2.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.6831204270634321   -4.322289606265014               -100.0
  2.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   0.6842822559954747   -4.319289606265015               -100.0
  2.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0   0.7152138841139747   -4.284289606265014               -100.0
  2.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   0.8393658927838346   -4.147289606265014               -100.0
  2.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.1559971234236492   -2.611289606265014               -100.0
  2.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0     4.69492964984979   0.5147103937349854               -100.0
  2.5                  7.0000000      1.602176634e-09                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  2.5                  8.0000000    -4.4860945752e-08                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  2.5                  8.3010300    -1.2016324755e-07                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  2.5                  8.4771213   -2.06680785786e-07                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  2.5                  8.6020600   -3.01209207192e-07                  0.0                  0.0   0.5980000000000001   -4.410289606265014               -100.0
  2.5                  8.6989700     -4.005441585e-07                  0.0                  0.0   0.6010000000000699   -4.407289606265015               -100.0
  2.5                  8.7781513   -5.06287816344e-07                  0.0                  0.0   0.6060000000075995   -4.402289606265014               -100.0
  2.5                  8.8450980   -6.13633650822e-07                  0.0                  0.0   0.6110000002353879   -4.397289606265014               -100.0
  2.5                  8.9030900   -7.11366425496e-07                  0.0                  0.0   0.6170000029159785   -4.391289606265015               -100.0
  2.5                  8.9542425    -7.6904478432e-07                  0.0                  0.0   0.6230000155519304   -4.385289606265014               -100.0
  2.5                  9.0000000   -7.94679610464e-07                  0.0                  0.0   0.6280000478392418   -4.379289606265014               -100.0
  2.5                  9.1760913   -8.15507906706e-07                  0.0                  0.0   0.6510010204313698  -4.3562896062650145               -100.0
  2.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   0.6650053552732288   -4.342289606265014               -100.0
  2.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.6780369628823295   -4.327289606265015               -100.0
  2.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.6831204270634321   -4.322289606265014               -100.0
  2.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0   0.6842816070351228   -4.319289606265015               -100.0
  2.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0   0.7152138841139747   -4.284289606265014               -100.0
  2.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0   0.8393658927838346   -4.147289606265014               -100.0
  2.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.1559971234236492   -2.611289606265014               -100.0
  2.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0     4.69492964984979   0.5147103937349854               -100.0
  3.0                  7.0000000      3.204353268e-09                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  3.0                  8.0000000    -2.8839179412e-08                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  3.0                  8.3010300     -8.811971487e-08                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  3.0                  8.4771213   -1.58615486766e-07                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  3.0                  8.6020600   -2.37122141832e-07                  0.0                  0.0                0.598   -4.410289606265014               -100.0
  3.0                  8.6989700     -3.204353268e-07                  0.0                  0.0   0.6010000000000221   -4.407289606265015               -100.0
  3.0                  8.7781513   -4.10157218304e-07                  0.0                  0.0   0.6060000000023866   -4.402289606265014               -100.0
  3.0                  8.8450980   -5.03083463076e-07                  0.0                  0.0   0.6110000000752981   -4.397289606265014               -100.0
  3.0                  8.9030900   -5.99214061116e-07                  0.0                  0.0   0.6170000010562928   -4.391289606265015               -100.0
  3.0                  8.9542425   -6.85731599352e-07                  0.0                  0.0   0.6230000079210783   -4.385289606265014               -100.0
  3.0                  9.0000000   -7.46614311444e-07                  0.0                  0.0   0.6280000335570901   -4.379289606265014               -100.0
  3.0                  9.1760913   -8.10701376804e-07                  0.0                  0.0   0.6510009949100408  -4.3562896062650145               -100.0
  3.0                  9.3010300    -8.1711008334e-07                  0.0                  0.0   0.6650053184080129   -4.342289606265014               -100.0
  3.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   0.6780369628823295   -4.327289606265015               -100.0
  3.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   0.6831204270634321   -4.322289606265014               -100.0
  3.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   0.6842816070351228   -4.319289606265015               -100.0
  3.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0   0.7152138841139747   -4.284289606265014               -100.0
  3.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   0.8393658927838346   -4.147289606265014               -100.0
  3.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.1559971234236492   -2.611289606265014               -100.0
  3.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0     4.69492964984979   0.5147103937349854               -100.0
  3.5                  7.0000000       8.01088317e-09                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  3.5                  8.0000000    -1.1215236438e-08                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  3.5                  8.3010300    -5.4474005556e-08                  0.0                  0.0                0.597   -4.411289606265014               -100.0
  3.5                  8.4771213   -1.10550187746e-07                  0.0                  0.0                0.597   -4.411289606265014               -100.0
