!68se -> 68as, e- capture
!Q=-4.705 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0  -1.7059857840069235   -7.232289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0  -1.7059954524023069   -7.232289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0  -1.7059967432630396   -7.232289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0  -1.7059972973926099   -7.232289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0  -1.7059976133808668   -7.232289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0  -1.7059978133301446   -7.232289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0  -1.7059972024174364   -7.232289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0  -1.7059915709215328   -7.232289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0  -1.7059734067745984   -7.232289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0  -1.7059298949572772   -7.232289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0   -1.705842708351859   -7.232289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -1.7038137956677168   -7.228289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -1.695959521736608   -7.213289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -1.6436530229454214   -7.120289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -1.5157800922151579   -6.918289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -1.3104819214909755   -6.634289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -0.6793733981086616   -5.861289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0 -0.06805018089633347   -5.134289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.2279718978942635   -2.403289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.989358595636923    0.872710393734986               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0  -1.7059556634247963   -7.232289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0  -1.7059856193962073   -7.232289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0  -1.7059897013769598   -7.232289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0  -1.7059914536625245   -7.232289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0  -1.7059924528924708   -7.232289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0  -1.7059931169508653   -7.232289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0  -1.7059932581212078   -7.232289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0  -1.7059889648359527   -7.232289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0  -1.7059713073959704   -7.232289606265014               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0  -1.7059279310364561   -7.232289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0   -1.705840887334018   -7.232289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -1.7038137956677168   -7.228289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -1.695959521736608   -7.213289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -1.6436530229454214   -7.120289606265014               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -1.5157800922151579   -6.918289606265014               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -1.3104819214909755   -6.634289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -0.6793733981086616   -5.861289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0 -0.06805018089633347   -5.134289606265014               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.2279718978942635   -2.403289606265014               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.989358595636923    0.872710393734986               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0  -1.7058645694649428   -7.232289606265014               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0  -1.7059545261657798   -7.232289606265014               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0  -1.7059674337293351   -7.232289606265014               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0  -1.7059729746828909   -7.232289606265014               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0  -1.7059761343988404   -7.232289606265014               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0  -1.7059782342604346   -7.232289606265014               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0  -1.7059795932376025   -7.232289606265014               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0  -1.7059782843189948   -7.232289606265014               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0  -1.7059635442461436   -7.232289606265014               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0   -1.705921341622931   -7.232289606265014               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0  -1.7058349172224725   -7.232289606265014               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -1.7038087686388617   -7.228289606265014               -100.0
  2.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -1.695959521736608   -7.213289606265014               -100.0
  2.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -1.6436530229454214   -7.120289606265014               -100.0
  2.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -1.5157800922151579   -6.918289606265014               -100.0
  2.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -1.3104819214909755   -6.634289606265014               -100.0
  2.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -0.6793733981086616   -5.861289606265014               -100.0
  2.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0 -0.06805018089633347   -5.134289606265014               -100.0
  2.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.2279718978942635   -2.403289606265014               -100.0
  2.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.989358595636923    0.872710393734986               -100.0
  2.5                  7.0000000      1.602176634e-09                  0.0                  0.0  -1.7056104264077925  -7.2312896062650145               -100.0
  2.5                  8.0000000    -4.4860945752e-08                  0.0                  0.0  -1.7058568759070696   -7.232289606265014               -100.0
  2.5                  8.3010300    -1.2016324755e-07                  0.0                  0.0  -1.7058970247576666   -7.232289606265014               -100.0
  2.5                  8.4771213   -2.06680785786e-07                  0.0                  0.0  -1.7059145441924266   -7.232289606265014               -100.0
  2.5                  8.6020600   -3.01209207192e-07                  0.0                  0.0  -1.7059247083759648   -7.232289606265014               -100.0
  2.5                  8.6989700     -4.005441585e-07                  0.0                  0.0  -1.7059311744171266   -7.232289606265014               -100.0
  2.5                  8.7781513   -5.06287816344e-07                  0.0                  0.0  -1.7059357678890836   -7.232289606265014               -100.0
