!69ga -> 69zn, e- capture
!Q=0.910 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0              -56.794     -64.171289606265               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0              -33.506   -40.57828960626502               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0              -25.621   -32.51128960626502               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -21.625  -28.386289606265017               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0              -19.191  -25.850289606265015               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -17.408  -23.983289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0  -15.715999999975066  -22.218289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0  -14.289999999944436  -20.732289606265013               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   -13.13799999990629  -19.525289606265016               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0   -12.19499999986455  -18.533289606265015               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -9.217999999722805  -15.363289606265013               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -7.589999999732216  -13.595289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -5.7469999891411385  -11.553289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -4.649997906932353  -10.316289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -3.875951609499298   -9.437289606265015               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.5714850680484598  -7.9412896062650145               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.6897079647325186   -6.914289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.6628803866906021   -2.921289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.959105373552893   0.8457103937349858               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0              -56.293   -63.67128960626501               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0              -33.006   -40.07728960626501               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0              -25.121   -32.01128960626502               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0              -21.125  -27.886289606265017               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0              -18.693  -25.352289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0              -17.029  -23.602289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0  -15.596999999981042  -22.101289606265016               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0   -14.25599999994862  -20.698289606265014               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0  -13.125999999908844  -19.513289606265015               -100.0
