!70ge -> 70ga, e- capture
!Q=1.652 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0              -51.859   -58.93428960626502               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0              -37.693   -44.58928960626501               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -30.493  -37.259289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0              -26.175   -32.84028960626502               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -23.138  -29.720289606265016               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -20.548  -27.061289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -18.454  -24.904289606265017               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0               -16.78  -23.176289606265016               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  -15.418999925220206  -21.767289606265013               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -11.187995335748294  -17.345289606265016               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -8.928984941670981  -14.948289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   -6.465970571400344  -12.284289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -5.088974071860947  -10.761289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -4.180929733361537   -9.742289606265015               -100.0
