!71ge -> 71ga, e- capture
!Q=-0.232 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -8.935  -15.020289606265013               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -9.418  -15.497289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -9.551  -15.621289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -9.618  -15.678289606265013               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0   -9.657999999992205  -15.707289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0   -9.678999997322162  -15.717289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0   -9.554999896537192  -15.581289606265013               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   -9.058999431429886  -15.071289606265013               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0     -8.5409985351823  -14.540289606265013               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   -8.101997189504424  -14.086289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0   -7.731995483707586  -13.701289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -6.485987034841551  -12.378289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -5.705985881867542  -11.524289606265015               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   -4.634993411583941  -10.328289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -3.8569959469469826   -9.450289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -3.243968101639493   -8.752289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.1326537955085825   -7.472289606265014               -100.0
