!73ge -> 73as, beta-decay
!Q=0.345 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0                -58.9   -65.24928960626501               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0  -18.859999999999935  -26.193289606265015               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0  -15.592999907576106  -22.597289606265015               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0  -13.593928591714368  -20.259289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0  -12.167026303684475  -18.733289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0  -11.130069195435865  -17.626289606265015               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0  -10.347686150598427  -16.772289606265016               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   -9.738366582555017  -16.101289606265013               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   -9.240155517871663  -15.540289606265013               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0   -8.816840408686852  -15.057289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -7.330796963434575  -13.339289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -6.377369511791886  -12.239289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0   -5.141290139707528  -10.823289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -4.3259882059948005   -9.882289606265013               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -3.7173275954701848   -9.169289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.6334174072285634   -7.882289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.9035906484342962   -7.014289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.1762628166627649   -3.557289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.376000312452609  0.17771039373498568               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0                -59.4   -65.74928960626501               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0  -18.859999999999978  -26.193289606265015               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0  -15.592999970772997  -22.597289606265015               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0  -13.593977417447945  -20.259289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0   -12.16905526097343  -18.738289606265013               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0  -11.145647391995148  -17.662289606265016               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0  -10.360128165333553  -16.800289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0   -9.743561170543138  -16.112289606265016               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0   -9.242417457755648  -15.545289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0   -8.818166758617844  -15.059289606265013               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -7.330796963434575  -13.339289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -6.377369511791886  -12.239289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0   -5.141290139707528  -10.823289606265014               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -4.3259882059948005   -9.882289606265013               -100.0
