!73ni -> 73cu, beta-decay
!Q=-8.879 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0 -0.05099999999999529   -5.168289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0 -0.04999999999560677   -5.166289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0  -0.0469999996494223   -5.163289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0 -0.04299999652636402   -5.159289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0 -0.03799998494141013  -5.1542896062650145               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0 -0.031999953784858357   -5.148289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0 -0.02499988524166091   -5.141289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0 0.018002112434516448   -5.097289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  0.07701093399432872   -5.036289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  0.23507374752283322  -4.8722896062650145               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  0.42923103021968034   -4.668289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0     0.62951704193077   -4.459289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0   1.0300453199288633   -4.041289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.2773838087755074  -3.7812896062650143               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9344409024433555   -2.808289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.751279669089977    0.566710393734986               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0 -0.05099999999999854   -5.168289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0 -0.04999999999860432   -5.166289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0 -0.04699999985452637   -5.163289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0 -0.04299999735281492   -5.159289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0 -0.03799998607534942  -5.1542896062650145               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0 -0.03199995504434921   -5.148289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0 -0.02499988655528861   -5.141289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0  0.01800210757606363   -5.097289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0  0.07701093399432872   -5.036289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  0.23507374752283322  -4.8722896062650145               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  0.42923103021968034   -4.668289606265014               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0     0.62951704193077   -4.459289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0   1.0300453199288633   -4.041289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.2773838087755074  -3.7812896062650143               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9344409024433555   -2.808289606265014               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.751279669089977    0.566710393734986               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0 -0.05099999999999952   -5.168289606265014               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0 -0.049999999999557614   -5.166289606265014               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0 -0.046999999951939986   -5.163289606265014               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0  -0.0429999986548079   -5.159289606265014               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0 -0.037999989015398465  -5.1542896062650145               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0 -0.031999958810711444   -5.148289606265014               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0 -0.02499989091017208   -5.141289606265014               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  0.01800210272878498   -5.097289606265014               -100.0
  2.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  0.07701093399432872   -5.036289606265014               -100.0
  2.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  0.23507374752283322  -4.8722896062650145               -100.0
  2.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  0.42923103021968034   -4.668289606265014               -100.0
  2.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0     0.62951704193077   -4.459289606265014               -100.0
  2.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0   1.0300453199288633   -4.041289606265014               -100.0
  2.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.2773838087755074  -3.7812896062650143               -100.0
  2.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9344409024433555   -2.808289606265014               -100.0
  2.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.751279669089977    0.566710393734986               -100.0
  2.5                  7.0000000      1.602176634e-09                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  2.5                  8.0000000    -4.4860945752e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  2.5                  8.3010300    -1.2016324755e-07                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  2.5                  8.4771213   -2.06680785786e-07                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  2.5                  8.6020600   -3.01209207192e-07                  0.0                  0.0 -0.050999999999999844   -5.168289606265014               -100.0
  2.5                  8.6989700     -4.005441585e-07                  0.0                  0.0 -0.049999999999860406   -5.166289606265014               -100.0
  2.5                  8.7781513   -5.06287816344e-07                  0.0                  0.0 -0.04699999998473192   -5.163289606265014               -100.0
  2.5                  8.8450980   -6.13633650822e-07                  0.0                  0.0 -0.04299999952599349   -5.159289606265014               -100.0
  2.5                  8.9030900   -7.11366425496e-07                  0.0                  0.0 -0.037999994100919664  -5.1542896062650145               -100.0
  2.5                  8.9542425    -7.6904478432e-07                  0.0                  0.0 -0.03199996853814712   -5.148289606265014               -100.0
  2.5                  9.0000000   -7.94679610464e-07                  0.0                  0.0  -0.0249999029972017   -5.141289606265014               -100.0
  2.5                  9.1760913   -8.15507906706e-07                  0.0                  0.0 0.018002088253736594   -5.097289606265014               -100.0
  2.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0  0.07701090884715538   -5.036289606265014               -100.0
  2.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  0.23507357792260467  -4.8722896062650145               -100.0
  2.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  0.42923103021968034   -4.668289606265014               -100.0
  2.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0     0.62951704193077   -4.459289606265014               -100.0
  2.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0   1.0300453199288633   -4.041289606265014               -100.0
  2.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.2773838087755074  -3.7812896062650143               -100.0
  2.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9344409024433555   -2.808289606265014               -100.0
  2.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.751279669089977    0.566710393734986               -100.0
  3.0                  7.0000000      3.204353268e-09                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  3.0                  8.0000000    -2.8839179412e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  3.0                  8.3010300     -8.811971487e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  3.0                  8.4771213   -1.58615486766e-07                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  3.0                  8.6020600   -2.37122141832e-07                  0.0                  0.0 -0.050999999999999955   -5.168289606265014               -100.0
  3.0                  8.6989700     -3.204353268e-07                  0.0                  0.0 -0.04999999999995595   -5.166289606265014               -100.0
  3.0                  8.7781513   -4.10157218304e-07                  0.0                  0.0 -0.04699999999520508   -5.163289606265014               -100.0
  3.0                  8.8450980   -5.03083463076e-07                  0.0                  0.0 -0.042999999849414106   -5.159289606265014               -100.0
  3.0                  8.9030900   -5.99214061116e-07                  0.0                  0.0 -0.03799999786801415  -5.1542896062650145               -100.0
  3.0                  8.9542425   -6.85731599352e-07                  0.0                  0.0 -0.031999983938566526   -5.148289606265014               -100.0
  3.0                  9.0000000   -7.46614311444e-07                  0.0                  0.0 -0.02499993195687091   -5.141289606265014               -100.0
  3.0                  9.1760913   -8.10701376804e-07                  0.0                  0.0 0.018002036025876585   -5.097289606265014               -100.0
  3.0                  9.3010300    -8.1711008334e-07                  0.0                  0.0  0.07701085872618213   -5.036289606265014               -100.0
  3.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  0.23507357792260467  -4.8722896062650145               -100.0
  3.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  0.42923103021968034   -4.668289606265014               -100.0
  3.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0     0.62951704193077   -4.459289606265014               -100.0
  3.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0   1.0300453199288633   -4.041289606265014               -100.0
  3.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.2773838087755074  -3.7812896062650143               -100.0
  3.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9344409024433555   -2.808289606265014               -100.0
  3.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.751279669089977    0.566710393734986               -100.0
  3.5                  7.0000000       8.01088317e-09                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  3.5                  8.0000000    -1.1215236438e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  3.5                  8.3010300    -5.4474005556e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  3.5                  8.4771213   -1.10550187746e-07                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  3.5                  8.6020600   -1.73035076472e-07                  0.0                  0.0 -0.051000000000000004   -5.168289606265014               -100.0
  3.5                  8.6989700     -2.403264951e-07                  0.0                  0.0 -0.04999999999998613   -5.166289606265014               -100.0
  3.5                  8.7781513   -3.14026620264e-07                  0.0                  0.0 -0.04699999999848024   -5.163289606265014               -100.0
  3.5                  8.8450980    -3.9253327533e-07                  0.0                  0.0 -0.04299999995216079   -5.159289606265014               -100.0
  3.5                  8.9030900    -4.7264210703e-07                  0.0                  0.0 -0.03799999931642792  -5.1542896062650145               -100.0
  3.5                  8.9542425   -5.55955291998e-07                  0.0                  0.0 -0.03199999436642205   -5.148289606265014               -100.0
  3.5                  9.0000000   -6.36064123698e-07                  0.0                  0.0 -0.024999969536184517   -5.141289606265014               -100.0
  3.5                  9.1760913   -7.94679610464e-07                  0.0                  0.0 0.018001878379639576   -5.097289606265014               -100.0
  3.5                  9.3010300   -8.12303553438e-07                  0.0                  0.0  0.07701066053452565   -5.036289606265014               -100.0
  3.5                  9.4771213    -8.1711008334e-07                  0.0                  0.0  0.23507340871237975  -4.8722896062650145               -100.0
  3.5                  9.6020600    -8.1711008334e-07                  0.0                  0.0  0.42923103021968034   -4.668289606265014               -100.0
  3.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0     0.62951704193077   -4.459289606265014               -100.0
  3.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0   1.0300453199288633   -4.041289606265014               -100.0
  3.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.2773838087755074  -3.7812896062650143               -100.0
  3.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9344409024433555   -2.808289606265014               -100.0
  3.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.751279669089977    0.566710393734986               -100.0
  4.0                  7.0000000     1.9226119608e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  4.0                  8.0000000       8.01088317e-09                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  4.0                  8.3010300    -2.0828296242e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  4.0                  8.4771213    -6.0882712092e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  4.0                  8.6020600   -1.07345834478e-07                  0.0                  0.0 -0.051000000000000004   -5.168289606265014               -100.0
  4.0                  8.6989700     -1.602176634e-07                  0.0                  0.0 -0.04999999999999571   -5.166289606265014               -100.0
  4.0                  8.7781513   -2.17896022224e-07                  0.0                  0.0 -0.046999999999527114   -5.163289606265014               -100.0
  4.0                  8.8450980    -2.8038091095e-07                  0.0                  0.0 -0.04299999998504507   -5.159289606265014               -100.0
  4.0                  8.9030900   -3.46070152944e-07                  0.0                  0.0 -0.037999999785323556  -5.1542896062650145               -100.0
  4.0                  8.9542425   -4.13361571572e-07                  0.0                  0.0 -0.03199999819787747   -5.148289606265014               -100.0
  4.0                  9.0000000   -4.85459520102e-07                  0.0                  0.0 -0.024999989701254954   -5.141289606265014               -100.0
  4.0                  9.1760913   -7.43409958176e-07                  0.0                  0.0 0.018001471578979248   -5.097289606265014               -100.0
  4.0                  9.3010300   -7.96281787098e-07                  0.0                  0.0  0.07701011065417358   -5.036289606265014               -100.0
  4.0                  9.4771213   -8.12303553438e-07                  0.0                  0.0   0.2350727357536145  -4.8722896062650145               -100.0
  4.0                  9.6020600   -8.15507906706e-07                  0.0                  0.0   0.4292299690132331   -4.668289606265014               -100.0
  4.0                  9.6989700    -8.1711008334e-07                  0.0                  0.0   0.6295158534732904   -4.459289606265014               -100.0
  4.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0   1.0300453199288633   -4.041289606265014               -100.0
  4.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0   1.2773838087755074  -3.7812896062650143               -100.0
  4.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9344409024433555   -2.808289606265014               -100.0
  4.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.751279669089977    0.566710393734986               -100.0
  4.5                  7.0000000      4.005441585e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  4.5                  8.0000000     3.5247885948e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  4.5                  8.3010300     1.9226119608e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  4.5                  8.4771213     -6.408706536e-09                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  4.5                  8.6020600    -3.8452239216e-08                  0.0                  0.0 -0.051000000000000004   -5.168289606265014               -100.0
  4.5                  8.6989700    -7.5302301798e-08                  0.0                  0.0 -0.04999999999999874   -5.166289606265014               -100.0
  4.5                  8.7781513   -1.18561070916e-07                  0.0                  0.0 -0.04699999999985754   -5.163289606265014               -100.0
  4.5                  8.8450980   -1.65024193302e-07                  0.0                  0.0 -0.04299999999544191   -5.159289606265014               -100.0
  4.5                  8.9030900   -2.14691668956e-07                  0.0                  0.0 -0.03799999993411531  -5.1542896062650145               -100.0
  4.5                  8.9542425   -2.67563497878e-07                  0.0                  0.0 -0.031999999443090905   -5.148289606265014               -100.0
  4.5                  9.0000000   -3.23639680068e-07                  0.0                  0.0 -0.024999996787935106   -5.141289606265014               -100.0
  4.5                  9.1760913   -6.12031474188e-07                  0.0                  0.0 0.018000779442211182   -5.097289606265014               -100.0
  4.5                  9.3010300   -7.48216488078e-07                  0.0                  0.0  0.07700852668163771   -5.036289606265014               -100.0
  4.5                  9.4771213      -8.01088317e-07                  0.0                  0.0   0.2350705909481727  -4.8722896062650145               -100.0
  4.5                  9.6020600   -8.10701376804e-07                  0.0                  0.0   0.4292278611976484   -4.668289606265014               -100.0
  4.5                  9.6989700   -8.13905730072e-07                  0.0                  0.0   0.6295146677459461   -4.459289606265014               -100.0
  4.5                  9.8750613    -8.1711008334e-07                  0.0                  0.0   1.0300406268578852   -4.041289606265014               -100.0
  4.5                 10.0000000    -8.1711008334e-07                  0.0                  0.0   1.2773838087755074  -3.7812896062650143               -100.0
  4.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9344409024433555   -2.808289606265014               -100.0
  4.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.751279669089977    0.566710393734986               -100.0
  5.0                  7.0000000     8.4915361602e-08                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  5.0                  8.0000000     8.3313184968e-08                  0.0                  0.0               -0.052   -5.169289606265014               -100.0
  5.0                  8.3010300     7.5302301798e-08                  0.0                  0.0               -0.052   -5.169289606265014               -100.0
  5.0                  8.4771213     6.0882712092e-08                  0.0                  0.0               -0.052   -5.169289606265014               -100.0
  5.0                  8.6020600     4.1656592484e-08                  0.0                  0.0 -0.051000000000000004   -5.168289606265014               -100.0
  5.0                  8.6989700     1.7623942974e-08                  0.0                  0.0 -0.04999999999999966   -5.166289606265014               -100.0
  5.0                  8.7781513    -1.1215236438e-08                  0.0                  0.0 -0.04699999999996134   -5.163289606265014               -100.0
  5.0                  8.8450980    -4.3258769118e-08                  0.0                  0.0 -0.042999999998715364   -5.159289606265014               -100.0
  5.0                  8.9030900    -7.8506655066e-08                  0.0                  0.0 -0.03799999998095483  -5.1542896062650145               -100.0
  5.0                  8.9542425   -1.15356717648e-07                  0.0                  0.0 -0.031999999836399604   -5.148289606265014               -100.0
  5.0                  9.0000000   -1.57013310132e-07                  0.0                  0.0 -0.024999999043281214   -5.141289606265014               -100.0
  5.0                  9.1760913   -3.94135451964e-07                  0.0                  0.0 0.018000274021206585   -5.097289606265014               -100.0
  5.0                  9.3010300   -6.13633650822e-07                  0.0                  0.0  0.07700523337306207   -5.036289606265014               -100.0
  5.0                  9.4771213   -7.62636077784e-07                  0.0                  0.0  0.23506452857084437  -4.8722896062650145               -100.0
  5.0                  9.6020600    -7.9307743383e-07                  0.0                  0.0   0.4292211432739944   -4.669289606265014               -100.0
  5.0                  9.6989700   -8.04292670268e-07                  0.0                  0.0   0.6295076103649251   -4.459289606265014               -100.0
  5.0                  9.8750613   -8.12303553438e-07                  0.0                  0.0   1.0300359445301308   -4.041289606265014               -100.0
  5.0                 10.0000000   -8.15507906706e-07                  0.0                  0.0   1.2773715026188253  -3.7812896062650143               -100.0
  5.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.9344409024433555   -2.808289606265014               -100.0
  5.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.751279669089977    0.566710393734986               -100.0
  5.5                  7.0000000    1.74637253106e-07                  0.0                  0.0               -0.052   -5.169289606265014               -100.0
  5.5                  8.0000000    1.73035076472e-07                  0.0                  0.0               -0.052   -5.169289606265014               -100.0
  5.5                  8.3010300     1.6822854657e-07                  0.0                  0.0               -0.052   -5.169289606265014               -100.0
  5.5                  8.4771213    1.61819840034e-07                  0.0                  0.0               -0.052   -5.169289606265014               -100.0
  5.5                  8.6020600     1.5220678023e-07                  0.0                  0.0               -0.052   -5.168289606265014               -100.0
  5.5                  8.6989700    1.37787190524e-07                  0.0                  0.0 -0.04999999999999993   -5.167289606265014               -100.0
  5.5                  8.7781513    1.21765424184e-07                  0.0                  0.0 -0.04699999999999217   -5.164289606265014               -100.0
  5.5                  8.8450980    1.02539304576e-07                  0.0                  0.0 -0.042999999999711755   -5.160289606265014               -100.0
  5.5                  8.9030900       8.01088317e-08                  0.0                  0.0 -0.037999999995420836   -5.155289606265014               -100.0
  5.5                  8.9542425     5.4474005556e-08                  0.0                  0.0  -0.0319999999585252   -5.149289606265015               -100.0
  5.5                  9.0000000     2.7237002778e-08                  0.0                  0.0  -0.0259999997471958   -5.142289606265014               -100.0
  5.5                  9.1760913   -1.40991543792e-07                  0.0                  0.0 0.018000080869409376   -5.097289606265014               -100.0
  5.5                  9.3010300   -3.46070152944e-07                  0.0                  0.0  0.07700199886430172  -5.0372896062650145               -100.0
  5.5                  9.4771213   -6.44075006868e-07                  0.0                  0.0  0.23504872590881232  -4.8722896062650145               -100.0
  5.5                  9.6020600   -7.38603428274e-07                  0.0                  0.0  0.42920076311517935   -4.669289606265014               -100.0
  5.5                  9.6989700   -7.72249137588e-07                  0.0                  0.0   0.6294847768811744   -4.459289606265014               -100.0
  5.5                  9.8750613   -7.99486140366e-07                  0.0                  0.0     1.03001269318493   -4.041289606265014               -100.0
  5.5                 10.0000000    -8.0909920017e-07                  0.0                  0.0   1.2773469741103223  -3.7812896062650143               -100.0
  5.5                 10.4771213    -8.1711008334e-07                  0.0                  0.0   1.9344409024433555   -2.808289606265014               -100.0
  5.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.751279669089977    0.566710393734986               -100.0
  6.0                  7.0000000     3.4446797631e-07                  0.0                  0.0               -0.053  -5.1702896062650145               -100.0
  6.0                  8.0000000    3.42865799676e-07                  0.0                  0.0               -0.053  -5.1702896062650145               -100.0
  6.0                  8.3010300    3.39661446408e-07                  0.0                  0.0               -0.053  -5.1702896062650145               -100.0
  6.0                  8.4771213     3.3645709314e-07                  0.0                  0.0               -0.053  -5.1702896062650145               -100.0
  6.0                  8.6020600    3.30048386604e-07                  0.0                  0.0               -0.052   -5.169289606265014               -100.0
  6.0                  8.6989700    3.22037503434e-07                  0.0                  0.0 -0.051000000000000004   -5.168289606265014               -100.0
  6.0                  8.7781513    3.14026620264e-07                  0.0                  0.0 -0.04799999999999927   -5.165289606265014               -100.0
