!74as -> 74ge, e- capture
!Q=-2.562 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0  -6.8603063325416915  -12.925289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0   -6.903281709427255  -12.967289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0   -6.908198180393761  -12.971289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0   -6.863107939489535  -12.894289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0   -6.635092419682437  -12.573289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0   -6.317836254951409  -12.199289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0   -6.049716284743124  -11.912289606265015               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   -5.851413419684193  -11.709289606265013               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0  -5.7060279759858235  -11.562289606265015               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   -5.594186503979142  -11.453289606265015               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0   -5.500614205169435  -11.362289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -5.0134164609648675  -10.861289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -4.447526879984787  -10.228289606265013               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.5431323586908507   -9.193289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -2.9001850005593557   -8.443289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.4043784536776927   -7.859289606265015               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -1.5082407153612365   -6.794289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -0.8734560316362856   -6.035289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.1642419447894907   -2.384289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    5.159125522490793    1.050710393734986               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0   -6.746877832814975  -12.814289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0   -6.858024365368634  -12.922289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0   -6.873948495996001  -12.937289606265015               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0   -6.836474994651754  -12.868289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0   -6.620521651805175  -12.561289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0   -6.311118245379415  -12.194289606265015               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0   -6.046529260066255  -11.910289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   -5.850005079845077  -11.707289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0   -5.705173462219411  -11.562289606265015               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0   -5.593537784161743  -11.453289606265015               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0   -5.500002611365897  -11.362289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -5.0134164609648675  -10.861289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -4.447526879984787  -10.228289606265013               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.5431323586908507   -9.193289606265015               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -2.9001850005593557   -8.443289606265015               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.4043784536776927   -7.859289606265015               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -1.5082407153612365   -6.794289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -0.8734560316362856   -6.035289606265014               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.1642419447894907   -2.384289606265014               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    5.159125522490793    1.050710393734986               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0   -6.517835957555748  -12.589289606265014               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0   -6.739666281938542  -12.805289606265013               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0   -6.780594779179925  -12.843289606265014               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0   -6.761622369163343  -12.797289606265014               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0   -6.577420523002405  -12.526289606265014               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0   -6.290490149274282  -12.179289606265014               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0   -6.035647564713537  -11.902289606265015               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0   -5.844280438741824  -11.703289606265015               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0   -5.702028102105737  -11.559289606265015               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0   -5.591368209142469  -11.451289606265014               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0     -5.4983341634123  -11.360289606265015               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -5.012844152234304  -10.860289606265015               -100.0
  2.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -4.447526879984787  -10.228289606265013               -100.0
  2.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.5431323586908507   -9.193289606265015               -100.0
  2.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -2.9001850005593557   -8.443289606265015               -100.0
  2.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.4043784536776927   -7.859289606265015               -100.0
  2.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -1.5082407153612365   -6.794289606265014               -100.0
  2.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -0.8734560316362856   -6.035289606265014               -100.0
  2.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.1642419447894907   -2.384289606265014               -100.0
  2.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    5.159125522490793    1.050710393734986               -100.0
  2.5                  7.0000000      1.602176634e-09                  0.0                  0.0   -6.186629115287429  -12.260289606265014               -100.0
  2.5                  8.0000000    -4.4860945752e-08                  0.0                  0.0    -6.49680458319636  -12.564289606265014               -100.0
  2.5                  8.3010300    -1.2016324755e-07                  0.0                  0.0   -6.573877562999674  -12.636289606265015               -100.0
  2.5                  8.4771213   -2.06680785786e-07                  0.0                  0.0   -6.585343086696663  -12.626289606265015               -100.0
  2.5                  8.6020600   -3.01209207192e-07                  0.0                  0.0   -6.463889425427547  -12.432289606265014               -100.0
  2.5                  8.6989700     -4.005441585e-07                  0.0                  0.0   -6.231043983142148  -12.134289606265014               -100.0
  2.5                  8.7781513   -5.06287816344e-07                  0.0                  0.0   -6.002479091414048  -11.877289606265014               -100.0
  2.5                  8.8450980   -6.13633650822e-07                  0.0                  0.0   -5.823532458101915  -11.687289606265015               -100.0
  2.5                  8.9030900   -7.11366425496e-07                  0.0                  0.0   -5.689522750727058  -11.549289606265013               -100.0
  2.5                  8.9542425    -7.6904478432e-07                  0.0                  0.0   -5.583530454867065  -11.444289606265015               -100.0
  2.5                  9.0000000   -7.94679610464e-07                  0.0                  0.0   -5.492635129770994  -11.355289606265014               -100.0
  2.5                  9.1760913   -8.15507906706e-07                  0.0                  0.0   -5.010549284080276  -10.858289606265014               -100.0
  2.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -4.446658733860873  -10.227289606265014               -100.0
  2.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.5431323586908507   -9.193289606265015               -100.0
  2.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -2.9001850005593557   -8.443289606265015               -100.0
  2.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.4043784536776927   -7.859289606265015               -100.0
  2.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -1.5082407153612365   -6.794289606265014               -100.0
  2.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -0.8734560316362856   -6.035289606265014               -100.0
  2.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.1642419447894907   -2.384289606265014               -100.0
  2.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    5.159125522490793    1.050710393734986               -100.0
  3.0                  7.0000000      3.204353268e-09                  0.0                  0.0   -5.825130436133425  -11.900289606265014               -100.0
  3.0                  8.0000000    -2.8839179412e-08                  0.0                  0.0  -6.1277325507347244  -12.197289606265015               -100.0
  3.0                  8.3010300     -8.811971487e-08                  0.0                  0.0  -6.2324659775841145  -12.295289606265014               -100.0
  3.0                  8.4771213   -1.58615486766e-07                  0.0                  0.0   -6.273280783076689  -12.320289606265014               -100.0
  3.0                  8.6020600   -2.37122141832e-07                  0.0                  0.0    -6.22648489189863  -12.223289606265014               -100.0
  3.0                  8.6989700     -3.204353268e-07                  0.0                  0.0   -6.083511606630308  -12.018289606265014               -100.0
  3.0                  8.7781513   -4.10157218304e-07                  0.0                  0.0   -5.911509470243044  -11.808289606265014               -100.0
  3.0                  8.8450980   -5.03083463076e-07                  0.0                  0.0   -5.761842422613058  -11.639289606265015               -100.0
  3.0                  8.9030900   -5.99214061116e-07                  0.0                  0.0  -5.6450069400967315  -11.513289606265014               -100.0
  3.0                  8.9542425   -6.85731599352e-07                  0.0                  0.0   -5.552726225295708  -11.418289606265015               -100.0
  3.0                  9.0000000   -7.46614311444e-07                  0.0                  0.0   -5.471413688203638  -11.336289606265014               -100.0
  3.0                  9.1760913   -8.10701376804e-07                  0.0                  0.0    -5.00419200813928  -10.852289606265014               -100.0
  3.0                  9.3010300    -8.1711008334e-07                  0.0                  0.0   -4.444921652009654  -10.226289606265015               -100.0
  3.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.5431323586908507   -9.192289606265014               -100.0
  3.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -2.899189166251577   -8.443289606265015               -100.0
  3.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.4043784536776927   -7.859289606265015               -100.0
  3.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -1.5082407153612365   -6.794289606265014               -100.0
  3.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -0.8734560316362856   -6.035289606265014               -100.0
  3.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.1642419447894907   -2.384289606265014               -100.0
  3.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    5.159125522490793    1.050710393734986               -100.0
  3.5                  7.0000000       8.01088317e-09                  0.0                  0.0  -5.4791927359917585  -11.554289606265014               -100.0
  3.5                  8.0000000    -1.1215236438e-08                  0.0                  0.0   -5.690956608201481  -11.760289606265014               -100.0
  3.5                  8.3010300    -5.4474005556e-08                  0.0                  0.0   -5.801985351358852  -11.863289606265013               -100.0
  3.5                  8.4771213   -1.10550187746e-07                  0.0                  0.0   -5.856369858300669  -11.906289606265014               -100.0
  3.5                  8.6020600   -1.73035076472e-07                  0.0                  0.0   -5.859653051317031  -11.880289606265015               -100.0
  3.5                  8.6989700     -2.403264951e-07                  0.0                  0.0   -5.802993210931462  -11.777289606265015               -100.0
  3.5                  8.7781513   -3.14026620264e-07                  0.0                  0.0   -5.708037549509163  -11.641289606265014               -100.0
  3.5                  8.8450980    -3.9253327533e-07                  0.0                  0.0   -5.609541850953562  -11.514289606265015               -100.0
  3.5                  8.9030900    -4.7264210703e-07                  0.0                  0.0   -5.523942889153707  -11.412289606265015               -100.0
  3.5                  8.9542425   -5.55955291998e-07                  0.0                  0.0   -5.454200214276593  -11.333289606265014               -100.0
  3.5                  9.0000000   -6.36064123698e-07                  0.0                  0.0   -5.394193104699062  -11.267289606265015               -100.0
  3.5                  9.1760913   -7.94679610464e-07                  0.0                  0.0   -4.984114744460168  -10.831289606265013               -100.0
  3.5                  9.3010300   -8.12303553438e-07                  0.0                  0.0  -4.4388336214762285  -10.219289606265015               -100.0
  3.5                  9.4771213    -8.1711008334e-07                  0.0                  0.0  -3.5411681832331316   -9.191289606265014               -100.0
  3.5                  9.6020600    -8.1711008334e-07                  0.0                  0.0   -2.899189166251577   -8.442289606265014               -100.0
  3.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.4033798821744665   -7.859289606265015               -100.0
  3.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -1.5082407153612365   -6.794289606265014               -100.0
  3.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -0.8734560316362856   -6.035289606265014               -100.0
  3.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.1642419447894907   -2.384289606265014               -100.0
  3.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    5.159125522490793    1.050710393734986               -100.0
  4.0                  7.0000000     1.9226119608e-08                  0.0                  0.0   -5.134916664219481  -11.207289606265014               -100.0
  4.0                  8.0000000       8.01088317e-09                  0.0                  0.0   -5.243875396085175  -11.312289606265015               -100.0
  4.0                  8.3010300    -2.0828296242e-08                  0.0                  0.0   -5.337621561390487  -11.398289606265013               -100.0
  4.0                  8.4771213    -6.0882712092e-08                  0.0                  0.0   -5.392495200603315  -11.442289606265014               -100.0
  4.0                  8.6020600   -1.07345834478e-07                  0.0                  0.0   -5.415427624403898  -11.447289606265015               -100.0
  4.0                  8.6989700     -1.602176634e-07                  0.0                  0.0  -5.4057216556861105  -11.408289606265015               -100.0
  4.0                  8.7781513   -2.17896022224e-07                  0.0                  0.0   -5.370587434387933  -11.338289606265015               -100.0
  4.0                  8.8450980    -2.8038091095e-07                  0.0                  0.0   -5.323257665690523  -11.261289606265015               -100.0
  4.0                  8.9030900   -3.46070152944e-07                  0.0                  0.0   -5.275141885975439  -11.191289606265014               -100.0
  4.0                  8.9542425   -4.13361571572e-07                  0.0                  0.0  -5.2325914453590405  -11.132289606265013               -100.0
  4.0                  9.0000000   -4.85459520102e-07                  0.0                  0.0   -5.195322809242141  -11.083289606265014               -100.0
  4.0                  9.1760913   -7.43409958176e-07                  0.0                  0.0     -4.9174723118852  -10.763289606265014               -100.0
