!74kr -> 74br, e- capture
!Q=-2.956 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0   -3.052891174693872   -8.830289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0  -3.0529651047058524   -8.830289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0  -3.0529749520730936   -8.830289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0   -3.052979165940783   -8.830289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0  -3.0529816018094653   -8.830289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0   -3.052983104312689   -8.830289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0   -3.051978384091003   -8.829289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0  -3.0479351736010343   -8.824289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0  -3.0407973796798613   -8.815289606265015               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   -3.027475769638897   -8.798289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  -3.0078565624054843   -8.772289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -2.850282260526766   -8.570289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -2.6840026113658975   -8.345289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -2.4013943486097737   -7.910289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -2.1031092880005495   -7.485289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -1.7948915196199324   -7.100289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -1.0679216520096535   -6.244289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0 -0.32466628193854147   -5.359289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0    1.963132187075997  -2.6162896062650143               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.890200763115179   0.7817103937349857               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0   -3.052659894036345   -8.829289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0    -3.05288966097536   -8.830289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0  -3.0529207964388236   -8.830289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0   -3.052934120336676   -8.830289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0   -3.052941822477578   -8.830289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0  -3.0529468188504794   -8.830289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0   -3.051947909531221   -8.829289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   -3.047915132408593   -8.824289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0  -3.0407808836683548   -8.814289606265014               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0  -3.0274610917535107   -8.798289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0   -3.007843339638222   -8.772289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -2.8502533691717624   -8.570289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -2.6840026113658975   -8.345289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -2.4013943486097737   -7.910289606265015               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -2.1031092880005495   -7.485289606265014               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -1.7948915196199324   -7.100289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -1.0679216520096535   -6.244289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0 -0.32466628193854147   -5.359289606265014               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0    1.963132187075997  -2.6162896062650143               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.890200763115179   0.7817103937349857               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0  -3.0519642228646204   -8.828289606265015               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0  -3.0526511731660455   -8.829289606265014               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0  -3.0527495857159423   -8.829289606265014               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0  -3.0527917043696693   -8.830289606265014               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0    -3.05281605315869   -8.830289606265014               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0   -3.052831848698573   -8.830289606265014               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0  -3.0518423458229678   -8.829289606265014               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0  -3.0478330060214702   -8.824289606265014               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0   -3.040722255523008   -8.814289606265014               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0  -3.0274118471555833   -8.798289606265014               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0  -3.0077972294460387   -8.772289606265014               -100.0
