!75ge -> 75as, beta-decay
!Q=-1.177 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0                -3.86   -9.797289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0                -3.86   -9.797289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -3.866   -9.804289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -3.884   -9.822289606265015               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0   -3.911999999998595   -9.849289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0    -3.93699999859465   -9.873289606265015               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0  -3.9499998803853837   -9.883289606265015               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   -3.947998747482839   -9.878289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0  -3.9349943143323682   -9.860289606265015               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0  -3.9119820205947424   -9.833289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0   -3.883954421343266   -9.800289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -3.714152069461023   -9.602289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -3.5379192280282497   -9.387289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.1751400815875988   -8.914289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -2.8055127991822784   -8.434289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.4624496676510277   -7.999289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0   -1.773861603456761   -7.116289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.2910375495091626   -6.459289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.3049897067720695   -3.415289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.468002247932091   0.2707103937349857               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0                -3.86   -9.797289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0                -3.86   -9.797289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0               -3.866   -9.804289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0               -3.884   -9.822289606265015               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0  -3.9119999999995554   -9.849289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0   -3.936999999553538   -9.873289606265015               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0   -3.949999950251008   -9.883289606265015               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   -3.947999043282247   -9.878289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0   -3.934994742470932   -9.860289606265015               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0  -3.9119825105735844   -9.833289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0   -3.883954943050772   -9.800289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -3.714152069461023   -9.602289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -3.5379192280282497   -9.387289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.1751400815875988   -8.914289606265015               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -2.8055127991822784   -8.434289606265015               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.4624496676510277   -7.999289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0   -1.773861603456761   -7.116289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.2910375495091626   -6.459289606265014               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.3049897067720695   -3.415289606265014               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.468002247932091   0.2707103937349857               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0                -3.86   -9.797289606265014               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0                -3.86   -9.797289606265014               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0               -3.866   -9.804289606265014               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0               -3.885   -9.822289606265015               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0  -3.9119999999998596   -9.849289606265014               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0  -3.9369999998588163   -9.873289606265015               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0  -3.9499999835644477   -9.883289606265015               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0  -3.9479995138345765   -9.878289606265014               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0  -3.9349958525397004   -9.860289606265015               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0   -3.911983975802126   -9.833289606265014               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0  -3.8839565727231373   -9.800289606265014               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -3.714154017748951   -9.602289606265014               -100.0
