!76as -> 76se, beta-decay
!Q=-2.961 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -5.126  -10.818289606265013               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -4.542  -10.170289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -3.523   -9.132289606265015               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -3.132   -8.739289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0  -2.9319999999998365   -8.538289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0  -2.8169999998448385   -8.422289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0  -2.7489999873589164   -8.353289606265013               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   -2.707999871830631   -8.312289606265015               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0  -2.6849994314298873   -8.289289606265015               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0  -2.6739982061611958   -8.277289606265015               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  -2.6689954419190665   -8.273289606265015               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -2.6839058680090346   -8.288289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -2.700467256803141   -8.304289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -2.6969098650364622   -8.287289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -2.649262819143577   -8.206289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.5614222357469005   -8.066289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.2286191923122654   -7.581289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.9005636210737515   -7.119289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2867359362164916   -3.409289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.409017249467254  0.21271039373498588               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -5.126  -10.818289606265013               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0               -4.542  -10.170289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0               -3.523   -9.132289606265015               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0               -3.132   -8.739289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0  -2.9319999999999484   -8.538289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0   -2.816999999950707   -8.422289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0   -2.748999994742439   -8.353289606265013               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   -2.707999902099646   -8.312289606265015               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0  -2.6849994730322377   -8.289289606265015               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0  -2.6739982550481853   -8.277289606265015               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0   -2.668995494094717   -8.273289606265015               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -2.6839058680090346   -8.288289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -2.700467256803141   -8.304289606265014               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -2.6969098650364622   -8.287289606265015               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -2.649262819143577   -8.206289606265015               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.5614222357469005   -8.066289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.2286191923122654   -7.581289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.9005636210737515   -7.119289606265014               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2867359362164916   -3.409289606265014               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.409017249467254  0.21271039373498588               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0               -5.126  -10.818289606265013               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0               -4.542  -10.170289606265014               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0               -3.523   -9.132289606265015               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0               -3.132   -8.739289606265014               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0  -2.9319999999999835   -8.538289606265014               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0  -2.8169999999845197   -8.422289606265014               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0   -2.748999998263062   -8.353289606265013               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0   -2.707999950251008   -8.312289606265015               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0  -2.6849995852521875   -8.289289606265015               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0   -2.673998401239124   -8.277289606265015               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0   -2.668995657076896   -8.273289606265015               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -2.683906084483199   -8.288289606265014               -100.0
  2.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -2.700467256803141   -8.304289606265014               -100.0
  2.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -2.6969098650364622   -8.287289606265015               -100.0
  2.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -2.649262819143577   -8.206289606265015               -100.0
  2.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.5614222357469005   -8.066289606265014               -100.0
  2.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.2286191923122654   -7.581289606265014               -100.0
  2.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.9005636210737515   -7.119289606265014               -100.0
  2.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2867359362164916   -3.409289606265014               -100.0
  2.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.409017249467254  0.21271039373498588               -100.0
  2.5                  7.0000000      1.602176634e-09                  0.0                  0.0               -5.126  -10.818289606265013               -100.0
  2.5                  8.0000000    -4.4860945752e-08                  0.0                  0.0               -4.542  -10.170289606265014               -100.0
  2.5                  8.3010300    -1.2016324755e-07                  0.0                  0.0               -3.523   -9.132289606265015               -100.0
  2.5                  8.4771213   -2.06680785786e-07                  0.0                  0.0               -3.132   -8.739289606265014               -100.0
  2.5                  8.6020600   -3.01209207192e-07                  0.0                  0.0  -2.9319999999999946   -8.538289606265014               -100.0
  2.5                  8.6989700     -4.005441585e-07                  0.0                  0.0   -2.816999999995071   -8.422289606265014               -100.0
  2.5                  8.7781513   -5.06287816344e-07                  0.0                  0.0  -2.7489999994481966   -8.353289606265013               -100.0
  2.5                  8.8450980   -6.13633650822e-07                  0.0                  0.0   -2.707999982510222   -8.312289606265015               -100.0
  2.5                  8.9030900   -7.11366425496e-07                  0.0                  0.0   -2.684999776753736   -8.289289606265015               -100.0
  2.5                  8.9542425    -7.6904478432e-07                  0.0                  0.0    -2.67399877599357   -8.277289606265015               -100.0
  2.5                  9.0000000   -7.94679610464e-07                  0.0                  0.0  -2.6689961471474843   -8.273289606265015               -100.0
  2.5                  9.1760913   -8.15507906706e-07                  0.0                  0.0  -2.6839069454135953   -8.288289606265014               -100.0
  2.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0   -2.700468481329012   -8.304289606265014               -100.0
  2.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -2.6969098650364622   -8.287289606265015               -100.0
  2.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -2.649262819143577   -8.206289606265015               -100.0
  2.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.5614222357469005   -8.066289606265014               -100.0
  2.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.2286191923122654   -7.581289606265014               -100.0
  2.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.9005636210737515   -7.119289606265014               -100.0
  2.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2867359362164916   -3.409289606265014               -100.0
  2.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.409017249467254  0.21271039373498588               -100.0
  3.0                  7.0000000      3.204353268e-09                  0.0                  0.0               -5.126  -10.818289606265013               -100.0
  3.0                  8.0000000    -2.8839179412e-08                  0.0                  0.0               -4.542  -10.170289606265014               -100.0
  3.0                  8.3010300     -8.811971487e-08                  0.0                  0.0               -3.523   -9.132289606265015               -100.0
  3.0                  8.4771213   -1.58615486766e-07                  0.0                  0.0               -3.132   -8.739289606265014               -100.0
  3.0                  8.6020600   -2.37122141832e-07                  0.0                  0.0   -2.931999999999998   -8.538289606265014               -100.0
  3.0                  8.6989700     -3.204353268e-07                  0.0                  0.0   -2.816999999998445   -8.422289606265014               -100.0
  3.0                  8.7781513   -4.10157218304e-07                  0.0                  0.0   -2.748999999825906   -8.353289606265013               -100.0
  3.0                  8.8450980   -5.03083463076e-07                  0.0                  0.0  -2.7079999943923063   -8.312289606265015               -100.0
  3.0                  8.9030900   -5.99214061116e-07                  0.0                  0.0   -2.684999919316585   -8.289289606265015               -100.0
  3.0                  8.9542425   -6.85731599352e-07                  0.0                  0.0  -2.6739993794396817   -8.277289606265015               -100.0
  3.0                  9.0000000   -7.46614311444e-07                  0.0                  0.0  -2.6689973098099244   -8.273289606265015               -100.0
  3.0                  9.1760913   -8.10701376804e-07                  0.0                  0.0   -2.683909272499432   -8.288289606265014               -100.0
  3.0                  9.3010300    -8.1711008334e-07                  0.0                  0.0  -2.7004709219485354   -8.304289606265014               -100.0
  3.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0    -2.69691922802825   -8.287289606265015               -100.0
  3.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -2.649262819143577   -8.206289606265015               -100.0
  3.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.5614222357469005   -8.066289606265014               -100.0
  3.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.2286191923122654   -7.581289606265014               -100.0
  3.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.9005636210737515   -7.119289606265014               -100.0
  3.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2867359362164916   -3.409289606265014               -100.0
  3.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.409017249467254  0.21271039373498588               -100.0
  3.5                  7.0000000       8.01088317e-09                  0.0                  0.0               -5.127  -10.819289606265015               -100.0
  3.5                  8.0000000    -1.1215236438e-08                  0.0                  0.0               -4.542  -10.170289606265014               -100.0
  3.5                  8.3010300    -5.4474005556e-08                  0.0                  0.0               -3.523   -9.132289606265015               -100.0
  3.5                  8.4771213   -1.10550187746e-07                  0.0                  0.0               -3.132   -8.739289606265014               -100.0
  3.5                  8.6020600   -1.73035076472e-07                  0.0                  0.0  -2.9319999999999995   -8.538289606265014               -100.0
  3.5                  8.6989700     -2.403264951e-07                  0.0                  0.0  -2.8169999999995117   -8.422289606265014               -100.0
  3.5                  8.7781513   -3.14026620264e-07                  0.0                  0.0  -2.7489999999451995   -8.353289606265013               -100.0
  3.5                  8.8450980    -3.9253327533e-07                  0.0                  0.0    -2.70799999823077   -8.312289606265015               -100.0
  3.5                  8.9030900    -4.7264210703e-07                  0.0                  0.0  -2.6849999741307227   -8.289289606265015               -100.0
  3.5                  8.9542425   -5.55955291998e-07                  0.0                  0.0  -2.6739997798167887   -8.278289606265014               -100.0
  3.5                  9.0000000   -6.36064123698e-07                  0.0                  0.0   -2.668998781617361   -8.273289606265015               -100.0
  3.5                  9.1760913   -7.94679610464e-07                  0.0                  0.0  -2.6839161037860513   -8.288289606265014               -100.0
  3.5                  9.3010300   -8.12303553438e-07                  0.0                  0.0   -2.700480572938736   -8.304289606265014               -100.0
  3.5                  9.4771213    -8.1711008334e-07                  0.0                  0.0    -2.69692856968692   -8.287289606265015               -100.0
  3.5                  9.6020600    -8.1711008334e-07                  0.0                  0.0  -2.6492939204380774   -8.206289606265015               -100.0
  3.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0  -2.5614222357469005   -8.066289606265014               -100.0
  3.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.2286191923122654   -7.581289606265014               -100.0
  3.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.9005636210737515   -7.119289606265014               -100.0
  3.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2867359362164916   -3.409289606265014               -100.0
  3.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.409017249467254  0.21271039373498588               -100.0
  4.0                  7.0000000     1.9226119608e-08                  0.0                  0.0               -5.128  -10.820289606265014               -100.0
  4.0                  8.0000000       8.01088317e-09                  0.0                  0.0               -4.543  -10.171289606265015               -100.0
  4.0                  8.3010300    -2.0828296242e-08                  0.0                  0.0               -3.523   -9.133289606265015               -100.0
  4.0                  8.4771213    -6.0882712092e-08                  0.0                  0.0               -3.132   -8.740289606265014               -100.0
  4.0                  8.6020600   -1.07345834478e-07                  0.0                  0.0               -2.932   -8.539289606265015               -100.0
  4.0                  8.6989700     -1.602176634e-07                  0.0                  0.0  -2.8179999999998486   -8.423289606265014               -100.0
  4.0                  8.7781513   -2.17896022224e-07                  0.0                  0.0   -2.748999999982948   -8.353289606265013               -100.0
  4.0                  8.8450980    -2.8038091095e-07                  0.0                  0.0   -2.707999999446925   -8.312289606265015               -100.0
  4.0                  8.9030900   -3.46070152944e-07                  0.0                  0.0  -2.6859999918570026   -8.289289606265015               -100.0
  4.0                  8.9542425   -4.13361571572e-07                  0.0                  0.0  -2.6739999300505546   -8.278289606265014               -100.0
  4.0                  9.0000000   -4.85459520102e-07                  0.0                  0.0   -2.668999590942738   -8.273289606265015               -100.0
  4.0                  9.1760913   -7.43409958176e-07                  0.0                  0.0  -2.6839344230033833   -8.289289606265015               -100.0
  4.0                  9.3010300   -7.96281787098e-07                  0.0                  0.0   -2.700507350594197   -8.304289606265014               -100.0
  4.0                  9.4771213   -8.12303553438e-07                  0.0                  0.0   -2.696965723951811   -8.287289606265015               -100.0
  4.0                  9.6020600   -8.15507906706e-07                  0.0                  0.0   -2.649324952421335   -8.206289606265015               -100.0
  4.0                  9.6989700    -8.1711008334e-07                  0.0                  0.0  -2.5614901492742823   -8.066289606265014               -100.0
  4.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -2.2286191923122654   -7.581289606265014               -100.0
  4.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -1.9005636210737515   -7.119289606265014               -100.0
  4.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.2867359362164916   -3.409289606265014               -100.0
  4.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.409017249467254  0.21271039373498588               -100.0
  4.5                  7.0000000      4.005441585e-08                  0.0                  0.0               -5.133  -10.824289606265014               -100.0
  4.5                  8.0000000     3.5247885948e-08                  0.0                  0.0               -4.545  -10.174289606265013               -100.0
  4.5                  8.3010300     1.9226119608e-08                  0.0                  0.0               -3.525   -9.135289606265014               -100.0
  4.5                  8.4771213     -6.408706536e-09                  0.0                  0.0               -3.133   -8.741289606265015               -100.0
  4.5                  8.6020600    -3.8452239216e-08                  0.0                  0.0               -2.933   -8.540289606265015               -100.0
  4.5                  8.6989700    -7.5302301798e-08                  0.0                  0.0   -2.817999999999955   -8.424289606265015               -100.0
  4.5                  8.7781513   -1.18561070916e-07                  0.0                  0.0  -2.7499999999948503   -8.355289606265014               -100.0
