!76ga -> 76ge, beta-decay
!Q=-6.916 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -1.661   -7.095289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -1.661   -7.095289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -1.661   -7.094289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -1.651   -7.081289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0   -1.602999999999885   -7.017289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0  -1.5109999999088441   -6.897289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0  -1.3959999941009196   -6.756289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0  -1.2819999522707854   -6.623289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0  -1.1799998263062368   -6.508289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   -1.092999537848805  -6.4122896062650145               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  -1.0189989748585384   -6.333289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -0.7849862666197621  -6.0822896062650145               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -0.6549379483570148   -5.944289606265015               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0 -0.48363725375495115   -5.754289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0 -0.34496660225394365   -5.595289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0 -0.23481881119271514   -5.467289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0 -0.10630182848922488   -5.314289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0 0.003565892307121458   -5.174289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.6992292375232814   -3.017289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.606171276851156   0.4167103937349856               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -1.661   -7.095289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0               -1.661   -7.095289606265014               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0               -1.661   -7.094289606265014               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0               -1.651   -7.081289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0  -1.6029999999999636   -7.017289606265014               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0  -1.5109999999710408   -6.897289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0  -1.3959999975465098   -6.756289606265014               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0   -1.281999963626567   -6.623289606265014               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0  -1.1799998393856919   -6.508289606265014               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0  -1.0929995504437018  -6.4122896062650145               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0   -1.018998986593222   -6.333289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -0.7849862666197621  -6.0822896062650145               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -0.6549379483570148   -5.944289606265015               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0 -0.48363725375495115   -5.754289606265014               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0 -0.34496660225394365   -5.595289606265014               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0 -0.23481881119271514   -5.467289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0 -0.10630182848922488   -5.314289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0 0.003565892307121458   -5.174289606265014               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.6992292375232814   -3.017289606265014               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.606171276851156   0.4167103937349856               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0               -1.661   -7.095289606265014               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0               -1.661   -7.095289606265014               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0               -1.661   -7.094289606265014               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0               -1.651   -7.081289606265014               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0  -1.6029999999999884   -7.017289606265014               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0  -1.5109999999908212   -6.897289606265014               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0  -1.3959999991913057   -6.756289606265014               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0  -1.2819999815164962   -6.623289606265014               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0   -1.179999873297773   -6.508289606265014               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0  -1.0929995881072903  -6.4122896062650145               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0  -1.0189990254955557   -6.333289606265014               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -0.7849862982051619  -6.0822896062650145               -100.0
  2.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -0.6549379483570148   -5.944289606265015               -100.0
  2.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0 -0.48363725375495115   -5.754289606265014               -100.0
  2.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0 -0.34496660225394365   -5.595289606265014               -100.0
  2.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0 -0.23481881119271514   -5.467289606265014               -100.0
  2.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0 -0.10630182848922488   -5.314289606265014               -100.0
  2.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0 0.003565892307121458   -5.174289606265014               -100.0
  2.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.6992292375232814   -3.017289606265014               -100.0
  2.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.606171276851156   0.4167103937349856               -100.0
  2.5                  7.0000000      1.602176634e-09                  0.0                  0.0               -1.661   -7.095289606265014               -100.0
  2.5                  8.0000000    -4.4860945752e-08                  0.0                  0.0               -1.661   -7.095289606265014               -100.0
  2.5                  8.3010300    -1.2016324755e-07                  0.0                  0.0               -1.661   -7.094289606265014               -100.0
  2.5                  8.4771213   -2.06680785786e-07                  0.0                  0.0               -1.651   -7.081289606265014               -100.0
  2.5                  8.6020600   -3.01209207192e-07                  0.0                  0.0  -1.6029999999999964   -7.017289606265014               -100.0
  2.5                  8.6989700     -4.005441585e-07                  0.0                  0.0   -1.510999999997104   -6.897289606265014               -100.0
  2.5                  8.7781513   -5.06287816344e-07                  0.0                  0.0  -1.3959999997448564   -6.756289606265014               -100.0
  2.5                  8.8450980   -6.13633650822e-07                  0.0                  0.0  -1.2819999934869517   -6.623289606265014               -100.0
  2.5                  8.9030900   -7.11366425496e-07                  0.0                  0.0  -1.1799999319568708   -6.508289606265014               -100.0
  2.5                  8.9542425    -7.6904478432e-07                  0.0                  0.0   -1.092999684656304  -6.4122896062650145               -100.0
  2.5                  9.0000000   -7.94679610464e-07                  0.0                  0.0   -1.018999133469451   -6.333289606265014               -100.0
  2.5                  9.1760913   -8.15507906706e-07                  0.0                  0.0  -0.7849864238220087  -6.0822896062650145               -100.0
  2.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -0.6549380910616617   -5.944289606265015               -100.0
  2.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0 -0.48363725375495115   -5.754289606265014               -100.0
  2.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0 -0.34496660225394365   -5.595289606265014               -100.0
  2.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0 -0.23481881119271514   -5.467289606265014               -100.0
  2.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0 -0.10630182848922488   -5.314289606265014               -100.0
  2.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0 0.003565892307121458   -5.174289606265014               -100.0
  2.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.6992292375232814   -3.017289606265014               -100.0
  2.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.606171276851156   0.4167103937349856               -100.0
  3.0                  7.0000000      3.204353268e-09                  0.0                  0.0               -1.661   -7.095289606265014               -100.0
  3.0                  8.0000000    -2.8839179412e-08                  0.0                  0.0               -1.661   -7.095289606265014               -100.0
  3.0                  8.3010300     -8.811971487e-08                  0.0                  0.0               -1.661   -7.094289606265014               -100.0
  3.0                  8.4771213   -1.58615486766e-07                  0.0                  0.0               -1.651   -7.081289606265014               -100.0
  3.0                  8.6020600   -2.37122141832e-07                  0.0                  0.0  -1.6029999999999989   -7.017289606265014               -100.0
  3.0                  8.6989700     -3.204353268e-07                  0.0                  0.0  -1.5109999999990862   -6.897289606265014               -100.0
  3.0                  8.7781513   -4.10157218304e-07                  0.0                  0.0  -1.3959999999187571   -6.756289606265014               -100.0
  3.0                  8.8450980   -5.03083463076e-07                  0.0                  0.0  -1.2819999979165442   -6.623289606265014               -100.0
  3.0                  8.9030900   -5.99214061116e-07                  0.0                  0.0  -1.1799999755215282   -6.508289606265014               -100.0
  3.0                  8.9542425   -6.85731599352e-07                  0.0                  0.0  -1.0929998397550946  -6.4122896062650145               -100.0
  3.0                  9.0000000   -7.46614311444e-07                  0.0                  0.0  -1.0189993935653494   -6.333289606265014               -100.0
  3.0                  9.1760913   -8.10701376804e-07                  0.0                  0.0  -0.7849867328488283  -6.0822896062650145               -100.0
  3.0                  9.3010300    -8.1711008334e-07                  0.0                  0.0  -0.6549383754872158   -5.944289606265015               -100.0
  3.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -0.4836380877006376   -5.754289606265014               -100.0
  3.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0 -0.34496660225394365   -5.595289606265014               -100.0
  3.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0 -0.23481881119271514   -5.467289606265014               -100.0
  3.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0 -0.10630182848922488   -5.314289606265014               -100.0
  3.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0 0.003565892307121458   -5.174289606265014               -100.0
  3.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   1.6992292375232814   -3.017289606265014               -100.0
  3.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.606171276851156   0.4167103937349856               -100.0
  3.5                  7.0000000       8.01088317e-09                  0.0                  0.0               -1.661   -7.095289606265014               -100.0
