!77br -> 77kr, beta-decay
!Q=3.065 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0              -67.879   -73.93928960626502               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0              -35.598   -41.64128960626501               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0              -24.516  -30.541289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -18.831  -24.842289606265016               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0               -15.34  -21.332289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -13.094  -19.069289606265013               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -11.851  -17.812289606265015               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -11.029  -16.968289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0              -10.388  -16.314289606265014               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0               -9.868  -15.777289606265013               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -8.166999999224139  -13.998289606265013               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -7.1529999362053465  -12.912289606265015               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0    -5.86399683930397  -11.497289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -4.997986043473871  -10.527289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -4.337975124496872   -9.781289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -3.1449725987351402   -8.423289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -2.2649827902046336   -7.422289606265014               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   0.9570001533854746   -3.790289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0    4.215000000213198 0.012710393734985632               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0              -68.379   -74.44028960626501               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0              -36.099   -42.14128960626501               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0              -25.016  -31.041289606265014               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0               -19.33  -25.338289606265015               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0              -15.842  -21.829289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0              -13.476  -19.453289606265013               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0              -11.969  -17.929289606265016               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0              -11.063  -17.001289606265015               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0                -10.4  -16.326289606265014               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0               -9.873  -15.782289606265014               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0    -8.16799999922235  -13.999289606265014               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -7.1529999362053465  -12.912289606265015               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0    -5.86399683930397  -11.497289606265014               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -4.997986043473871  -10.527289606265015               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -4.337975124496872   -9.781289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -3.1449725987351402   -8.423289606265014               -100.0
