!78br -> 78se, e- capture
!Q=-3.574 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0  -2.7919559686201616   -8.451289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0  -2.8099857183899597   -8.469289606265015               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0  -2.9119890660056713   -8.571289606265013               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0   -3.012990051002155   -8.674289606265015               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0  -3.0929903666021943   -8.755289606265015               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0   -3.158990344395166   -8.823289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0    -3.21698651727831   -8.882289606265015               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0   -3.269955765390897   -8.937289606265015               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   -3.317848396751441   -8.986289606265014               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0  -3.3605669203735666   -9.030289606265015               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  -3.3989522435868276   -9.069289606265015               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -3.5242364452941937   -9.194289606265015               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -3.5251296583667804   -9.178289606265015               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.1680613135023705   -8.738289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -2.6693008200423587   -8.155289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0    -2.22675013689894   -7.639289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -1.3855702093889588   -6.648289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -0.7763191966983861  -5.9202896062650145               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.2875137565605392  -2.2492896062650143               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0      5.2141385846142   1.1077103937349855               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0   -2.791862369244424   -8.451289606265014               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0   -2.809954943050772   -8.469289606265015               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0   -2.911965424615097   -8.571289606265013               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0  -3.0129685392855543   -8.674289606265015               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0  -3.0929695372518595   -8.755289606265015               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0  -3.1589696073117848   -8.823289606265014               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0   -3.216967583352173   -8.882289606265015               -100.0
  1.5                  8.8450980   -7.80260020758e-07                  0.0                  0.0  -3.2699420897611926   -8.937289606265015               -100.0
  1.5                  8.9030900   -8.05894846902e-07                  0.0                  0.0  -3.3178360534298466   -8.986289606265014               -100.0
  1.5                  8.9542425   -8.13905730072e-07                  0.0                  0.0   -3.360554793302621   -9.030289606265015               -100.0
  1.5                  9.0000000   -8.15507906706e-07                  0.0                  0.0  -3.3989401259317162   -9.069289606265015               -100.0
  1.5                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -3.5242364452941937   -9.194289606265015               -100.0
  1.5                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -3.5251296583667804   -9.178289606265015               -100.0
  1.5                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.1680613135023705   -8.738289606265015               -100.0
  1.5                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -2.6693008200423587   -8.155289606265015               -100.0
  1.5                  9.6989700   -8.18712259974e-07                  0.0                  0.0    -2.22675013689894   -7.639289606265014               -100.0
  1.5                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -1.3855702093889588   -6.648289606265014               -100.0
  1.5                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -0.7763191966983861  -5.9202896062650145               -100.0
  1.5                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.2875137565605392  -2.2492896062650143               -100.0
  1.5                 11.0000000   -8.18712259974e-07                  0.0                  0.0      5.2141385846142   1.1077103937349855               -100.0
  2.0                  7.0000000     -1.602176634e-09                  0.0                  0.0   -2.791579685727754   -8.450289606265015               -100.0
  2.0                  8.0000000    -6.0882712092e-08                  0.0                  0.0   -2.809857533394696   -8.469289606265015               -100.0
  2.0                  8.3010300    -1.5220678023e-07                  0.0                  0.0   -2.911890672442302   -8.571289606265013               -100.0
  2.0                  8.4771213   -2.53143908172e-07                  0.0                  0.0   -3.012900520276272   -8.674289606265015               -100.0
  2.0                  8.6020600   -3.63694095918e-07                  0.0                  0.0   -3.092903675636433   -8.755289606265015               -100.0
  2.0                  8.6989700     -4.806529902e-07                  0.0                  0.0  -3.1589041181578317   -8.823289606265014               -100.0
  2.0                  8.7781513    -6.0081623775e-07                  0.0                  0.0  -3.2169018850350835   -8.882289606265015               -100.0
  2.0                  8.8450980   -7.14570778764e-07                  0.0                  0.0   -3.269886046588009   -8.937289606265015               -100.0
  2.0                  8.9030900   -7.80260020758e-07                  0.0                  0.0   -3.317792183321723   -8.986289606265014               -100.0
  2.0                  8.9542425   -8.02690493634e-07                  0.0                  0.0   -3.360514106217618   -9.030289606265015               -100.0
  2.0                  9.0000000   -8.10701376804e-07                  0.0                  0.0  -3.3989004008493335   -9.069289606265015               -100.0
  2.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0  -3.5241472745813223   -9.194289606265015               -100.0
  2.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -3.5251296583667804   -9.178289606265015               -100.0
  2.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -3.1680613135023705   -8.738289606265015               -100.0
  2.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -2.6693008200423587   -8.155289606265015               -100.0
  2.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0    -2.22675013689894   -7.639289606265014               -100.0
  2.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0  -1.3855702093889588   -6.648289606265014               -100.0
  2.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0  -0.7763191966983861  -5.9202896062650145               -100.0
  2.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0   2.2875137565605392  -2.2492896062650143               -100.0
  2.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0      5.2141385846142   1.1077103937349855               -100.0
  2.5                  7.0000000      1.602176634e-09                  0.0                  0.0  -2.7907916854254187   -8.448289606265014               -100.0
