!78se -> 78as, e- capture
!Q=4.209 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0              -83.067   -89.96828960626502               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -64.972   -71.74628960626501               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0              -53.849   -60.52528960626501               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -46.141  -52.737289606265016               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -40.218  -46.743289606265016               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -35.568   -42.03428960626501               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0              -31.888   -38.30028960626502               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0              -28.921  -35.283289606265015               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0              -19.944  -26.118289606265016               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0              -15.371  -21.413289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0              -10.651  -16.504289606265015               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -8.188998014895752  -13.907289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -6.636923131947744  -12.252289606265014               -100.0
