!79as -> 79ge, e- capture
!Q=4.106 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0              -80.389   -87.28928960626502               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -62.808   -69.58228960626501               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0              -52.226  -58.902289606265015               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0               -44.83   -51.42428960626501               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -39.233  -45.758289606265016               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -34.888  -41.353289606265015               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0              -31.458   -37.87028960626502               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0              -28.684   -35.05028960626501               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0              -20.159  -26.343289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0              -15.711  -21.764289606265013               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0              -11.012  -16.878289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0   -8.476997163499314  -14.209289606265013               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -6.839963628088539  -12.468289606265014               -100.0
