!79sr -> 79y, beta-decay
!Q=7.680 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(beta-decay-rate) Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0              -68.004   -74.06328960626502               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0              -35.686   -41.72728960626502               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0               -24.58  -30.603289606265015               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0              -18.866  -24.871289606265016               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0              -15.347  -21.339289606265016               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0              -13.078  -19.054289606265016               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0              -11.824  -17.776289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0              -10.987  -16.927289606265013               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0              -10.347  -16.270289606265013               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0               -9.827  -15.734289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0               -8.149  -13.978289606265013               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0               -7.163  -12.920289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0               -5.929  -11.560289606265014               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0               -5.121  -10.649289606265015               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0               -4.526   -9.968289606265014               -100.0
  1.0                  9.8750613   -8.18712259974e-07                  0.0                  0.0               -3.505   -8.782289606265014               -100.0
  1.0                 10.0000000   -8.18712259974e-07                  0.0                  0.0               -2.745   -7.902289606265015               -100.0
  1.0                 10.4771213   -8.18712259974e-07                  0.0                  0.0                0.702   -4.019289606265014               -100.0
  1.0                 11.0000000   -8.18712259974e-07                  0.0                  0.0                3.865  -0.3332896062650144               -100.0
  1.5                  7.0000000     -3.204353268e-09                  0.0                  0.0               -100.0               -100.0               -100.0
  1.5                  8.0000000    -7.6904478432e-08                  0.0                  0.0              -68.504   -74.56428960626502               -100.0
  1.5                  8.3010300    -1.8425031291e-07                  0.0                  0.0              -36.186   -42.22728960626502               -100.0
  1.5                  8.4771213   -3.01209207192e-07                  0.0                  0.0               -25.08  -31.103289606265015               -100.0
  1.5                  8.6020600   -4.27781161278e-07                  0.0                  0.0              -19.366  -25.371289606265016               -100.0
  1.5                  8.6989700   -5.59159645266e-07                  0.0                  0.0              -15.845  -21.834289606265017               -100.0
  1.5                  8.7781513   -6.92140305888e-07                  0.0                  0.0              -13.463  -19.432289606265016               -100.0
