!80rb -> 80kr, e- capture
!Q=-5.718 MeV
!
!Log(rhoY)            Log(temp)            mu                   dQ                   Vs                   Log(e-cap-rate)      Log(nu-energy-loss)  Log(gamma-energy)   
!Log(g/cm^3)          Log(K)               erg                  erg                  erg                  Log(1/s)             Log(erg/s)           Log(erg/s)          
  1.0                  7.0000000     -4.806529902e-09                  0.0                  0.0  -1.7109927592977163   -7.119289606265014               -100.0
  1.0                  8.0000000    -9.2926244772e-08                  0.0                  0.0  -1.7109976837621557   -7.119289606265014               -100.0
  1.0                  8.3010300   -2.14691668956e-07                  0.0                  0.0  -1.7109983488615699   -7.119289606265014               -100.0
  1.0                  8.4771213   -3.49274506212e-07                  0.0                  0.0  -1.7109986360965457   -7.119289606265014               -100.0
  1.0                  8.6020600   -4.91868226638e-07                  0.0                  0.0  -1.7109988038553194   -7.119289606265014               -100.0
  1.0                  8.6989700   -6.39268476966e-07                  0.0                  0.0  -1.7109989091029538   -7.119289606265014               -100.0
  1.0                  8.7781513   -7.65840431052e-07                  0.0                  0.0  -1.7119986075371572   -7.119289606265014               -100.0
  1.0                  8.8450980   -8.05894846902e-07                  0.0                  0.0  -1.7129958333959852   -7.120289606265014               -100.0
  1.0                  8.9030900   -8.15507906706e-07                  0.0                  0.0   -1.714986884714359  -7.1222896062650145               -100.0
  1.0                  8.9542425    -8.1711008334e-07                  0.0                  0.0   -1.716965662620964   -7.125289606265015               -100.0
  1.0                  9.0000000   -8.18712259974e-07                  0.0                  0.0  -1.7209231319477443   -7.129289606265014               -100.0
  1.0                  9.1760913   -8.18712259974e-07                  0.0                  0.0   -1.749935239767461   -7.158289606265014               -100.0
  1.0                  9.3010300   -8.18712259974e-07                  0.0                  0.0  -1.7830759781186858   -7.189289606265014               -100.0
  1.0                  9.4771213   -8.18712259974e-07                  0.0                  0.0  -1.8174603479353935  -7.2072896062650145               -100.0
  1.0                  9.6020600   -8.18712259974e-07                  0.0                  0.0  -1.7848404086868523   -7.135289606265014               -100.0
  1.0                  9.6989700   -8.18712259974e-07                  0.0                  0.0   -1.671621450266115   -6.967289606265014               -100.0
