!18Ne (0+, 2+) -> 18F    e-capture   with screening effects
!USDB ,   GT+Fermi,   Q (18Ne-18F) = 4.4445 MeV 
!Experimental data are used.
!
! rhoY T mu dQ Vs e-cap-rate nu-erergy-loss gamma-energy
! g/cm^3 K erg erg erg 1/s erg/s erg/s 

1.000000e+07 1.000000e+07 1.955461e-06 4.471684e-08 1.235281e-08 2.899680e-01 2.152392e-06 1.233989e-07
1.000000e+07 1.584893e+07 1.953538e-06 4.446049e-08 1.235281e-08 2.836221e-01 2.103155e-06 1.205900e-07
1.000000e+07 2.511886e+07 1.950814e-06 4.412404e-08 1.235281e-08 2.805757e-01 2.079559e-06 1.192645e-07
1.000000e+07 3.981072e+07 1.948571e-06 4.365941e-08 1.235281e-08 2.804788e-01 2.078937e-06 1.192096e-07
1.000000e+07 6.309573e+07 1.947129e-06 4.305058e-08 1.235281e-08 2.812225e-01 2.084881e-06 1.195395e-07
1.000000e+07 1.000000e+08 1.946168e-06 4.224949e-08 1.235281e-08 2.817929e-01 2.089591e-06 1.198150e-07
1.000000e+07 1.122018e+08 1.946008e-06 4.200916e-08 1.235281e-08 2.819032e-01 2.090505e-06 1.198702e-07
1.000000e+07 1.258925e+08 1.945848e-06 4.175281e-08 1.235281e-08 2.819941e-01 2.091372e-06 1.198978e-07
1.000000e+07 1.412538e+08 1.945687e-06 4.148044e-08 1.235281e-08 2.820785e-01 2.092191e-06 1.199531e-07
1.000000e+07 1.584893e+08 1.945527e-06 4.119205e-08 1.235281e-08 2.821760e-01 2.093058e-06 1.200083e-07
1.000000e+07 1.778279e+08 1.945207e-06 4.088763e-08 1.235281e-08 2.822409e-01 2.093733e-06 1.200359e-07
1.000000e+07 1.995262e+08 1.945047e-06 4.056720e-08 1.235281e-08 2.823384e-01 2.094697e-06 1.200912e-07
1.000000e+07 2.238721e+08 1.944566e-06 4.023074e-08 1.235281e-08 2.823904e-01 2.095373e-06 1.201189e-07
1.000000e+07 2.511886e+08 1.944245e-06 3.986224e-08 1.235281e-08 2.825010e-01 2.096579e-06 1.202019e-07
1.000000e+07 2.818383e+08 1.943605e-06 3.947772e-08 1.235281e-08 2.826116e-01 2.097787e-06 1.202573e-07
1.000000e+07 3.162278e+08 1.942964e-06 3.907717e-08 1.235281e-08 2.827223e-01 2.099140e-06 1.203127e-07
1.000000e+07 3.548134e+08 1.941842e-06 3.864458e-08 1.235281e-08 2.828329e-01 2.100493e-06 1.203958e-07
1.000000e+07 3.981072e+08 1.940721e-06 3.819597e-08 1.235281e-08 2.830154e-01 2.102574e-06 1.205067e-07
1.000000e+07 4.466836e+08 1.939439e-06 3.771532e-08 1.235281e-08 2.832631e-01 2.105335e-06 1.206455e-07
1.000000e+07 5.011872e+08 1.937516e-06 3.720262e-08 1.235281e-08 2.834915e-01 2.108149e-06 1.207845e-07
1.000000e+07 5.623413e+08 1.935273e-06 3.667390e-08 1.235281e-08 2.838180e-01 2.111890e-06 1.209794e-07
1.000000e+07 6.309573e+08 1.932389e-06 3.612916e-08 1.235281e-08 2.842366e-01 2.116661e-06 1.212303e-07
1.000000e+07 7.079458e+08 1.928704e-06 3.553635e-08 1.235281e-08 2.847017e-01 2.122224e-06 1.215098e-07
1.000000e+07 7.943282e+08 1.924058e-06 3.494355e-08 1.235281e-08 2.853120e-01 2.129322e-06 1.219021e-07
1.000000e+07 8.912509e+08 1.918290e-06 3.430267e-08 1.235281e-08 2.860487e-01 2.137969e-06 1.223521e-07
1.000000e+07 1.000000e+09 1.910920e-06 3.364578e-08 1.235281e-08 2.869327e-01 2.148529e-06 1.228885e-07
1.000000e+07 1.122018e+09 1.901627e-06 3.295684e-08 1.235281e-08 2.880448e-01 2.161779e-06 1.235695e-07
1.000000e+07 1.258925e+09 1.889932e-06 3.225188e-08 1.235281e-08 2.894410e-01 2.178368e-06 1.244260e-07
1.000000e+07 1.412538e+09 1.875352e-06 3.151488e-08 1.235281e-08 2.911656e-01 2.199031e-06 1.254906e-07
1.000000e+07 1.584893e+09 1.856766e-06 3.076186e-08 1.235281e-08 2.932986e-01 2.224648e-06 1.267977e-07
