!24Mg (0+, 2+) -> 24Na,  e-capture,  with screening effects
!USDB      Q=-5.5156 MeV
!Experimental energies and FF 2+(1.369 MeV)  -> 4+(g.s.) is included 
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!Log(g/cm^3)      Log(K)            erg          erg          erg          Log(1/s)          Log(erg/s)       Log(erg/s)
7.00              7.00              1.95289e-06  5.09492e-08  1.48362e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.20              1.95113e-06  5.07249e-08  1.48362e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.40              1.94841e-06  5.04045e-08  1.48362e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.60              1.94600e-06  4.99719e-08  1.48362e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.80              1.94456e-06  4.93951e-08  1.48362e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              8.00              1.94376e-06  4.86421e-08  1.48362e-08  -2.57560e+02      -2.65005e+02     -2.81475e+02
7.00              8.05              1.94360e-06  4.84178e-08  1.48362e-08  -2.30880e+02      -2.38265e+02     -2.52205e+02
7.00              8.10              1.94344e-06  4.81775e-08  1.48362e-08  -2.07080e+02      -2.14395e+02     -2.26095e+02
7.00              8.15              1.94328e-06  4.79211e-08  1.48362e-08  -1.85870e+02      -1.93135e+02     -2.02815e+02
7.00              8.20              1.94296e-06  4.76487e-08  1.48362e-08  -1.66910e+02      -1.74105e+02     -1.82035e+02
7.00              8.25              1.94280e-06  4.73603e-08  1.48362e-08  -1.50020e+02      -1.57165e+02     -1.63505e+02
7.00              8.30              1.94248e-06  4.70559e-08  1.48362e-08  -1.34940e+02      -1.42025e+02     -1.46965e+02
7.00              8.35              1.94216e-06  4.67195e-08  1.48362e-08  -1.21480e+02      -1.28515e+02     -1.32225e+02
7.00              8.40              1.94168e-06  4.63670e-08  1.48362e-08  -1.09480e+02      -1.16455e+02     -1.19055e+02
7.00              8.45              1.94120e-06  4.59985e-08  1.48362e-08  -9.87640e+01      -1.05693e+02     -1.07305e+02
7.00              8.50              1.94040e-06  4.55979e-08  1.48362e-08  -8.91830e+01      -9.60623e+01     -9.68143e+01
7.00              8.55              1.93943e-06  4.51814e-08  1.48362e-08  -8.05720e+01      -8.73993e+01     -8.74493e+01
7.00              8.60              1.93831e-06  4.47328e-08  1.48362e-08  -7.26930e+01      -7.94703e+01     -7.90813e+01
7.00              8.65              1.93687e-06  4.42681e-08  1.48362e-08  -6.54160e+01      -7.21433e+01     -7.16083e+01
7.00              8.70              1.93495e-06  4.37715e-08  1.48362e-08  -5.87940e+01      -6.54713e+01     -6.49293e+01
7.00              8.75              1.93271e-06  4.32588e-08  1.48362e-08  -5.28410e+01      -5.94673e+01     -5.89593e+01
7.00              8.80              1.92982e-06  4.26980e-08  1.48362e-08  -4.75090e+01      -5.40843e+01     -5.36213e+01
7.00              8.85              1.92614e-06  4.21212e-08  1.48362e-08  -4.27380e+01      -4.92623e+01     -4.88473e+01
7.00              8.90              1.92165e-06  4.15124e-08  1.48362e-08  -3.84680e+01      -4.49413e+01     -4.45753e+01
7.00              8.95              1.91572e-06  4.08875e-08  1.48362e-08  -3.46470e+01      -4.10693e+01     -4.07523e+01
7.00              9.00              1.90835e-06  4.02146e-08  1.48362e-08  -3.12260e+01      -3.75963e+01     -3.73283e+01
7.00              9.05              1.89922e-06  3.95257e-08  1.48362e-08  -2.81610e+01      -3.44803e+01     -3.42613e+01
7.00              9.10              1.88752e-06  3.87887e-08  1.48362e-08  -2.54140e+01      -3.16813e+01     -3.15113e+01
7.00              9.15              1.87294e-06  3.80357e-08  1.48362e-08  -2.29500e+01      -2.91663e+01     -2.90443e+01
7.00              9.20              1.85436e-06  3.72506e-08  1.48362e-08  -2.07380e+01      -2.69023e+01     -2.68263e+01
7.00              9.25              1.83097e-06  3.64335e-08  1.48362e-08  -1.87510e+01      -2.48633e+01     -2.48293e+01
7.00              9.30              1.80149e-06  3.56004e-08  1.48362e-08  -1.69630e+01      -2.30233e+01     -2.30263e+01
7.00              9.35              1.76448e-06  3.47352e-08  1.48362e-08  -1.53530e+01      -2.13593e+01     -2.13933e+01
7.00              9.40              1.71785e-06  3.38380e-08  1.48362e-08  -1.38970e+01      -1.98523e+01     -1.99083e+01
7.00              9.45              1.65921e-06  3.58888e-08  1.48362e-08  -1.25840e+01      -1.84853e+01     -1.85583e+01
7.00              9.50              1.58632e-06  3.19634e-08  1.48362e-08  -1.13880e+01      -1.72363e+01     -1.73203e+01
7.00              9.55              1.49563e-06  3.09861e-08  1.48362e-08  -1.03050e+01      -1.61003e+01     -1.61933e+01
7.00              9.60              1.38492e-06  2.99607e-08  1.48362e-08  -9.32110e+00      -1.50630e+01     -1.51633e+01
7.00              9.65              1.25242e-06  2.89193e-08  1.48362e-08  -8.42470e+00      -1.41130e+01     -1.42232e+01
8.00              7.00              3.88816e-06  1.10342e-07  3.06657e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
8.00              7.20              3.88864e-06  1.10037e-07  3.06657e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
8.00              7.40              3.88928e-06  1.09621e-07  3.06657e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
8.00              7.60              3.88976e-06  1.09060e-07  3.06657e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
8.00              7.80              3.88976e-06  1.08307e-07  3.06657e-08  -3.06830e+02      -3.14415e+02     -5.05795e+02
8.00              8.00              3.88944e-06  1.07282e-07  3.06657e-08  -1.98190e+02      -2.05615e+02     -2.22105e+02
8.00              8.05              3.88928e-06  1.06977e-07  3.06657e-08  -1.77960e+02      -1.85335e+02     -1.99285e+02
8.00              8.10              3.88928e-06  1.06657e-07  3.06657e-08  -1.59910e+02      -1.67225e+02     -1.78925e+02
8.00              8.15              3.88912e-06  1.06304e-07  3.06657e-08  -1.43820e+02      -1.51085e+02     -1.60765e+02
8.00              8.20              3.88912e-06  1.05920e-07  3.06657e-08  -1.29430e+02      -1.36625e+02     -1.44555e+02
8.00              8.25              3.88896e-06  1.05519e-07  3.06657e-08  -1.16610e+02      -1.23755e+02     -1.30095e+02
8.00              8.30              3.88880e-06  1.05087e-07  3.06657e-08  -1.05160e+02      -1.12255e+02     -1.17195e+02
8.00              8.35              3.88864e-06  1.04638e-07  3.06657e-08  -9.49360e+01      -1.01972e+02     -1.05675e+02
8.00              8.40              3.88848e-06  1.04141e-07  3.06657e-08  -8.58130e+01      -9.27963e+01     -9.53903e+01
8.00              8.45              3.88816e-06  1.03613e-07  3.06657e-08  -7.76680e+01      -8.45993e+01     -8.62103e+01
8.00              8.50              3.88784e-06  1.03052e-07  3.06657e-08  -7.03750e+01      -7.72553e+01     -7.80073e+01
8.00              8.55              3.88752e-06  1.02459e-07  3.06657e-08  -6.38020e+01      -7.06303e+01     -7.06803e+01
8.00              8.60              3.88688e-06  1.01818e-07  3.06657e-08  -5.77400e+01      -6.45183e+01     -6.41303e+01
8.00              8.65              3.88624e-06  1.01129e-07  3.06657e-08  -5.20840e+01      -5.88113e+01     -5.82753e+01
8.00              8.70              3.88544e-06  1.00408e-07  3.06657e-08  -4.69030e+01      -5.35803e+01     -5.30383e+01
8.00              8.75              3.88432e-06  9.96394e-08  3.06657e-08  -4.22350e+01      -4.88613e+01     -4.83533e+01
8.00              8.80              3.88304e-06  9.88223e-08  3.06657e-08  -3.80460e+01      -4.46213e+01     -4.41583e+01
