!24Ne (0+, 2+) -> 24Na,  beta-decay,  with screening effects
!USDB                          Q = 2.4663 MeV
!Exp. energies and B(GT)  0+(g.s.) -> 1+(0.472, 1.3467 MeV)
!Log(rhoY) Log(T) mu     dQ       Vs           decay-rate    nu-energy-loss  gamma-energy
!                    (MeV)   (MeV)   (MeV)        (1/s)           (MeV/s)           (MeV/s)  
1.000000e+07 1.000000e+07 1.954179e-06 -4.788916e-08 1.360251e-08 2.149810e-03 3.040964e-09 1.699070e-09
1.000000e+07 1.584893e+07 1.952256e-06 -4.764883e-08 1.360251e-08 2.162221e-03 3.065570e-09 1.709666e-09
1.000000e+07 2.511886e+07 1.949533e-06 -4.731238e-08 1.360251e-08 2.166207e-03 3.074053e-09 1.713607e-09
1.000000e+07 3.981072e+07 1.947290e-06 -4.686377e-08 1.360251e-08 2.163715e-03 3.069102e-09 1.711242e-09
1.000000e+07 6.309573e+07 1.945848e-06 -4.627096e-08 1.360251e-08 2.158738e-03 3.059929e-09 1.706913e-09
1.000000e+07 1.000000e+08 1.944886e-06 -4.550191e-08 1.360251e-08 2.154269e-03 3.052188e-09 1.702987e-09
1.000000e+07 1.122018e+08 1.944726e-06 -4.526159e-08 1.360251e-08 2.153277e-03 3.050081e-09 1.702203e-09
1.000000e+07 1.258925e+08 1.944566e-06 -4.502126e-08 1.360251e-08 2.152286e-03 3.048676e-09 1.701419e-09
1.000000e+07 1.412538e+08 1.944406e-06 -4.476491e-08 1.360251e-08 2.151295e-03 3.047273e-09 1.700636e-09
1.000000e+07 1.584893e+08 1.944245e-06 -4.447652e-08 1.360251e-08 2.150305e-03 3.045870e-09 1.700244e-09
1.000000e+07 1.778279e+08 1.944085e-06 -4.418812e-08 1.360251e-08 2.149810e-03 3.045168e-09 1.699853e-09
1.000000e+07 1.995262e+08 1.943765e-06 -4.386769e-08 1.360251e-08 2.149315e-03 3.044467e-09 1.699070e-09
1.000000e+07 2.238721e+08 1.943444e-06 -4.353123e-08 1.360251e-08 2.148325e-03 3.044467e-09 1.699070e-09
1.000000e+07 2.511886e+08 1.942964e-06 -4.317875e-08 1.360251e-08 2.147830e-03 3.044467e-09 1.698679e-09
1.000000e+07 2.818383e+08 1.942323e-06 -4.279423e-08 1.360251e-08 2.147830e-03 3.044467e-09 1.698679e-09
1.000000e+07 3.162278e+08 1.941682e-06 -4.239368e-08 1.360251e-08 2.147830e-03 3.045870e-09 1.699070e-09
1.000000e+07 3.548134e+08 1.940721e-06 -4.197712e-08 1.360251e-08 2.147830e-03 3.047974e-09 1.699853e-09
1.000000e+07 3.981072e+08 1.939599e-06 -4.152851e-08 1.360251e-08 2.148325e-03 3.050783e-09 1.700636e-09
1.000000e+07 4.466836e+08 1.938157e-06 -4.104785e-08 1.360251e-08 2.149315e-03 3.055001e-09 1.702203e-09
1.000000e+07 5.011872e+08 1.936235e-06 -4.055118e-08 1.360251e-08 2.151295e-03 3.061338e-09 1.704556e-09
1.000000e+07 5.623413e+08 1.933991e-06 -4.002246e-08 1.360251e-08 2.153773e-03 3.069809e-09 1.707306e-09
1.000000e+07 6.309573e+08 1.931108e-06 -3.946169e-08 1.360251e-08 2.156751e-03 3.080430e-09 1.711242e-09
1.000000e+07 7.079458e+08 1.927423e-06 -3.888491e-08 1.360251e-08 2.161723e-03 3.094648e-09 1.716767e-09
1.000000e+07 7.943282e+08 1.922776e-06 -3.827608e-08 1.360251e-08 2.167704e-03 3.113231e-09 1.723897e-09
1.000000e+07 8.912509e+08 1.917008e-06 -3.763521e-08 1.360251e-08 2.175705e-03 3.136977e-09 1.733051e-09
1.000000e+07 1.000000e+09 1.909638e-06 -3.697831e-08 1.360251e-08 2.186754e-03 3.166732e-09 1.745064e-09
1.000000e+07 1.122018e+09 1.900346e-06 -3.628938e-08 1.360251e-08 2.199885e-03 3.204877e-09 1.759589e-09
1.000000e+07 1.258925e+09 1.888810e-06 -3.556840e-08 1.360251e-08 2.216665e-03 3.251706e-09 1.777916e-09
1.000000e+07 1.412538e+09 1.874070e-06 -3.481537e-08 1.360251e-08 2.237690e-03 3.309111e-09 1.800575e-09
1.000000e+07 1.584893e+09 1.855645e-06 -3.404633e-08 1.360251e-08 2.263080e-03 3.379180e-09 1.828148e-09
1.000000e+07 1.778279e+09 1.832253e-06 -3.324524e-08 1.360251e-08 2.294563e-03 3.463469e-09 1.861278e-09
1.000000e+07 1.995262e+09 1.802773e-06 -3.242812e-08 1.360251e-08 2.332384e-03 3.564604e-09 1.901128e-09
1.000000e+07 2.238721e+09 1.765763e-06 -3.157897e-08 1.360251e-08 2.377935e-03 3.684778e-09 1.949895e-09
1.000000e+07 2.511886e+09 1.718979e-06 -3.334137e-08 1.360251e-08 2.443431e-03 3.849562e-09 2.020279e-09
1.000000e+07 2.818383e+09 1.660499e-06 -2.980055e-08 1.360251e-08 2.502073e-03 4.012465e-09 2.093685e-09
1.000000e+07 3.162278e+09 1.587440e-06 -2.885526e-08 1.360251e-08 2.591194e-03 4.249240e-09 2.210606e-09
1.000000e+07 3.548134e+09 1.496917e-06 -2.789395e-08 1.360251e-08 2.710816e-03 4.575213e-09 2.387324e-09
1.000000e+07 3.981072e+09 1.386206e-06 -2.690060e-08 1.360251e-08 2.876074e-03 5.037456e-09 2.658957e-09
1.000000e+07 4.466836e+09 1.253546e-06 -2.590725e-08 1.360251e-08 3.105275e-03 5.693919e-09 3.069102e-09

1.000000e+08 1.000000e+07 3.890734e-06 -1.037732e-07 2.811826e-08 5.888437e-06 9.541382e-13 4.454627e-12
1.000000e+08 1.584893e+07 3.891215e-06 -1.034528e-07 2.811826e-08 5.868134e-06 9.499731e-13 4.439267e-12
1.000000e+08 2.511886e+07 3.891855e-06 -1.030202e-07 2.811826e-08 5.876246e-06 9.530404e-13 4.445405e-12
1.000000e+08 3.981072e+07 3.892336e-06 -1.024274e-07 2.811826e-08 5.952508e-06 9.741174e-13 4.503097e-12
1.000000e+08 6.309573e+07 3.892336e-06 -1.016423e-07 2.811826e-08 6.129146e-06 1.022613e-12 4.637792e-12
1.000000e+08 1.000000e+08 3.892016e-06 -1.005849e-07 2.811826e-08 6.347460e-06 1.087455e-12 4.801880e-12
1.000000e+08 1.122018e+08 3.891855e-06 -1.002804e-07 2.811826e-08 6.404718e-06 1.106907e-12 4.845196e-12
1.000000e+08 1.258925e+08 3.891855e-06 -9.992797e-08 2.811826e-08 6.468447e-06 1.129565e-12 4.893407e-12
1.000000e+08 1.412538e+08 3.891695e-06 -9.957549e-08 2.811826e-08 6.543348e-06 1.156675e-12 4.950070e-12
1.000000e+08 1.584893e+08 3.891695e-06 -9.919096e-08 2.811826e-08 6.632847e-06 1.190725e-12 5.018932e-12
1.000000e+08 1.778279e+08 3.891535e-06 -9.877440e-08 2.811826e-08 6.746834e-06 1.233421e-12 5.104008e-12
1.000000e+08 1.995262e+08 3.891375e-06 -9.832579e-08 2.811826e-08 6.897632e-06 1.290064e-12 5.218087e-12
1.000000e+08 2.238721e+08 3.891215e-06 -9.786115e-08 2.811826e-08 7.087613e-06 1.362107e-12 5.363043e-12
1.000000e+08 2.511886e+08 3.891054e-06 -9.734846e-08 2.811826e-08 7.329933e-06 1.454827e-12 5.546402e-12
1.000000e+08 2.818383e+08 3.890734e-06 -9.680372e-08 2.811826e-08 7.652441e-06 1.577652e-12 5.789103e-12
1.000000e+08 3.162278e+08 3.890413e-06 -9.624295e-08 2.811826e-08 8.055639e-06 1.735447e-12 6.095528e-12
1.000000e+08 3.548134e+08 3.889933e-06 -9.561810e-08 2.811826e-08 8.570378e-06 1.940936e-12 6.483527e-12
1.000000e+08 3.981072e+08 3.889452e-06 -9.496121e-08 2.811826e-08 9.223590e-06 2.210097e-12 6.977684e-12
1.000000e+08 4.466836e+08 3.888811e-06 -9.427227e-08 2.811826e-08 1.006005e-05 2.566914e-12 7.612220e-12
1.000000e+08 5.011872e+08 3.888010e-06 -9.353527e-08 2.811826e-08 1.111476e-05 3.036067e-12 8.408360e-12
1.000000e+08 5.623413e+08 3.886889e-06 -9.275020e-08 2.811826e-08 1.245661e-05 3.662784e-12 9.423480e-12
1.000000e+08 6.309573e+08 3.885607e-06 -9.191707e-08 2.811826e-08 1.415468e-05 4.502060e-12 1.070807e-11
1.000000e+08 7.079458e+08 3.883845e-06 -9.103587e-08 2.811826e-08 1.632300e-05 5.639120e-12 1.234842e-11
1.000000e+08 7.943282e+08 3.881762e-06 -9.010660e-08 2.811826e-08 1.908534e-05 7.183090e-12 1.443814e-11
1.000000e+08 8.912509e+08 3.879038e-06 -8.912927e-08 2.811826e-08 2.260997e-05 9.300607e-12 1.710454e-11
1.000000e+08 1.000000e+09 3.875673e-06 -8.808786e-08 2.811826e-08 2.712064e-05 1.221269e-11 2.051688e-11
