!25Al (5/2+, 1/2+, 3/2+, 7/2+, 5/2+)  -> 25Mg      e-capture,  with screening effects
!GT+F   USDB       Q=4.2766 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!Log(g/cm^3)      Log(K)            erg          erg          erg          Log(1/s)          Log(erg/s)       Log(erg/s)
7.00              7.00              1.95177e-06  5.39293e-08  1.60698e-08  -1.07940e+00      -6.21184e+00     -7.82599e+00
7.00              7.20              1.94985e-06  5.37050e-08  1.60698e-08  -1.07960e+00      -6.21207e+00     -7.82629e+00
7.00              7.40              1.94713e-06  5.34005e-08  1.60698e-08  -1.07940e+00      -6.21190e+00     -7.82609e+00
7.00              7.60              1.94488e-06  5.29840e-08  1.60698e-08  -1.07810e+00      -6.21049e+00     -7.82469e+00
7.00              7.80              1.94328e-06  5.24232e-08  1.60698e-08  -1.07650e+00      -6.20877e+00     -7.82289e+00
7.00              8.00              1.94248e-06  5.16862e-08  1.60698e-08  -1.07540e+00      -6.20753e+00     -7.82169e+00
7.00              8.05              1.94232e-06  5.14619e-08  1.60698e-08  -1.07520e+00      -6.20729e+00     -7.82139e+00
7.00              8.10              1.94216e-06  5.12376e-08  1.60698e-08  -1.07500e+00      -6.20708e+00     -7.82119e+00
7.00              8.15              1.94200e-06  5.09813e-08  1.60698e-08  -1.07480e+00      -6.20689e+00     -7.82099e+00
7.00              8.20              1.94184e-06  5.07249e-08  1.60698e-08  -1.07470e+00      -6.20670e+00     -7.82079e+00
7.00              8.25              1.94152e-06  5.04365e-08  1.60698e-08  -1.07460e+00      -6.20655e+00     -7.82069e+00
7.00              8.30              1.94136e-06  5.01321e-08  1.60698e-08  -1.07440e+00      -6.20635e+00     -7.82049e+00
7.00              8.35              1.94088e-06  4.98117e-08  1.60698e-08  -1.07440e+00      -6.20621e+00     -7.82029e+00
7.00              8.40              1.94056e-06  4.94592e-08  1.60698e-08  -1.07420e+00      -6.20597e+00     -7.82009e+00
7.00              8.45              1.93992e-06  4.90907e-08  1.60698e-08  -1.07400e+00      -6.20573e+00     -7.81979e+00
7.00              8.50              1.93911e-06  4.87062e-08  1.60698e-08  -1.07390e+00      -6.20545e+00     -7.81949e+00
7.00              8.55              1.93815e-06  4.83056e-08  1.60698e-08  -1.07370e+00      -6.20518e+00     -7.81919e+00
7.00              8.60              1.93703e-06  4.78570e-08  1.60698e-08  -1.07340e+00      -6.20476e+00     -7.81879e+00
7.00              8.65              1.93559e-06  4.73924e-08  1.60698e-08  -1.07310e+00      -6.20420e+00     -7.81819e+00
7.00              8.70              1.93383e-06  4.69117e-08  1.60698e-08  -1.07270e+00      -6.20363e+00     -7.81759e+00
7.00              8.75              1.93142e-06  4.63990e-08  1.60698e-08  -1.07220e+00      -6.20287e+00     -7.81669e+00
7.00              8.80              1.92870e-06  4.58383e-08  1.60698e-08  -1.07160e+00      -6.20192e+00     -7.81559e+00
7.00              8.85              1.92502e-06  4.52615e-08  1.60698e-08  -1.07100e+00      -6.20082e+00     -7.81419e+00
7.00              8.90              1.92037e-06  4.46687e-08  1.60698e-08  -1.07010e+00      -6.19942e+00     -7.81229e+00
7.00              8.95              1.91460e-06  4.40278e-08  1.60698e-08  -1.06910e+00      -6.19776e+00     -7.80949e+00
7.00              9.00              1.90723e-06  4.33549e-08  1.60698e-08  -1.06790e+00      -6.19577e+00     -7.80579e+00
7.00              9.05              1.89794e-06  4.26660e-08  1.60698e-08  -1.06640e+00      -6.19332e+00     -7.80039e+00
7.00              9.10              1.88624e-06  4.19290e-08  1.60698e-08  -1.06460e+00      -6.19033e+00     -7.79299e+00
7.00              9.15              1.87166e-06  4.11759e-08  1.60698e-08  -1.06250e+00      -6.18671e+00     -7.78289e+00
7.00              9.20              1.85308e-06  4.03749e-08  1.60698e-08  -1.05990e+00      -6.18235e+00     -7.76949e+00
7.00              9.25              1.82985e-06  3.95577e-08  1.60698e-08  -1.05690e+00      -6.17707e+00     -7.75219e+00
7.00              9.30              1.80037e-06  3.87086e-08  1.60698e-08  -1.05320e+00      -6.17074e+00     -7.72999e+00
7.00              9.35              1.76320e-06  3.78274e-08  1.60698e-08  -1.04890e+00      -6.16307e+00     -7.70209e+00
7.00              9.40              1.71657e-06  3.69141e-08  1.60698e-08  -1.04360e+00      -6.15378e+00     -7.66739e+00
7.00              9.45              1.65809e-06  3.59689e-08  1.60698e-08  -1.03710e+00      -6.14248e+00     -7.62459e+00
7.00              9.50              1.58503e-06  3.83241e-08  1.60698e-08  -1.02940e+00      -6.12910e+00     -7.57329e+00
7.00              9.55              1.49451e-06  3.40142e-08  1.60698e-08  -1.01870e+00      -6.11125e+00     -7.51049e+00
7.00              9.60              1.38364e-06  3.29728e-08  1.60698e-08  -1.00480e+00      -6.08908e+00     -7.43699e+00
7.00              9.65              1.25114e-06  3.18993e-08  1.60698e-08  -9.85290e-01      -6.05967e+00     -7.35109e+00
8.00              7.00              3.88560e-06  1.16735e-07  3.32291e-08   5.76910e-02      -4.99872e+00     -6.60664e+00
8.00              7.20              3.88608e-06  1.16446e-07  3.32291e-08   5.74460e-02      -4.99898e+00     -6.60690e+00
8.00              7.40              3.88672e-06  1.16046e-07  3.32291e-08   5.67160e-02      -4.99976e+00     -6.60768e+00
8.00              7.60              3.88720e-06  1.15501e-07  3.32291e-08   5.55370e-02      -5.00102e+00     -6.60894e+00
8.00              7.80              3.88720e-06  1.14764e-07  3.32291e-08   5.42450e-02      -5.00240e+00     -6.61032e+00
8.00              8.00              3.88688e-06  1.13771e-07  3.32291e-08   5.34820e-02      -5.00318e+00     -6.61111e+00
8.00              8.05              3.88672e-06  1.13482e-07  3.32291e-08   5.33980e-02      -5.00326e+00     -6.61118e+00
8.00              8.10              3.88672e-06  1.13162e-07  3.32291e-08   5.33510e-02      -5.00329e+00     -6.61121e+00
8.00              8.15              3.88656e-06  1.12825e-07  3.32291e-08   5.33400e-02      -5.00329e+00     -6.61121e+00
8.00              8.20              3.88656e-06  1.12457e-07  3.32291e-08   5.33590e-02      -5.00324e+00     -6.61116e+00
8.00              8.25              3.88640e-06  1.12072e-07  3.32291e-08   5.34080e-02      -5.00317e+00     -6.61109e+00
8.00              8.30              3.88624e-06  1.11640e-07  3.32291e-08   5.34500e-02      -5.00309e+00     -6.61101e+00
8.00              8.35              3.88608e-06  1.11191e-07  3.32291e-08   5.35210e-02      -5.00298e+00     -6.61090e+00
8.00              8.40              3.88592e-06  1.10710e-07  3.32291e-08   5.36240e-02      -5.00283e+00     -6.61075e+00
8.00              8.45              3.88560e-06  1.10198e-07  3.32291e-08   5.36950e-02      -5.00271e+00     -6.61063e+00
8.00              8.50              3.88528e-06  1.09653e-07  3.32291e-08   5.38110e-02      -5.00253e+00     -6.61045e+00
8.00              8.55              3.88496e-06  1.09076e-07  3.32291e-08   5.39480e-02      -5.00232e+00     -6.61024e+00
8.00              8.60              3.88448e-06  1.08451e-07  3.32291e-08   5.41190e-02      -5.00206e+00     -6.60998e+00
8.00              8.65              3.88368e-06  1.07778e-07  3.32291e-08   5.42730e-02      -5.00181e+00     -6.60973e+00
8.00              8.70              3.88288e-06  1.07073e-07  3.32291e-08   5.44980e-02      -5.00146e+00     -6.60936e+00
8.00              8.75              3.88175e-06  1.06304e-07  3.32291e-08   5.47530e-02      -5.00106e+00     -6.60892e+00
8.00              8.80              3.88047e-06  1.05503e-07  3.32291e-08   5.50680e-02      -5.00057e+00     -6.60832e+00
8.00              8.85              3.87871e-06  1.04654e-07  3.32291e-08   5.54130e-02      -5.00001e+00     -6.60751e+00
8.00              8.90              3.87663e-06  1.03741e-07  3.32291e-08   5.58360e-02      -4.99932e+00     -6.60631e+00
8.00              8.95              3.87390e-06  1.02796e-07  3.32291e-08   5.63250e-02      -4.99852e+00     -6.60453e+00
8.00              9.00              3.87054e-06  1.01770e-07  3.32291e-08   5.69150e-02      -4.99755e+00     -6.60184e+00
8.00              9.05              3.86637e-06  1.00697e-07  3.32291e-08   5.75890e-02      -4.99641e+00     -6.59789e+00
