!27Na (5/2+, 3/2+, 1/2+)  -> 27Mg     beta-decay,   with screening effects
!USDB      Q=9.069 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
7.00              7.00             -5.09492e-08  1.48362e-08  1.95289e-06   3.90880e-01      1.61924e-05      4.78586e-06
7.00              7.20             -5.07249e-08  1.48362e-08  1.95113e-06   3.90880e-01      1.61924e-05      4.78608e-06
7.00              7.40             -5.04045e-08  1.48362e-08  1.94841e-06   3.90840e-01      1.61924e-05      4.78564e-06
7.00              7.60             -4.99719e-08  1.48362e-08  1.94600e-06   3.90750e-01      1.61886e-05      4.78454e-06
7.00              7.80             -4.93951e-08  1.48362e-08  1.94456e-06   3.90630e-01      1.61812e-05      4.78300e-06
7.00              8.00             -4.86421e-08  1.48362e-08  1.94376e-06   3.90580e-01      1.61775e-05      4.78036e-06
7.00              8.05             -4.84178e-08  1.48362e-08  1.94360e-06   3.90660e-01      1.61812e-05      4.77893e-06
7.00              8.10             -4.81775e-08  1.48362e-08  1.94344e-06   3.90830e-01      1.61924e-05      4.77673e-06
7.00              8.15             -4.79211e-08  1.48362e-08  1.94328e-06   3.91150e-01      1.62073e-05      4.77310e-06
7.00              8.20             -4.76487e-08  1.48362e-08  1.94296e-06   3.91690e-01      1.62334e-05      4.76772e-06
7.00              8.25             -4.73603e-08  1.48362e-08  1.94280e-06   3.92530e-01      1.62746e-05      4.75982e-06
7.00              8.30             -4.70559e-08  1.48362e-08  1.94248e-06   3.93720e-01      1.63309e-05      4.74876e-06
7.00              8.35             -4.67195e-08  1.48362e-08  1.94216e-06   3.95330e-01      1.64101e-05      4.73435e-06
7.00              8.40             -4.63670e-08  1.48362e-08  1.94168e-06   3.97380e-01      1.65086e-05      4.71596e-06
7.00              8.45             -4.59985e-08  1.48362e-08  1.94120e-06   3.99860e-01      1.66307e-05      4.69386e-06
