!27P (1/2+, 3/2+, 5/2+, 5/2+)  -> 27Si       e-capture, with screening effects
!GT+F    USDB              Q=11.6685 MeV
!Experimental data (energiies) are used.
!
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
7.00              7.00              1.94921e-06  5.96490e-08  1.85372e-08  -4.55570e-01      3.37630e-06      3.41185e-06
7.00              7.20              1.94729e-06  5.94408e-08  1.85372e-08  -4.54990e-01      3.38104e-06      3.41649e-06
7.00              7.40              1.94472e-06  5.91363e-08  1.85372e-08  -4.54300e-01      3.38673e-06      3.42200e-06
7.00              7.60              1.94232e-06  5.87518e-08  1.85372e-08  -4.53080e-01      3.39665e-06      3.43171e-06
7.00              7.80              1.94088e-06  5.82231e-08  1.85372e-08  -4.51750e-01      3.40761e-06      3.44239e-06
7.00              8.00              1.93992e-06  5.75181e-08  1.85372e-08  -4.50670e-01      3.41657e-06      3.45104e-06
7.00              8.05              1.93976e-06  5.73259e-08  1.85372e-08  -4.50470e-01      3.41838e-06      3.45271e-06
7.00              8.10              1.93960e-06  5.71016e-08  1.85372e-08  -4.50290e-01      3.41988e-06      3.45406e-06
7.00              8.15              1.93943e-06  5.68612e-08  1.85372e-08  -4.50150e-01      3.42122e-06      3.45534e-06
7.00              8.20              1.93927e-06  5.66049e-08  1.85372e-08  -4.50000e-01      3.42255e-06      3.45653e-06
7.00              8.25              1.93911e-06  5.63325e-08  1.85372e-08  -4.49910e-01      3.42350e-06      3.45733e-06
7.00              8.30              1.93879e-06  5.60441e-08  1.85372e-08  -4.49780e-01      3.42476e-06      3.45844e-06
7.00              8.35              1.93847e-06  5.57237e-08  1.85372e-08  -4.49720e-01      3.42555e-06      3.45892e-06
7.00              8.40              1.93799e-06  5.54033e-08  1.85372e-08  -4.49580e-01      3.42705e-06      3.46011e-06
7.00              8.45              1.93751e-06  5.50508e-08  1.85372e-08  -4.49450e-01      3.42839e-06      3.46123e-06
7.00              8.50              1.93671e-06  5.46663e-08  1.85372e-08  -4.49320e-01      3.42997e-06      3.46235e-06
7.00              8.55              1.93575e-06  5.42657e-08  1.85372e-08  -4.49210e-01      3.43147e-06      3.46338e-06
7.00              8.60              1.93463e-06  5.38492e-08  1.85372e-08  -4.49000e-01      3.43384e-06      3.46522e-06
7.00              8.65              1.93319e-06  5.34005e-08  1.85372e-08  -4.48700e-01      3.43717e-06      3.46785e-06
7.00              8.70              1.93126e-06  5.29199e-08  1.85372e-08  -4.48440e-01      3.44033e-06      3.47009e-06
7.00              8.75              1.92902e-06  5.24072e-08  1.85372e-08  -4.48060e-01      3.44477e-06      3.47344e-06
7.00              8.80              1.92614e-06  5.18785e-08  1.85372e-08  -4.47570e-01      3.45033e-06      3.47769e-06
7.00              8.85              1.92245e-06  5.13017e-08  1.85372e-08  -4.47040e-01      3.45669e-06      3.48241e-06
7.00              8.90              1.91781e-06  5.07089e-08  1.85372e-08  -4.46340e-01      3.46498e-06      3.48859e-06
7.00              8.95              1.91204e-06  5.00680e-08  1.85372e-08  -4.45490e-01      3.47496e-06      3.49607e-06
7.00              9.00              1.90467e-06  4.94111e-08  1.85372e-08  -4.44500e-01      3.48707e-06      3.50494e-06
7.00              9.05              1.89537e-06  4.87222e-08  1.85372e-08  -4.43250e-01      3.50228e-06      3.51609e-06
7.00              9.10              1.88384e-06  4.79852e-08  1.85372e-08  -4.41670e-01      3.52136e-06      3.53021e-06
7.00              9.15              1.86910e-06  4.72161e-08  1.85372e-08  -4.39750e-01      3.54487e-06      3.54765e-06
7.00              9.20              1.85067e-06  4.64151e-08  1.85372e-08  -4.37440e-01      3.57372e-06      3.56895e-06
7.00              9.25              1.82728e-06  4.55819e-08  1.85372e-08  -4.34660e-01      3.60895e-06      3.59510e-06
7.00              9.30              1.79780e-06  4.47167e-08  1.85372e-08  -4.31410e-01      3.65132e-06      3.62661e-06
7.00              9.35              1.76079e-06  4.38035e-08  1.85372e-08  -4.27590e-01      3.70255e-06      3.66514e-06
7.00              9.40              1.71417e-06  4.28742e-08  1.85372e-08  -4.23170e-01      3.76409e-06      3.71159e-06
7.00              9.45              1.65553e-06  4.18969e-08  1.85372e-08  -4.18120e-01      3.83787e-06      3.76756e-06
7.00              9.50              1.58247e-06  4.09036e-08  1.85372e-08  -4.12260e-01      3.92727e-06      3.83566e-06
7.00              9.55              1.49195e-06  3.98622e-08  1.85372e-08  -4.05340e-01      4.03720e-06      3.91950e-06
7.00              9.60              1.38124e-06  3.88047e-08  1.85372e-08  -3.96480e-01      4.17985e-06      4.02847e-06
7.00              9.65              1.24874e-06  4.24096e-08  1.85372e-08  -3.84300e-01      4.37271e-06      4.17754e-06
8.00              7.00              3.88047e-06  1.29007e-07  3.83401e-08   6.53930e-01      4.88889e-05      4.49066e-05
8.00              7.20              3.88095e-06  1.28735e-07  3.83401e-08   6.52720e-01      4.87428e-05      4.47724e-05
8.00              7.40              3.88159e-06  1.28366e-07  3.83401e-08   6.51620e-01      4.86195e-05      4.46591e-05
8.00              7.60              3.88207e-06  1.27854e-07  3.83401e-08   6.50540e-01      4.84853e-05      4.45462e-05
8.00              7.80              3.88207e-06  1.27165e-07  3.83401e-08   6.49520e-01      4.83738e-05      4.44437e-05
8.00              8.00              3.88175e-06  1.26235e-07  3.83401e-08   6.49030e-01      4.83182e-05      4.43926e-05
8.00              8.05              3.88159e-06  1.25963e-07  3.83401e-08   6.48980e-01      4.83070e-05      4.43926e-05
8.00              8.10              3.88159e-06  1.25659e-07  3.83401e-08   6.48960e-01      4.83070e-05      4.43926e-05
8.00              8.15              3.88143e-06  1.25338e-07  3.83401e-08   6.48970e-01      4.83182e-05      4.43926e-05
8.00              8.20              3.88143e-06  1.24986e-07  3.83401e-08   6.48990e-01      4.83182e-05      4.43926e-05
8.00              8.25              3.88127e-06  1.24617e-07  3.83401e-08   6.49040e-01      4.83293e-05      4.43926e-05
8.00              8.30              3.88111e-06  1.24217e-07  3.83401e-08   6.49070e-01      4.83293e-05      4.44028e-05
8.00              8.35              3.88095e-06  1.23784e-07  3.83401e-08   6.49130e-01      4.83404e-05      4.44028e-05
8.00              8.40              3.88079e-06  1.23336e-07  3.83401e-08   6.49220e-01      4.83515e-05      4.44130e-05
8.00              8.45              3.88047e-06  1.22839e-07  3.83401e-08   6.49280e-01      4.83627e-05      4.44233e-05
8.00              8.50              3.88015e-06  1.22310e-07  3.83401e-08   6.49370e-01      4.83850e-05      4.44335e-05
8.00              8.55              3.87983e-06  1.21749e-07  3.83401e-08   6.49490e-01      4.83961e-05      4.44437e-05
8.00              8.60              3.87935e-06  1.21157e-07  3.83401e-08   6.49630e-01      4.84184e-05      4.44642e-05
8.00              8.65              3.87855e-06  1.20516e-07  3.83401e-08   6.49760e-01      4.84407e-05      4.44744e-05
8.00              8.70              3.87775e-06  1.19827e-07  3.83401e-08   6.49950e-01      4.84742e-05      4.44949e-05
8.00              8.75              3.87663e-06  1.19106e-07  3.83401e-08   6.50160e-01      4.85077e-05      4.45154e-05
8.00              8.80              3.87534e-06  1.18321e-07  3.83401e-08   6.50430e-01      4.85524e-05      4.45462e-05
8.00              8.85              3.87358e-06  1.17504e-07  3.83401e-08   6.50720e-01      4.86083e-05      4.45872e-05
8.00              8.90              3.87150e-06  1.16622e-07  3.83401e-08   6.51100e-01      4.86643e-05      4.46283e-05
8.00              8.95              3.86878e-06  1.15677e-07  3.83401e-08   6.51540e-01      4.87428e-05      4.46694e-05
8.00              9.00              3.86541e-06  1.14700e-07  3.83401e-08   6.52100e-01      4.88327e-05      4.47312e-05
8.00              9.05              3.86125e-06  1.13642e-07  3.83401e-08   6.52780e-01      4.89565e-05      4.48137e-05
8.00              9.10              3.85580e-06  1.12537e-07  3.83401e-08   6.53610e-01      4.90920e-05      4.49066e-05
8.00              9.15              3.84923e-06  1.11351e-07  3.83401e-08   6.54620e-01      4.92732e-05      4.50205e-05
8.00              9.20              3.84074e-06  1.10102e-07  3.83401e-08   6.55850e-01      4.94778e-05      4.51555e-05
8.00              9.25              3.83000e-06  1.08804e-07  3.83401e-08   6.57290e-01      4.97405e-05      4.53326e-05
8.00              9.30              3.81671e-06  1.07410e-07  3.83401e-08   6.58970e-01      5.00507e-05      4.55418e-05
8.00              9.35              3.79972e-06  1.05968e-07  3.83401e-08   6.60900e-01      5.04209e-05      4.57942e-05
8.00              9.40              3.77857e-06  1.04446e-07  3.83401e-08   6.63050e-01      5.08640e-05      4.61010e-05
8.00              9.45              3.75182e-06  1.02844e-07  3.83401e-08   6.65330e-01      5.13583e-05      4.64526e-05
8.00              9.50              3.71817e-06  1.01161e-07  3.83401e-08   6.67680e-01      5.19410e-05      4.68609e-05
8.00              9.55              3.67571e-06  9.94151e-08  3.83401e-08   6.69950e-01      5.26030e-05      4.73163e-05
8.00              9.60              3.62252e-06  9.75886e-08  3.83401e-08   6.72100e-01      5.33593e-05      4.78201e-05
8.00              9.65              3.55555e-06  9.56980e-08  3.83401e-08   6.74130e-01      5.42388e-05      4.83738e-05
8.02              7.00              3.94856e-06  1.31010e-07  3.89169e-08   6.81160e-01      5.22649e-05      4.78421e-05
8.02              7.20              3.94696e-06  1.30738e-07  3.89169e-08   6.80080e-01      5.21327e-05      4.77211e-05
8.02              7.40              3.94456e-06  1.30369e-07  3.89169e-08   6.76520e-01      5.16786e-05      4.73272e-05
8.02              7.60              3.94200e-06  1.29856e-07  3.89169e-08   6.73310e-01      5.12756e-05      4.69689e-05
8.02              7.80              3.94023e-06  1.29167e-07  3.89169e-08   6.72280e-01      5.11458e-05      4.68609e-05
8.02              8.00              3.93927e-06  1.28222e-07  3.89169e-08   6.72080e-01      5.11223e-05      4.68393e-05
