!28Al (3+, 2+, 3+, 0+, 1+, 1+, 2+, 2+, 1+) -> 28Mg,  e-capture,  with screening effects
!USDB     Q=-1.8318 MeV
!Experimental energies, B(GT)
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!Log(g/cm^3)      Log(K)            erg          erg          erg          Log(1/s)          Log(erg/s)       Log(erg/s)
7.00              7.00              1.95177e-06  5.39293e-08  1.60698e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.20              1.94985e-06  5.37050e-08  1.60698e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.40              1.94713e-06  5.34005e-08  1.60698e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.60              1.94488e-06  5.29840e-08  1.60698e-08  -2.82960e+02      -2.88825e+02     -5.05795e+02
7.00              7.80              1.94328e-06  5.24232e-08  1.60698e-08  -1.80030e+02      -1.85885e+02     -2.25605e+02
7.00              8.00              1.94248e-06  5.16862e-08  1.60698e-08  -1.15160e+02      -1.21015e+02     -1.47325e+02
7.00              8.05              1.94232e-06  5.14619e-08  1.60698e-08  -1.03100e+02      -1.08955e+02     -1.32725e+02
7.00              8.10              1.94216e-06  5.12376e-08  1.60698e-08  -9.23440e+01      -9.82013e+01     -1.19705e+02
7.00              8.15              1.94200e-06  5.09813e-08  1.60698e-08  -8.28010e+01      -8.86583e+01     -1.08095e+02
7.00              8.20              1.94184e-06  5.07249e-08  1.60698e-08  -7.42320e+01      -8.00893e+01     -9.77023e+01
7.00              8.25              1.94152e-06  5.04365e-08  1.60698e-08  -6.66420e+01      -7.24983e+01     -8.84483e+01
7.00              8.30              1.94136e-06  5.01321e-08  1.60698e-08  -5.98630e+01      -6.57193e+01     -8.01793e+01
7.00              8.35              1.94088e-06  4.98117e-08  1.60698e-08  -5.38120e+01      -5.96683e+01     -7.27943e+01
7.00              8.40              1.94056e-06  4.94592e-08  1.60698e-08  -4.84370e+01      -5.42923e+01     -6.62013e+01
7.00              8.45              1.93992e-06  4.90907e-08  1.60698e-08  -4.36510e+01      -4.95053e+01     -6.03133e+01
7.00              8.50              1.93911e-06  4.87062e-08  1.60698e-08  -3.93770e+01      -4.52303e+01     -5.50473e+01
7.00              8.55              1.93815e-06  4.83056e-08  1.60698e-08  -3.55690e+01      -4.14213e+01     -5.03413e+01
7.00              8.60              1.93703e-06  4.78570e-08  1.60698e-08  -3.21760e+01      -3.80273e+01     -4.61303e+01
7.00              8.65              1.93559e-06  4.73924e-08  1.60698e-08  -2.91520e+01      -3.50013e+01     -4.23623e+01
7.00              8.70              1.93383e-06  4.69117e-08  1.60698e-08  -2.64580e+01      -3.23053e+01     -3.89903e+01
7.00              8.75              1.93142e-06  4.63990e-08  1.60698e-08  -2.40590e+01      -2.99033e+01     -3.59703e+01
7.00              8.80              1.92870e-06  4.58383e-08  1.60698e-08  -2.19150e+01      -2.77563e+01     -3.32613e+01
7.00              8.85              1.92502e-06  4.52615e-08  1.60698e-08  -2.00080e+01      -2.58463e+01     -3.08343e+01
7.00              8.90              1.92037e-06  4.46687e-08  1.60698e-08  -1.83040e+01      -2.41373e+01     -2.86543e+01
7.00              8.95              1.91460e-06  4.40278e-08  1.60698e-08  -1.67850e+01      -2.26123e+01     -2.66973e+01
7.00              9.00              1.90723e-06  4.33549e-08  1.60698e-08  -1.54280e+01      -2.12483e+01     -2.49373e+01
7.00              9.05              1.89794e-06  4.26660e-08  1.60698e-08  -1.42160e+01      -2.00273e+01     -2.33533e+01
7.00              9.10              1.88624e-06  4.19290e-08  1.60698e-08  -1.31320e+01      -1.89333e+01     -2.19273e+01
7.00              9.15              1.87166e-06  4.11759e-08  1.60698e-08  -1.21620e+01      -1.79503e+01     -2.06413e+01
7.00              9.20              1.85308e-06  4.03749e-08  1.60698e-08  -1.12910e+01      -1.70653e+01     -1.94803e+01
7.00              9.25              1.82985e-06  3.95577e-08  1.60698e-08  -1.05090e+01      -1.62653e+01     -1.84323e+01
7.00              9.30              1.80037e-06  3.87086e-08  1.60698e-08  -9.80530e+00      -1.55414e+01     -1.74833e+01
7.00              9.35              1.76320e-06  3.78274e-08  1.60698e-08  -9.16920e+00      -1.48822e+01     -1.66253e+01
7.00              9.40              1.71657e-06  3.69141e-08  1.60698e-08  -8.59230e+00      -1.42791e+01     -1.58463e+01
7.00              9.45              1.65809e-06  3.59689e-08  1.60698e-08  -8.06700e+00      -1.37247e+01     -1.51398e+01
7.00              9.50              1.58503e-06  3.83241e-08  1.60698e-08  -7.58790e+00      -1.32140e+01     -1.44999e+01
7.00              9.55              1.49451e-06  3.40142e-08  1.60698e-08  -7.14460e+00      -1.27355e+01     -1.39106e+01
7.00              9.60              1.38364e-06  3.29728e-08  1.60698e-08  -6.73540e+00      -1.22888e+01     -1.33711e+01
7.00              9.65              1.25114e-06  3.18993e-08  1.60698e-08  -6.35290e+00      -1.18667e+01     -1.28675e+01
8.00              7.00              3.88560e-06  1.16735e-07  3.32291e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
8.00              7.20              3.88608e-06  1.16446e-07  3.32291e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
8.00              7.40              3.88672e-06  1.16046e-07  3.32291e-08  -3.04210e+02      -3.12305e+02     -3.09835e+02
8.00              7.60              3.88720e-06  1.15501e-07  3.32291e-08  -1.95270e+02      -2.03095e+02     -2.00895e+02
8.00              7.80              3.88720e-06  1.14764e-07  3.32291e-08  -1.26390e+02      -1.34015e+02     -1.32015e+02
8.00              8.00              3.88688e-06  1.13771e-07  3.32291e-08  -8.27300e+01      -9.01273e+01     -8.83573e+01
8.00              8.05              3.88672e-06  1.13482e-07  3.32291e-08  -7.45740e+01      -8.19133e+01     -8.02013e+01
8.00              8.10              3.88672e-06  1.13162e-07  3.32291e-08  -6.72870e+01      -7.45713e+01     -7.29143e+01
8.00              8.15              3.88656e-06  1.12825e-07  3.32291e-08  -6.07780e+01      -6.80083e+01     -6.64053e+01
8.00              8.20              3.88656e-06  1.12457e-07  3.32291e-08  -5.49580e+01      -6.21353e+01     -6.05853e+01
8.00              8.25              3.88640e-06  1.12072e-07  3.32291e-08  -4.97570e+01      -5.68813e+01     -5.53843e+01
8.00              8.30              3.88624e-06  1.11640e-07  3.32291e-08  -4.51070e+01      -5.21773e+01     -5.07343e+01
8.00              8.35              3.88608e-06  1.11191e-07  3.32291e-08  -4.09460e+01      -4.79623e+01     -4.65733e+01
8.00              8.40              3.88592e-06  1.10710e-07  3.32291e-08  -3.72190e+01      -4.41793e+01     -4.28463e+01
8.00              8.45              3.88560e-06  1.10198e-07  3.32291e-08  -3.38820e+01      -4.07853e+01     -3.95083e+01
8.00              8.50              3.88528e-06  1.09653e-07  3.32291e-08  -3.08870e+01      -3.77353e+01     -3.65143e+01
8.00              8.55              3.88496e-06  1.09076e-07  3.32291e-08  -2.82000e+01      -3.49923e+01     -3.38273e+01
8.00              8.60              3.88448e-06  1.08451e-07  3.32291e-08  -2.57860e+01      -3.25243e+01     -3.14133e+01
8.00              8.65              3.88368e-06  1.07778e-07  3.32291e-08  -2.36180e+01      -3.03023e+01     -2.92443e+01
8.00              8.70              3.88288e-06  1.07073e-07  3.32291e-08  -2.16670e+01      -2.82973e+01     -2.72943e+01
8.00              8.75              3.88175e-06  1.06304e-07  3.32291e-08  -1.99110e+01      -2.64823e+01     -2.55393e+01
8.00              8.80              3.88047e-06  1.05503e-07  3.32291e-08  -1.83260e+01      -2.48213e+01     -2.39583e+01
8.00              8.85              3.87871e-06  1.04654e-07  3.32291e-08  -1.68930e+01      -2.32823e+01     -2.25333e+01
8.00              8.90              3.87663e-06  1.03741e-07  3.32291e-08  -1.55870e+01      -2.18363e+01     -2.12473e+01
8.00              8.95              3.87390e-06  1.02796e-07  3.32291e-08  -1.43860e+01      -2.04783e+01     -2.00853e+01
8.00              9.00              3.87054e-06  1.01770e-07  3.32291e-08  -1.32720e+01      -1.92173e+01     -1.90323e+01
8.00              9.05              3.86637e-06  1.00697e-07  3.32291e-08  -1.22370e+01      -1.80623e+01     -1.80773e+01
8.00              9.10              3.86093e-06  9.95593e-08  3.32291e-08  -1.12770e+01      -1.70143e+01     -1.72093e+01
8.00              9.15              3.85420e-06  9.83576e-08  3.32291e-08  -1.03930e+01      -1.60703e+01     -1.64193e+01
8.00              9.20              3.84586e-06  9.71079e-08  3.32291e-08  -9.58640e+00      -1.52202e+01     -1.56968e+01
8.00              9.25              3.83513e-06  9.57781e-08  3.32291e-08  -8.85380e+00      -1.44566e+01     -1.50360e+01
8.00              9.30              3.82183e-06  9.43842e-08  3.32291e-08  -8.19100e+00      -1.37701e+01     -1.44301e+01
8.00              9.35              3.80485e-06  9.29262e-08  3.32291e-08  -7.59280e+00      -1.31522e+01     -1.38732e+01
8.00              9.40              3.78370e-06  9.14042e-08  3.32291e-08  -7.05270e+00      -1.25943e+01     -1.33600e+01
8.00              9.45              3.75694e-06  8.98020e-08  3.32291e-08  -6.56530e+00      -1.20894e+01     -1.28862e+01
8.00              9.50              3.72330e-06  8.81357e-08  3.32291e-08  -6.12450e+00      -1.16305e+01     -1.24473e+01
8.00              9.55              3.68084e-06  8.64054e-08  3.32291e-08  -5.72510e+00      -1.12113e+01     -1.20390e+01
