!28Al (3+, 2+, 3+, 0+, 1+, 1+, 2+, 2+, 1+) -> 28Si,   beta-decay,  with screening effects
!USDB                    Q = 4.6423 MeV
!Experimental data are used.
!
!Log(rhoY) Log(T) mu     dQ       Vs           decay-rate    nu-energy-loss  gamma-energy
!                     (MeV)   (MeV)     (MeV)          (1/s)            (MeV/s)      (MeV/s)  
1.000000e+07 1.000000e+07 1.950494e-06 -5.682932e-08 1.730354e-08 4.362144e-03 9.997958e-09 1.243401e-08
1.000000e+07 1.584893e+07 1.948571e-06 -5.660502e-08 1.730354e-08 4.361140e-03 9.993355e-09 1.242829e-08
1.000000e+07 2.511886e+07 1.945848e-06 -5.630061e-08 1.730354e-08 4.358128e-03 9.984155e-09 1.242257e-08
1.000000e+07 3.981072e+07 1.943605e-06 -5.590006e-08 1.730354e-08 4.354116e-03 9.970371e-09 1.241113e-08
1.000000e+07 6.309573e+07 1.942163e-06 -5.535532e-08 1.730354e-08 4.338104e-03 9.931419e-09 1.236549e-08
1.000000e+07 1.000000e+08 1.941201e-06 -5.465036e-08 1.730354e-08 4.259906e-03 9.747905e-09 1.214259e-08
1.000000e+07 1.122018e+08 1.941041e-06 -5.442605e-08 1.730354e-08 4.220851e-03 9.656312e-09 1.203127e-08
1.000000e+07 1.258925e+08 1.940881e-06 -5.420175e-08 1.730354e-08 4.171574e-03 9.543580e-09 1.188807e-08
1.000000e+07 1.412538e+08 1.940721e-06 -5.396142e-08 1.730354e-08 4.112444e-03 9.408303e-09 1.172226e-08
1.000000e+07 1.584893e+08 1.940560e-06 -5.370507e-08 1.730354e-08 4.043896e-03 9.251482e-09 1.152687e-08
1.000000e+07 1.778279e+08 1.940400e-06 -5.341668e-08 1.730354e-08 3.969173e-03 9.080532e-09 1.131387e-08
1.000000e+07 1.995262e+08 1.940080e-06 -5.312829e-08 1.730354e-08 3.887765e-03 8.894290e-09 1.108183e-08
1.000000e+07 2.238721e+08 1.939599e-06 -5.280785e-08 1.730354e-08 3.802769e-03 8.699841e-09 1.083955e-08
1.000000e+07 2.511886e+08 1.939279e-06 -5.247140e-08 1.730354e-08 3.716208e-03 8.501808e-09 1.059281e-08
1.000000e+07 2.818383e+08 1.938638e-06 -5.211892e-08 1.730354e-08 3.629945e-03 8.304458e-09 1.034454e-08
1.000000e+07 3.162278e+08 1.937997e-06 -5.173439e-08 1.730354e-08 3.544867e-03 8.111689e-09 1.010442e-08
1.000000e+07 3.548134e+08 1.937036e-06 -5.131783e-08 1.730354e-08 3.462581e-03 7.925220e-09 9.869867e-09
1.000000e+07 3.981072e+08 1.935754e-06 -5.090126e-08 1.730354e-08 3.384543e-03 7.746603e-09 9.647423e-09
1.000000e+07 4.466836e+08 1.934472e-06 -5.043663e-08 1.730354e-08 3.310549e-03 7.580735e-09 9.436508e-09
1.000000e+07 5.011872e+08 1.932550e-06 -4.995597e-08 1.730354e-08 3.242649e-03 7.425254e-09 9.240837e-09
1.000000e+07 5.623413e+08 1.930306e-06 -4.944327e-08 1.730354e-08 3.179069e-03 7.283017e-09 9.059648e-09
1.000000e+07 6.309573e+08 1.927423e-06 -4.889853e-08 1.730354e-08 3.120326e-03 7.153380e-09 8.894290e-09
1.000000e+07 7.079458e+08 1.923738e-06 -4.832175e-08 1.730354e-08 3.067609e-03 7.037385e-09 8.744023e-09
1.000000e+07 7.943282e+08 1.919091e-06 -4.772894e-08 1.730354e-08 3.019952e-03 6.934439e-09 8.606197e-09
1.000000e+07 8.912509e+08 1.913323e-06 -4.708807e-08 1.730354e-08 2.977145e-03 6.844021e-09 8.484208e-09
1.000000e+07 1.000000e+09 1.905953e-06 -4.643118e-08 1.730354e-08 2.939003e-03 6.767236e-09 8.375511e-09
1.000000e+07 1.122018e+09 1.896661e-06 -4.572622e-08 1.730354e-08 2.905360e-03 6.702106e-09 8.281544e-09
1.000000e+07 1.258925e+09 1.885125e-06 -4.498921e-08 1.730354e-08 2.876074e-03 6.649842e-09 8.198064e-09
1.000000e+07 1.412538e+09 1.870385e-06 -4.423619e-08 1.730354e-08 2.851675e-03 6.613195e-09 8.128517e-09
1.000000e+07 1.584893e+09 1.851960e-06 -4.343510e-08 1.730354e-08 2.832044e-03 6.590393e-09 8.072560e-09
1.000000e+07 1.778279e+09 1.828568e-06 -4.260197e-08 1.730354e-08 2.817734e-03 6.585842e-09 8.031771e-09
1.000000e+07 1.995262e+09 1.799088e-06 -4.173679e-08 1.730354e-08 2.809312e-03 6.604064e-09 8.005921e-09
1.000000e+07 2.238721e+09 1.762078e-06 -4.083957e-08 1.730354e-08 2.809959e-03 6.659035e-09 8.000393e-09
1.000000e+07 2.511886e+09 1.715294e-06 -3.991030e-08 1.730354e-08 2.824880e-03 6.779713e-09 8.022529e-09
1.000000e+07 2.818383e+09 1.656814e-06 -3.896502e-08 1.730354e-08 2.866157e-03 7.027669e-09 8.079999e-09
1.000000e+07 3.162278e+09 1.583755e-06 -3.797167e-08 1.730354e-08 2.956651e-03 7.528549e-09 8.186746e-09
1.000000e+07 3.548134e+09 1.493232e-06 -4.069537e-08 1.730354e-08 3.146299e-03 8.529259e-09 8.390953e-09
1.000000e+07 3.981072e+09 1.382521e-06 -4.010257e-08 1.730354e-08 3.474561e-03 1.030413e-08 8.653889e-09
1.000000e+07 4.466836e+09 1.249861e-06 -3.483139e-08 1.730354e-08 4.014209e-03 1.328040e-08 8.980723e-09

1.000000e+08 1.000000e+07 3.883043e-06 -1.229513e-07 3.577668e-08 9.687239e-04 1.138705e-09 2.761285e-09
1.000000e+08 1.584893e+07 3.883524e-06 -1.226629e-07 3.577668e-08 9.707335e-04 1.142119e-09 2.767014e-09
1.000000e+08 2.511886e+07 3.884165e-06 -1.222784e-07 3.577668e-08 9.740921e-04 1.147655e-09 2.776587e-09
1.000000e+08 3.981072e+07 3.884646e-06 -1.217497e-07 3.577668e-08 9.781377e-04 1.154280e-09 2.788119e-09
1.000000e+08 6.309573e+07 3.884646e-06 -1.210447e-07 3.577668e-08 9.792645e-04 1.157741e-09 2.791331e-09
1.000000e+08 1.000000e+08 3.884325e-06 -1.200834e-07 3.577668e-08 9.638290e-04 1.140542e-09 2.747333e-09
1.000000e+08 1.122018e+08 3.884165e-06 -1.197950e-07 3.577668e-08 9.552125e-04 1.130346e-09 2.722145e-09
1.000000e+08 1.258925e+08 3.884165e-06 -1.194906e-07 3.577668e-08 9.440609e-04 1.117150e-09 2.690985e-09
1.000000e+08 1.412538e+08 3.884005e-06 -1.191541e-07 3.577668e-08 9.308935e-04 1.101568e-09 2.652842e-09
1.000000e+08 1.584893e+08 3.884005e-06 -1.188016e-07 3.577668e-08 9.153770e-04 1.083456e-09 2.609224e-09
1.000000e+08 1.778279e+08 3.883845e-06 -1.184171e-07 3.577668e-08 8.982557e-04 1.063436e-09 2.560421e-09
1.000000e+08 1.995262e+08 3.883684e-06 -1.180166e-07 3.577668e-08 8.800351e-04 1.042105e-09 2.507906e-09
1.000000e+08 2.238721e+08 3.883524e-06 -1.175840e-07 3.577668e-08 8.607955e-04 1.019791e-09 2.453078e-09
1.000000e+08 2.511886e+08 3.883364e-06 -1.171033e-07 3.577668e-08 8.412014e-04 9.972667e-10 2.397791e-09
1.000000e+08 2.818383e+08 3.883043e-06 -1.166067e-07 3.577668e-08 8.218641e-04 9.750150e-10 2.342671e-09
1.000000e+08 3.162278e+08 3.882723e-06 -1.160779e-07 3.577668e-08 8.029713e-04 9.534794e-10 2.288818e-09
1.000000e+08 3.548134e+08 3.882403e-06 -1.155012e-07 3.577668e-08 7.848741e-04 9.332786e-10 2.237233e-09
1.000000e+08 3.981072e+08 3.881922e-06 -1.148923e-07 3.577668e-08 7.678917e-04 9.143476e-10 2.188322e-09
1.000000e+08 4.466836e+08 3.881121e-06 -1.142354e-07 3.577668e-08 7.521423e-04 8.976588e-10 2.143933e-09
1.000000e+08 5.011872e+08 3.880320e-06 -1.135305e-07 3.577668e-08 7.379042e-04 8.828996e-10 2.102865e-09
1.000000e+08 5.623413e+08 3.879198e-06 -1.127935e-07 3.577668e-08 7.251035e-04 8.705853e-10 2.066861e-09
1.000000e+08 6.309573e+08 3.877916e-06 -1.120084e-07 3.577668e-08 7.140029e-04 8.610162e-10 2.034751e-09
1.000000e+08 7.079458e+08 3.876154e-06 -1.111592e-07 3.577668e-08 7.046931e-04 8.544985e-10 2.008683e-09
1.000000e+08 7.943282e+08 3.874071e-06 -1.102620e-07 3.577668e-08 6.972684e-04 8.513562e-10 1.987519e-09
1.000000e+08 8.912509e+08 3.871348e-06 -1.093167e-07 3.577668e-08 6.919903e-04 8.519445e-10 1.972474e-09
1.000000e+08 1.000000e+09 3.867983e-06 -1.083234e-07 3.577668e-08 6.889695e-04 8.570602e-10 1.963864e-09
1.000000e+08 1.122018e+09 3.863817e-06 -1.072499e-07 3.577668e-08 6.883352e-04 8.675835e-10 1.962056e-09
1.000000e+08 1.258925e+09 3.858370e-06 -1.061284e-07 3.577668e-08 6.907168e-04 8.841202e-10 1.968844e-09
1.000000e+08 1.412538e+09 3.851801e-06 -1.049428e-07 3.577668e-08 6.964661e-04 9.080532e-10 1.985232e-09
1.000000e+08 1.584893e+09 3.843309e-06 -1.036931e-07 3.577668e-08 7.061549e-04 9.416973e-10 2.012386e-09
1.000000e+08 1.778279e+09 3.832575e-06 -1.023633e-07 3.577668e-08 7.207755e-04 9.878962e-10 2.054051e-09
1.000000e+08 1.995262e+09 3.819277e-06 -1.009854e-07 3.577668e-08 7.419933e-04 1.051747e-09 2.113057e-09
1.000000e+08 2.238721e+09 3.802294e-06 -9.952742e-08 3.577668e-08 7.726806e-04 1.144488e-09 2.194883e-09
1.000000e+08 2.511886e+09 3.781145e-06 -9.800535e-08 3.577668e-08 8.182764e-04 1.289767e-09 2.306276e-09
1.000000e+08 2.818383e+09 3.754388e-06 -9.640317e-08 3.577668e-08 8.896107e-04 1.537841e-09 2.457035e-09
1.000000e+08 3.162278e+09 3.720743e-06 -9.472088e-08 3.577668e-08 1.006932e-03 1.985689e-09 2.661407e-09
1.000000e+08 3.548134e+09 3.678285e-06 -9.299053e-08 3.577668e-08 1.204204e-03 2.803569e-09 2.935022e-09
