!28P (3+, 2+, 3+, 0+, 1+, 1+, 2+) -> 28Si,  e-capture,  with screening effects
!USDB    GT+F                Q=14.3437 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
7.00              7.00              1.94921e-06  5.96490e-08  1.85372e-08  -5.85010e-01      2.81813e-06      3.33450e-06
7.00              7.20              1.94729e-06  5.94408e-08  1.85372e-08  -5.84440e-01      2.82196e-06      3.33895e-06
7.00              7.40              1.94472e-06  5.91363e-08  1.85372e-08  -5.83760e-01      2.82657e-06      3.34426e-06
7.00              7.60              1.94232e-06  5.87518e-08  1.85372e-08  -5.82550e-01      2.83472e-06      3.35359e-06
7.00              7.80              1.94088e-06  5.82231e-08  1.85372e-08  -5.81240e-01      2.84374e-06      3.36388e-06
7.00              8.00              1.93992e-06  5.75181e-08  1.85372e-08  -5.80180e-01      2.85109e-06      3.37218e-06
7.00              8.05              1.93976e-06  5.73259e-08  1.85372e-08  -5.79980e-01      2.85247e-06      3.37373e-06
7.00              8.10              1.93960e-06  5.71016e-08  1.85372e-08  -5.79820e-01      2.85365e-06      3.37505e-06
7.00              8.15              1.93943e-06  5.68612e-08  1.85372e-08  -5.79690e-01      2.85463e-06      3.37614e-06
7.00              8.20              1.93927e-06  5.66049e-08  1.85372e-08  -5.79570e-01      2.85549e-06      3.37715e-06
7.00              8.25              1.93911e-06  5.63325e-08  1.85372e-08  -5.79530e-01      2.85575e-06      3.37762e-06
7.00              8.30              1.93879e-06  5.60441e-08  1.85372e-08  -5.79500e-01      2.85588e-06      3.37824e-06
7.00              8.35              1.93847e-06  5.57237e-08  1.85372e-08  -5.79620e-01      2.85477e-06      3.37793e-06
7.00              8.40              1.93799e-06  5.54033e-08  1.85372e-08  -5.79760e-01      2.85332e-06      3.37777e-06
7.00              8.45              1.93751e-06  5.50508e-08  1.85372e-08  -5.80070e-01      2.85030e-06      3.37676e-06
7.00              8.50              1.93671e-06  5.46663e-08  1.85372e-08  -5.80570e-01      2.84551e-06      3.37497e-06
7.00              8.55              1.93575e-06  5.42657e-08  1.85372e-08  -5.81330e-01      2.83838e-06      3.37202e-06
7.00              8.60              1.93463e-06  5.38492e-08  1.85372e-08  -5.82260e-01      2.82957e-06      3.36861e-06
7.00              8.65              1.93319e-06  5.34005e-08  1.85372e-08  -5.83370e-01      2.81890e-06      3.36473e-06
7.00              8.70              1.93126e-06  5.29199e-08  1.85372e-08  -5.84790e-01      2.80550e-06      3.35931e-06
7.00              8.75              1.92902e-06  5.24072e-08  1.85372e-08  -5.86340e-01      2.79081e-06      3.35382e-06
