!21Na (3/2+, 5/2+, 7/2+) -> 21Ne,  e-capture,  with screening effects
!USDB  GT+Fermi     Q(21Na-21Ne) = 3.5471 MeV
!Experimental data are used.
!
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
7.00              7.00              1.95417e-06  4.78891e-08  1.36025e-08  -1.27250e+00      3.37964e-07      3.90670e-09
7.00              7.20              1.95225e-06  4.76487e-08  1.36025e-08  -1.27860e+00      3.32989e-07      3.84158e-09
7.00              7.40              1.94953e-06  4.73123e-08  1.36025e-08  -1.28110e+00      3.31002e-07      3.81514e-09
7.00              7.60              1.94729e-06  4.68637e-08  1.36025e-08  -1.28050e+00      3.31528e-07      3.82305e-09
7.00              7.80              1.94584e-06  4.62709e-08  1.36025e-08  -1.27900e+00      3.32736e-07      3.83982e-09
7.00              8.00              1.94488e-06  4.55018e-08  1.36025e-08  -1.27800e+00      3.33634e-07      3.85310e-09
7.00              8.05              1.94472e-06  4.52615e-08  1.36025e-08  -1.27780e+00      3.33811e-07      3.85576e-09
7.00              8.10              1.94456e-06  4.50212e-08  1.36025e-08  -1.27760e+00      3.33965e-07      3.85843e-09
7.00              8.15              1.94440e-06  4.47648e-08  1.36025e-08  -1.27750e+00      3.34118e-07      3.86109e-09
7.00              8.20              1.94424e-06  4.44764e-08  1.36025e-08  -1.27730e+00      3.34280e-07      3.86465e-09
7.00              8.25              1.94408e-06  4.41880e-08  1.36025e-08  -1.27720e+00      3.34411e-07      3.86732e-09
7.00              8.30              1.94376e-06  4.38676e-08  1.36025e-08  -1.27700e+00      3.34588e-07      3.87089e-09
7.00              8.35              1.94344e-06  4.35311e-08  1.36025e-08  -1.27690e+00      3.34711e-07      3.87445e-09
7.00              8.40              1.94296e-06  4.31787e-08  1.36025e-08  -1.27670e+00      3.34935e-07      3.87981e-09
7.00              8.45              1.94232e-06  4.27941e-08  1.36025e-08  -1.27650e+00      3.35159e-07      3.88517e-09
7.00              8.50              1.94168e-06  4.23936e-08  1.36025e-08  -1.27630e+00      3.35413e-07      3.89234e-09
7.00              8.55              1.94072e-06  4.19770e-08  1.36025e-08  -1.27610e+00      3.35684e-07      3.90041e-09
7.00              8.60              1.93960e-06  4.15284e-08  1.36025e-08  -1.27580e+00      3.36078e-07      3.91210e-09
7.00              8.65              1.93815e-06  4.10478e-08  1.36025e-08  -1.27530e+00      3.36589e-07      3.93016e-09
7.00              8.70              1.93623e-06  4.05511e-08  1.36025e-08  -1.27490e+00      3.37132e-07      3.95740e-09
7.00              8.75              1.93399e-06  4.00224e-08  1.36025e-08  -1.27430e+00      3.37863e-07      4.00323e-09
7.00              8.80              1.93110e-06  3.94616e-08  1.36025e-08  -1.27350e+00      3.38774e-07      4.08047e-09
7.00              8.85              1.92742e-06  3.88848e-08  1.36025e-08  -1.27260e+00      3.39860e-07      4.20349e-09
7.00              8.90              1.92277e-06  3.82760e-08  1.36025e-08  -1.27150e+00      3.41256e-07      4.39755e-09
7.00              8.95              1.91700e-06  3.76351e-08  1.36025e-08  -1.27010e+00      3.42981e-07      4.68393e-09
7.00              9.00              1.90963e-06  3.69782e-08  1.36025e-08  -1.26830e+00      3.45096e-07      5.08874e-09
