!26Al (GT: 5+, 3+, 1+, 2+, 1+, F: 0+, 2+, T=1)  -> 26Mg      e-capture, with screening effects
!GT+F     USDB   Q=4.0045 MeV
!Experimental data are used.
!
!g/cm^3           K                 erg          erg          erg          Log(1/s)          erg/s            erg/s
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
7.00              7.00              1.95177e-06  5.39293e-08  1.60698e-08  -6.71160e+00      8.45688e-14      1.34403e-12
7.00              7.20              1.94985e-06  5.37050e-08  1.60698e-08  -6.71200e+00      8.44910e-14      1.34311e-12
7.00              7.40              1.94713e-06  5.34005e-08  1.60698e-08  -6.71090e+00      8.47638e-14      1.34620e-12
7.00              7.60              1.94488e-06  5.29840e-08  1.60698e-08  -6.70580e+00      8.61213e-14      1.36242e-12
7.00              7.80              1.94328e-06  5.24232e-08  1.60698e-08  -6.69910e+00      8.79854e-14      1.38360e-12
7.00              8.00              1.94248e-06  5.16862e-08  1.60698e-08  -6.69270e+00      8.99105e-14      1.40414e-12
7.00              8.05              1.94232e-06  5.14619e-08  1.60698e-08  -6.69090e+00      9.04712e-14      1.40965e-12
7.00              8.10              1.94216e-06  5.12376e-08  1.60698e-08  -6.68910e+00      9.11403e-14      1.41550e-12
7.00              8.15              1.94200e-06  5.09813e-08  1.60698e-08  -6.68700e+00      9.22594e-14      1.42204e-12
7.00              8.20              1.94184e-06  5.07249e-08  1.60698e-08  -6.68380e+00      9.61414e-14      1.42992e-12
7.00              8.25              1.94152e-06  5.04365e-08  1.60698e-08  -6.67630e+00      1.15056e-13      1.43817e-12
7.00              8.30              1.94136e-06  5.01321e-08  1.60698e-08  -6.65000e+00      2.03241e-13      1.44881e-12
7.00              8.35              1.94088e-06  4.98117e-08  1.60698e-08  -6.56440e+00      5.57199e-13      1.46087e-12
7.00              8.40              1.94056e-06  4.94592e-08  1.60698e-08  -6.36050e+00      1.76649e-12      1.47608e-12
7.00              8.45              1.93992e-06  4.90907e-08  1.60698e-08  -6.03800e+00      5.34700e-12      1.49489e-12
7.00              8.50              1.93911e-06  4.87062e-08  1.60698e-08  -5.66400e+00      1.47032e-11      1.51918e-12
7.00              8.55              1.93815e-06  4.83056e-08  1.60698e-08  -5.29470e+00      3.64595e-11      1.55600e-12
7.00              8.60              1.93703e-06  4.78570e-08  1.60698e-08  -4.95210e+00      8.20938e-11      1.63046e-12
7.00              8.65              1.93559e-06  4.73924e-08  1.60698e-08  -4.64150e+00      1.69477e-10      1.81681e-12
7.00              8.70              1.93383e-06  4.69117e-08  1.60698e-08  -4.36260e+00      3.23452e-10      2.30840e-12
7.00              8.75              1.93142e-06  4.63990e-08  1.60698e-08  -4.11300e+00      5.75586e-10      3.55394e-12
7.00              8.80              1.92870e-06  4.58383e-08  1.60698e-08  -3.88930e+00      9.64074e-10      6.46265e-12
7.00              8.85              1.92502e-06  4.52615e-08  1.60698e-08  -3.68970e+00      1.52584e-09      1.26302e-11
7.00              8.90              1.92037e-06  4.46687e-08  1.60698e-08  -3.51090e+00      2.30097e-09      2.46610e-11
7.00              8.95              1.91460e-06  4.40278e-08  1.60698e-08  -3.35100e+00      3.31979e-09      4.62605e-11
7.00              9.00              1.90723e-06  4.33549e-08  1.60698e-08  -3.20800e+00      4.60692e-09      8.23778e-11
7.00              9.05              1.89794e-06  4.26660e-08  1.60698e-08  -3.08020e+00      6.17320e-09      1.38967e-10
7.00              9.10              1.88624e-06  4.19290e-08  1.60698e-08  -2.96570e+00      8.01882e-09      2.22900e-10
7.00              9.15              1.87166e-06  4.11759e-08  1.60698e-08  -2.86330e+00      1.01394e-08      3.41515e-10
7.00              9.20              1.85308e-06  4.03749e-08  1.60698e-08  -2.77130e+00      1.25173e-08      5.03049e-10
7.00              9.25              1.82985e-06  3.95577e-08  1.60698e-08  -2.68830e+00      1.51499e-08      7.16490e-10
7.00              9.30              1.80037e-06  3.87086e-08  1.60698e-08  -2.61290e+00      1.80431e-08      9.92683e-10
7.00              9.35              1.76320e-06  3.78274e-08  1.60698e-08  -2.54340e+00      2.12281e-08      1.34558e-09
7.00              9.40              1.71657e-06  3.69141e-08  1.60698e-08  -2.47820e+00      2.47748e-08      1.79560e-09
7.00              9.45              1.65809e-06  3.59689e-08  1.60698e-08  -2.41590e+00      2.88012e-08      2.37143e-09
7.00              9.50              1.58503e-06  3.83241e-08  1.60698e-08  -2.35490e+00      3.34588e-08      3.11179e-09
7.00              9.55              1.49451e-06  3.40142e-08  1.60698e-08  -2.29230e+00      3.91841e-08      4.09836e-09
7.00              9.60              1.38364e-06  3.29728e-08  1.60698e-08  -2.22710e+00      4.63458e-08      5.42139e-09
7.00              9.65              1.25114e-06  3.18993e-08  1.60698e-08  -2.15600e+00      5.58098e-08      7.25622e-09
8.00              7.00              3.88560e-06  1.16735e-07  3.32291e-08  -3.84520e+00      2.13949e-10      1.06982e-09
8.00              7.20              3.88608e-06  1.16446e-07  3.32291e-08  -3.84560e+00      2.13752e-10      1.06883e-09
8.00              7.40              3.88672e-06  1.16046e-07  3.32291e-08  -3.84700e+00      2.12966e-10      1.06515e-09
8.00              7.60              3.88720e-06  1.15501e-07  3.32291e-08  -3.84930e+00      2.11597e-10      1.05952e-09
8.00              7.80              3.88720e-06  1.14764e-07  3.32291e-08  -3.85180e+00      2.10238e-10      1.05344e-09
8.00              8.00              3.88688e-06  1.13771e-07  3.32291e-08  -3.85280e+00      2.09706e-10      1.05078e-09
8.00              8.05              3.88672e-06  1.13482e-07  3.32291e-08  -3.85280e+00      2.09754e-10      1.05078e-09
8.00              8.10              3.88672e-06  1.13162e-07  3.32291e-08  -3.85270e+00      2.09851e-10      1.05126e-09
8.00              8.15              3.88656e-06  1.12825e-07  3.32291e-08  -3.85240e+00      2.10044e-10      1.05174e-09
8.00              8.20              3.88656e-06  1.12457e-07  3.32291e-08  -3.85200e+00      2.10334e-10      1.05271e-09
8.00              8.25              3.88640e-06  1.12072e-07  3.32291e-08  -3.85140e+00      2.10965e-10      1.05393e-09
8.00              8.30              3.88624e-06  1.11640e-07  3.32291e-08  -3.85040e+00      2.12721e-10      1.05538e-09
8.00              8.35              3.88608e-06  1.11191e-07  3.32291e-08  -3.84780e+00      2.18781e-10      1.05709e-09
8.00              8.40              3.88592e-06  1.10710e-07  3.32291e-08  -3.84050e+00      2.38512e-10      1.05928e-09
8.00              8.45              3.88560e-06  1.10198e-07  3.32291e-08  -3.82100e+00      2.95808e-10      1.06148e-09
8.00              8.50              3.88528e-06  1.09653e-07  3.32291e-08  -3.77480e+00      4.44642e-10      1.06441e-09
8.00              8.55              3.88496e-06  1.09076e-07  3.32291e-08  -3.68410e+00      7.89788e-10      1.06810e-09
8.00              8.60              3.88448e-06  1.08451e-07  3.32291e-08  -3.54000e+00      1.51255e-09      1.07303e-09
8.00              8.65              3.88368e-06  1.07778e-07  3.32291e-08  -3.35270e+00      2.89541e-09      1.08096e-09
8.00              8.70              3.88288e-06  1.07073e-07  3.32291e-08  -3.14380e+00      5.33102e-09      1.09650e-09
8.00              8.75              3.88175e-06  1.06304e-07  3.32291e-08  -2.93270e+00      9.31988e-09      1.12956e-09
8.00              8.80              3.88047e-06  1.05503e-07  3.32291e-08  -2.73020e+00      1.54636e-08      1.20036e-09
8.00              8.85              3.87871e-06  1.04654e-07  3.32291e-08  -2.54240e+00      2.43506e-08      1.34311e-09
8.00              8.90              3.87663e-06  1.03741e-07  3.32291e-08  -2.37020e+00      3.66109e-08      1.61477e-09
8.00              8.95              3.87390e-06  1.02796e-07  3.32291e-08  -2.21410e+00      5.27242e-08      2.09464e-09
8.00              9.00              3.87054e-06  1.01770e-07  3.32291e-08  -2.07300e+00      7.30820e-08      2.88476e-09
8.00              9.05              3.86637e-06  1.00697e-07  3.32291e-08  -1.94610e+00      9.78161e-08      4.10592e-09
8.00              9.10              3.86093e-06  9.95593e-08  3.32291e-08  -1.83210e+00      1.26885e-07      5.88722e-09
8.00              9.15              3.85420e-06  9.83576e-08  3.32291e-08  -1.72990e+00      1.60107e-07      8.35815e-09
8.00              9.20              3.84586e-06  9.71079e-08  3.32291e-08  -1.63810e+00      1.97129e-07      1.16389e-08
8.00              9.25              3.83513e-06  9.57781e-08  3.32291e-08  -1.55550e+00      2.37635e-07      1.58420e-08
8.00              9.30              3.82183e-06  9.43842e-08  3.32291e-08  -1.48080e+00      2.81449e-07      2.10722e-08
8.00              9.35              3.80485e-06  9.29262e-08  3.32291e-08  -1.41270e+00      3.28685e-07      2.74606e-08
8.00              9.40              3.78370e-06  9.14042e-08  3.32291e-08  -1.34960e+00      3.79918e-07      3.51812e-08
8.00              9.45              3.75694e-06  8.98020e-08  3.32291e-08  -1.29030e+00      4.36185e-07      4.44847e-08
8.00              9.50              3.72330e-06  8.81357e-08  3.32291e-08  -1.23320e+00      4.99356e-07      5.57841e-08
8.00              9.55              3.68084e-06  8.64054e-08  3.32291e-08  -1.17710e+00      5.72032e-07      6.96483e-08
8.00              9.60              3.62749e-06  8.46109e-08  3.32291e-08  -1.12050e+00      6.58037e-07      8.69782e-08
8.00              9.65              3.56052e-06  8.27524e-08  3.32291e-08  -1.06260e+00      7.62308e-07      1.08971e-07
8.02              7.00              3.95369e-06  1.18545e-07  3.37258e-08  -3.78660e+00      2.51079e-10      1.22662e-09
8.02              7.20              3.95225e-06  1.18257e-07  3.37258e-08  -3.78660e+00      2.51079e-10      1.22634e-09
8.02              7.40              3.94985e-06  1.17856e-07  3.37258e-08  -3.78910e+00      2.49408e-10      1.21930e-09
8.02              7.60              3.94712e-06  1.17311e-07  3.37258e-08  -3.79540e+00      2.45194e-10      1.20146e-09
8.02              7.80              3.94552e-06  1.16558e-07  3.37258e-08  -3.79950e+00      2.42499e-10      1.19017e-09
8.02              8.00              3.94456e-06  1.15581e-07  3.37258e-08  -3.80050e+00      2.41886e-10      1.18744e-09
8.02              8.05              3.94440e-06  1.15277e-07  3.37258e-08  -3.80040e+00      2.42053e-10      1.18771e-09
8.02              8.10              3.94424e-06  1.14956e-07  3.37258e-08  -3.80020e+00      2.42164e-10      1.18826e-09
8.02              8.15              3.94408e-06  1.14620e-07  3.37258e-08  -3.79990e+00      2.42443e-10      1.18908e-09
8.02              8.20              3.94408e-06  1.14251e-07  3.37258e-08  -3.79950e+00      2.42779e-10      1.19017e-09
8.02              8.25              3.94392e-06  1.13851e-07  3.37258e-08  -3.79890e+00      2.43506e-10      1.19154e-09
8.02              8.30              3.94376e-06  1.13434e-07  3.37258e-08  -3.79790e+00      2.45364e-10      1.19319e-09
8.02              8.35              3.94360e-06  1.12985e-07  3.37258e-08  -3.79550e+00      2.51832e-10      1.19512e-09
8.02              8.40              3.94344e-06  1.12505e-07  3.37258e-08  -3.78860e+00      2.72779e-10      1.19704e-09
8.02              8.45              3.94312e-06  1.11976e-07  3.37258e-08  -3.77020e+00      3.33665e-10      1.19980e-09
8.02              8.50              3.94280e-06  1.11431e-07  3.37258e-08  -3.72660e+00      4.91598e-10      1.20285e-09
8.02              8.55              3.94248e-06  1.10839e-07  3.37258e-08  -3.64040e+00      8.58046e-10      1.20701e-09
8.02              8.60              3.94200e-06  1.10214e-07  3.37258e-08  -3.50180e+00      1.62559e-09      1.21230e-09
8.02              8.65              3.94135e-06  1.09541e-07  3.37258e-08  -3.31940e+00      3.09393e-09      1.22099e-09
8.02              8.70              3.94039e-06  1.08820e-07  3.37258e-08  -3.11420e+00      5.67950e-09      1.23769e-09
8.02              8.75              3.93943e-06  1.08067e-07  3.37258e-08  -2.90530e+00      9.91540e-09      1.27324e-09
8.02              8.80              3.93799e-06  1.07250e-07  3.37258e-08  -2.70410e+00      1.64328e-08      1.34837e-09
8.02              8.85              3.93639e-06  1.06385e-07  3.37258e-08  -2.51700e+00      2.58708e-08      1.50179e-09
8.02              8.90              3.93430e-06  1.05471e-07  3.37258e-08  -2.34530e+00      3.88875e-08      1.79271e-09
8.02              8.95              3.93158e-06  1.04510e-07  3.37258e-08  -2.18950e+00      5.60029e-08      2.30521e-09
8.02              9.00              3.92838e-06  1.03485e-07  3.37258e-08  -2.04850e+00      7.76087e-08      3.15072e-09
8.02              9.05              3.92421e-06  1.02395e-07  3.37258e-08  -1.92170e+00      1.03875e-07      4.45667e-09
8.02              9.10              3.91892e-06  1.01258e-07  3.37258e-08  -1.80780e+00      1.34744e-07      6.36225e-09
8.02              9.15              3.91236e-06  1.00056e-07  3.37258e-08  -1.70550e+00      1.70020e-07      9.00141e-09
8.02              9.20              3.90402e-06  9.87742e-08  3.37258e-08  -1.61380e+00      2.09334e-07      1.25058e-08
8.02              9.25              3.89345e-06  9.74444e-08  3.37258e-08  -1.53120e+00      2.52342e-07      1.69946e-08
8.02              9.30              3.88031e-06  9.60345e-08  3.37258e-08  -1.45650e+00      2.98869e-07      2.25793e-08
8.02              9.35              3.86365e-06  9.45605e-08  3.37258e-08  -1.38840e+00      3.48988e-07      2.93907e-08
8.02              9.40              3.84266e-06  9.30224e-08  3.37258e-08  -1.32540e+00      4.03293e-07      3.76106e-08
8.02              9.45              3.81638e-06  9.14202e-08  3.37258e-08  -1.26610e+00      4.62978e-07      4.75128e-08
8.02              9.50              3.78322e-06  8.97379e-08  3.37258e-08  -1.20910e+00      5.29859e-07      5.94991e-08
8.02              9.55              3.74156e-06  8.79915e-08  3.37258e-08  -1.15300e+00      6.06765e-07      7.42182e-08
8.02              9.60              3.68901e-06  8.61651e-08  3.37258e-08  -1.09660e+00      6.97687e-07      9.25572e-08
8.02              9.65              3.62300e-06  8.42905e-08  3.37258e-08  -1.03880e+00      8.07775e-07      1.15827e-07
8.04              7.00              4.00384e-06  1.20388e-07  3.42385e-08  -3.75880e+00      2.70963e-10      1.30891e-09
8.04              7.20              4.00368e-06  1.20099e-07  3.42385e-08  -3.75550e+00      2.73470e-10      1.31890e-09
8.04              7.40              4.00352e-06  1.19683e-07  3.42385e-08  -3.75330e+00      2.75113e-10      1.32559e-09
8.04              7.60              4.00320e-06  1.19138e-07  3.42385e-08  -3.75150e+00      2.76510e-10      1.33141e-09
8.04              7.80              4.00304e-06  1.18401e-07  3.42385e-08  -3.75010e+00      2.77594e-10      1.33601e-09
8.04              8.00              4.00272e-06  1.17408e-07  3.42385e-08  -3.74890e+00      2.78619e-10      1.33971e-09
8.04              8.05              4.00272e-06  1.17103e-07  3.42385e-08  -3.74850e+00      2.78940e-10      1.34094e-09
8.04              8.10              4.00272e-06  1.16783e-07  3.42385e-08  -3.74810e+00      2.79197e-10      1.34187e-09
8.04              8.15              4.00256e-06  1.16430e-07  3.42385e-08  -3.74780e+00      2.79583e-10      1.34311e-09
8.04              8.20              4.00256e-06  1.16062e-07  3.42385e-08  -3.74730e+00      2.80034e-10      1.34434e-09
8.04              8.25              4.00240e-06  1.15677e-07  3.42385e-08  -3.74670e+00      2.80809e-10      1.34620e-09
8.04              8.30              4.00224e-06  1.15245e-07  3.42385e-08  -3.74580e+00      2.82820e-10      1.34775e-09
8.04              8.35              4.00208e-06  1.14796e-07  3.42385e-08  -3.74350e+00      2.89741e-10      1.34993e-09
8.04              8.40              4.00192e-06  1.14299e-07  3.42385e-08  -3.73700e+00      3.12040e-10      1.35242e-09
8.04              8.45              4.00160e-06  1.13787e-07  3.42385e-08  -3.71970e+00      3.76626e-10      1.35491e-09
8.04              8.50              4.00128e-06  1.13226e-07  3.42385e-08  -3.67860e+00      5.44390e-10      1.35835e-09
8.04              8.55              4.00080e-06  1.12633e-07  3.42385e-08  -3.59660e+00      9.33492e-10      1.36273e-09
8.04              8.60              4.00031e-06  1.12008e-07  3.42385e-08  -3.46340e+00      1.74828e-09      1.36871e-09
8.04              8.65              3.99967e-06  1.11319e-07  3.42385e-08  -3.28590e+00      3.30682e-09      1.37788e-09
8.04              8.70              3.99887e-06  1.10598e-07  3.42385e-08  -3.08420e+00      6.05216e-09      1.39576e-09
8.04              8.75              3.99791e-06  1.09845e-07  3.42385e-08  -2.87770e+00      1.05490e-08      1.43354e-09
8.04              8.80              3.99663e-06  1.09028e-07  3.42385e-08  -2.67780e+00      1.74747e-08      1.51464e-09
8.04              8.85              3.99503e-06  1.08163e-07  3.42385e-08  -2.49150e+00      2.74923e-08      1.67884e-09
8.04              8.90              3.99278e-06  1.07234e-07  3.42385e-08  -2.32030e+00      4.13153e-08      1.98935e-09
8.04              8.95              3.99038e-06  1.06256e-07  3.42385e-08  -2.16470e+00      5.94854e-08      2.53869e-09
8.04              9.00              3.98702e-06  1.05231e-07  3.42385e-08  -2.02390e+00      8.24348e-08      3.44279e-09
8.04              9.05              3.98301e-06  1.04141e-07  3.42385e-08  -1.89720e+00      1.10334e-07      4.83961e-09
8.04              9.10              3.97772e-06  1.02988e-07  3.42385e-08  -1.78330e+00      1.43123e-07      6.87718e-09
8.04              9.15              3.97132e-06  1.01770e-07  3.42385e-08  -1.68110e+00      1.80589e-07      9.69863e-09
8.04              9.20              3.96298e-06  1.00489e-07  3.42385e-08  -1.58940e+00      2.22352e-07      1.34434e-08
8.04              9.25              3.95273e-06  9.91267e-08  3.42385e-08  -1.50680e+00      2.68034e-07      1.82352e-08
8.04              9.30              3.93975e-06  9.77168e-08  3.42385e-08  -1.43220e+00      3.17424e-07      2.41942e-08
8.04              9.35              3.92341e-06  9.62267e-08  3.42385e-08  -1.36410e+00      3.70621e-07      3.14565e-08
8.04              9.40              3.90274e-06  9.46726e-08  3.42385e-08  -1.30110e+00      4.28243e-07      4.02171e-08
8.04              9.45              3.87679e-06  9.30544e-08  3.42385e-08  -1.24180e+00      4.91519e-07      5.07470e-08
8.04              9.50              3.84410e-06  9.13561e-08  3.42385e-08  -1.18490e+00      5.62368e-07      6.34907e-08
8.04              9.55              3.80309e-06  8.95937e-08  3.42385e-08  -1.12890e+00      6.43784e-07      7.90880e-08
8.04              9.60              3.75134e-06  8.77512e-08  3.42385e-08  -1.07260e+00      7.39930e-07      9.85395e-08
8.04              9.65              3.68645e-06  8.58606e-08  3.42385e-08  -1.01500e+00      8.56190e-07      1.23143e-07
8.06              7.00              4.05383e-06  1.22262e-07  3.47512e-08  -3.71160e+00      3.08255e-10      1.46120e-09
8.06              7.20              4.05511e-06  1.21958e-07  3.47512e-08  -3.71140e+00      3.08468e-10      1.46221e-09
8.06              7.40              4.05703e-06  1.21557e-07  3.47512e-08  -3.71020e+00      3.09535e-10      1.46626e-09
8.06              7.60              4.05943e-06  1.20996e-07  3.47512e-08  -3.70570e+00      3.13336e-10      1.48153e-09
8.06              7.80              4.06120e-06  1.20259e-07  3.47512e-08  -3.70050e+00      3.17915e-10      1.49972e-09
8.06              8.00              4.06200e-06  1.19250e-07  3.47512e-08  -3.69740e+00      3.20782e-10      1.51046e-09
8.06              8.05              4.06200e-06  1.18962e-07  3.47512e-08  -3.69690e+00      3.21300e-10      1.51255e-09
8.06              8.10              4.06200e-06  1.18625e-07  3.47512e-08  -3.69640e+00      3.21744e-10      1.51429e-09
8.06              8.15              4.06200e-06  1.18289e-07  3.47512e-08  -3.69600e+00      3.22189e-10      1.51569e-09
8.06              8.20              4.06200e-06  1.17920e-07  3.47512e-08  -3.69540e+00      3.22783e-10      1.51779e-09
8.06              8.25              4.06184e-06  1.17520e-07  3.47512e-08  -3.69490e+00      3.23601e-10      1.51918e-09
8.06              8.30              4.06168e-06  1.17087e-07  3.47512e-08  -3.69390e+00      3.25844e-10      1.52128e-09
8.06              8.35              4.06152e-06  1.16622e-07  3.47512e-08  -3.69170e+00      3.33204e-10      1.52374e-09
8.06              8.40              4.06120e-06  1.16142e-07  3.47512e-08  -3.68570e+00      3.56870e-10      1.52620e-09
8.06              8.45              4.06104e-06  1.15613e-07  3.47512e-08  -3.66940e+00      4.25609e-10      1.52936e-09
8.06              8.50              4.06072e-06  1.15052e-07  3.47512e-08  -3.63060e+00      6.03824e-10      1.53289e-09
8.06              8.55              4.06024e-06  1.14459e-07  3.47512e-08  -3.55260e+00      1.01698e-09      1.53748e-09
8.06              8.60              4.05976e-06  1.13819e-07  3.47512e-08  -3.42460e+00      1.88239e-09      1.54387e-09
8.06              8.65              4.05911e-06  1.13146e-07  3.47512e-08  -3.25200e+00      3.53761e-09      1.55385e-09
8.06              8.70              4.05847e-06  1.12425e-07  3.47512e-08  -3.05400e+00      6.45372e-09      1.57330e-09
8.06              8.75              4.05735e-06  1.11640e-07  3.47512e-08  -2.84980e+00      1.12282e-08      1.61403e-09
8.06              8.80              4.05607e-06  1.10823e-07  3.47512e-08  -2.65140e+00      1.85785e-08      1.70024e-09
8.06              8.85              4.05447e-06  1.09957e-07  3.47512e-08  -2.46590e+00      2.92220e-08      1.87590e-09
8.06              8.90              4.05239e-06  1.09028e-07  3.47512e-08  -2.29520e+00      4.39046e-08      2.20907e-09
8.06              8.95              4.04982e-06  1.08035e-07  3.47512e-08  -2.13990e+00      6.32136e-08      2.79647e-09
8.06              9.00              4.04662e-06  1.06993e-07  3.47512e-08  -1.99930e+00      8.76013e-08      3.76453e-09
8.06              9.05              4.04261e-06  1.05904e-07  3.47512e-08  -1.87270e+00      1.17222e-07      5.25788e-09
8.06              9.10              4.03749e-06  1.04734e-07  3.47512e-08  -1.75890e+00      1.52058e-07      7.43550e-09
8.06              9.15              4.03108e-06  1.03501e-07  3.47512e-08  -1.65670e+00      1.91863e-07      1.04547e-08
8.06              9.20              4.02307e-06  1.02219e-07  3.47512e-08  -1.56490e+00      2.36222e-07      1.44581e-08
8.06              9.25              4.01281e-06  1.00857e-07  3.47512e-08  -1.48240e+00      2.84748e-07      1.95754e-08
8.06              9.30              4.00015e-06  9.94311e-08  3.47512e-08  -1.40770e+00      3.37218e-07      2.59364e-08
8.06              9.35              3.98397e-06  9.79250e-08  3.47512e-08  -1.33960e+00      3.93695e-07      3.36830e-08
8.06              9.40              3.96362e-06  9.63549e-08  3.47512e-08  -1.27660e+00      4.54852e-07      4.30141e-08
8.06              9.45              3.93815e-06  9.47207e-08  3.47512e-08  -1.21740e+00      5.21928e-07      5.42264e-08
8.06              9.50              3.90595e-06  9.30064e-08  3.47512e-08  -1.16060e+00      5.96995e-07      6.77658e-08
8.06              9.55              3.86557e-06  9.12119e-08  3.47512e-08  -1.10470e+00      6.83204e-07      8.43355e-08
8.06              9.60              3.81462e-06  8.93694e-08  3.47512e-08  -1.04860e+00      7.84857e-07      1.04933e-07
8.06              9.65              3.75054e-06  8.74468e-08  3.47512e-08  -9.91130e-01      9.07675e-07      1.30982e-07
8.08              7.00              4.12304e-06  1.24153e-07  3.52799e-08  -3.65640e+00      3.58683e-10      1.66230e-09
8.08              7.20              4.12304e-06  1.23864e-07  3.52799e-08  -3.65590e+00      3.59179e-10      1.66422e-09
8.08              7.40              4.12272e-06  1.23448e-07  3.52799e-08  -3.65440e+00      3.60670e-10      1.66998e-09
8.08              7.60              4.12256e-06  1.22903e-07  3.52799e-08  -3.65150e+00      3.63589e-10      1.68155e-09
