!21F (5/2+, 1/2+, 3/2+, 9/2+) -> 21O,  e-capture,  with screening effects
!USDB   GT    Q(21F-21O) = -8.1095 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!Log(g/cm^3)      Log(K)            erg          erg          erg          Log(1/s)          Log(erg/s)       Log(erg/s)
7.00              7.00              1.95658e-06  4.14323e-08  1.11191e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.20              1.95482e-06  4.11599e-08  1.11191e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.40              1.95209e-06  4.08074e-08  1.11191e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.60              1.94985e-06  4.03268e-08  1.11191e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              7.80              1.94825e-06  3.96859e-08  1.11191e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              8.00              1.94745e-06  3.88688e-08  1.11191e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              8.05              1.94729e-06  3.86125e-08  1.11191e-08  -5.00000e+02      -5.05795e+02     -5.05795e+02
7.00              8.10              1.94713e-06  3.83561e-08  1.11191e-08  -3.05100e+02      -3.12385e+02     -5.05795e+02
7.00              8.15              1.94697e-06  3.80837e-08  1.11191e-08  -2.72630e+02      -2.79865e+02     -3.22015e+02
7.00              8.20              1.94680e-06  3.77953e-08  1.11191e-08  -2.43620e+02      -2.50815e+02     -2.88275e+02
7.00              8.25              1.94648e-06  3.74749e-08  1.11191e-08  -2.17790e+02      -2.24935e+02     -2.58215e+02
7.00              8.30              1.94632e-06  3.71545e-08  1.11191e-08  -1.94750e+02      -2.01835e+02     -2.31395e+02
7.00              8.35              1.94584e-06  3.68020e-08  1.11191e-08  -1.74190e+02      -1.81225e+02     -2.07495e+02
7.00              8.40              1.94536e-06  3.64335e-08  1.11191e-08  -1.55850e+02      -1.62835e+02     -1.86165e+02
