!26Si (0+, 2+)  -> 26Al       e-capture,     with screening effects
!GT+F    USDB       Q = 5.0691 MeV
!Experimental data are used.
!
!Log(rhoY)        Log(T)            mu           dQ           Vs           Log(e-cap-rate)   nu-energy-loss   gamma-energy
!Log(g/cm^3)      Log(K)            erg          erg          erg          Log(1/s)          Log(erg/s)       Log(erg/s)
7.00              7.00              1.95049e-06  5.68292e-08  1.73035e-08  -6.43860e-01      -5.76235e+00     -5.73737e+00
7.00              7.20              1.94857e-06  5.66049e-08  1.73035e-08  -6.43350e-01      -5.76181e+00     -5.73730e+00
7.00              7.40              1.94584e-06  5.63005e-08  1.73035e-08  -6.42760e-01      -5.76118e+00     -5.73723e+00
7.00              7.60              1.94360e-06  5.58999e-08  1.73035e-08  -6.41410e-01      -5.75974e+00     -5.73705e+00
7.00              7.80              1.94216e-06  5.53552e-08  1.73035e-08  -6.39880e-01      -5.75811e+00     -5.73685e+00
7.00              8.00              1.94120e-06  5.46502e-08  1.73035e-08  -6.38740e-01      -5.75686e+00     -5.73670e+00
7.00              8.05              1.94104e-06  5.44259e-08  1.73035e-08  -6.38530e-01      -5.75662e+00     -5.73667e+00
7.00              8.10              1.94088e-06  5.42016e-08  1.73035e-08  -6.38350e-01      -5.75642e+00     -5.73665e+00
7.00              8.15              1.94072e-06  5.39613e-08  1.73035e-08  -6.38190e-01      -5.75623e+00     -5.73663e+00
7.00              8.20              1.94056e-06  5.37050e-08  1.73035e-08  -6.38040e-01      -5.75603e+00     -5.73660e+00
7.00              8.25              1.94040e-06  5.34166e-08  1.73035e-08  -6.37930e-01      -5.75589e+00     -5.73659e+00
7.00              8.30              1.94008e-06  5.31282e-08  1.73035e-08  -6.37780e-01      -5.75569e+00     -5.73657e+00
7.00              8.35              1.93960e-06  5.28077e-08  1.73035e-08  -6.37710e-01      -5.75556e+00     -5.73655e+00
7.00              8.40              1.93927e-06  5.24713e-08  1.73035e-08  -6.37540e-01      -5.75533e+00     -5.73653e+00
7.00              8.45              1.93863e-06  5.21188e-08  1.73035e-08  -6.37390e-01      -5.75510e+00     -5.73650e+00
7.00              8.50              1.93799e-06  5.17343e-08  1.73035e-08  -6.37220e-01      -5.75484e+00     -5.73648e+00
7.00              8.55              1.93703e-06  5.13177e-08  1.73035e-08  -6.37070e-01      -5.75457e+00     -5.73645e+00
7.00              8.60              1.93575e-06  5.09012e-08  1.73035e-08  -6.36810e-01      -5.75417e+00     -5.73641e+00
7.00              8.65              1.93447e-06  5.04365e-08  1.73035e-08  -6.36450e-01      -5.75364e+00     -5.73635e+00
7.00              8.70              1.93255e-06  4.99559e-08  1.73035e-08  -6.36120e-01      -5.75310e+00     -5.73629e+00
7.00              8.75              1.93030e-06  4.94432e-08  1.73035e-08  -6.35650e-01      -5.75236e+00     -5.73621e+00
7.00              8.80              1.92742e-06  4.88984e-08  1.73035e-08  -6.35050e-01      -5.75144e+00     -5.73612e+00
7.00              8.85              1.92373e-06  4.83216e-08  1.73035e-08  -6.34380e-01      -5.75038e+00     -5.73600e+00
7.00              8.90              1.91909e-06  4.77288e-08  1.73035e-08  -6.33500e-01      -5.74901e+00     -5.73586e+00
7.00              8.95              1.91332e-06  4.70880e-08  1.73035e-08  -6.32460e-01      -5.74735e+00     -5.73568e+00
7.00              9.00              1.90595e-06  4.64311e-08  1.73035e-08  -6.31200e-01      -5.74534e+00     -5.73547e+00
7.00              9.05              1.89666e-06  4.57261e-08  1.73035e-08  -6.29620e-01      -5.74283e+00     -5.73520e+00
7.00              9.10              1.88512e-06  4.49891e-08  1.73035e-08  -6.27640e-01      -5.73970e+00     -5.73486e+00
7.00              9.15              1.87038e-06  4.42361e-08  1.73035e-08  -6.25210e-01      -5.73584e+00     -5.73444e+00
7.00              9.20              1.85196e-06  4.34350e-08  1.73035e-08  -6.22240e-01      -5.73110e+00     -5.73393e+00
7.00              9.25              1.82856e-06  4.26019e-08  1.73035e-08  -6.18600e-01      -5.72531e+00     -5.73330e+00
7.00              9.30              1.79908e-06  4.17367e-08  1.73035e-08  -6.14200e-01      -5.71826e+00     -5.73255e+00
7.00              9.35              1.76207e-06  4.08395e-08  1.73035e-08  -6.08840e-01      -5.70966e+00     -5.73165e+00
7.00              9.40              1.71529e-06  3.99102e-08  1.73035e-08  -6.02310e-01      -5.69918e+00     -5.73064e+00
7.00              9.45              1.65681e-06  3.89649e-08  1.73035e-08  -5.94360e-01      -5.68642e+00     -5.72957e+00
7.00              9.50              1.58375e-06  3.79716e-08  1.73035e-08  -5.84530e-01      -5.67075e+00     -5.72853e+00
7.00              9.55              1.49323e-06  4.06953e-08  1.73035e-08  -5.72650e-01      -5.65196e+00     -5.72774e+00
7.00              9.60              1.38252e-06  4.01025e-08  1.73035e-08  -5.56710e-01      -5.62749e+00     -5.72708e+00
7.00              9.65              1.24986e-06  3.48313e-08  1.73035e-08  -5.34530e-01      -5.59486e+00     -5.72627e+00
8.00              7.00              3.88304e-06  1.22951e-07  3.57766e-08   4.91520e-01      -4.55569e+00     -5.29913e+00
8.00              7.20              3.88352e-06  1.22663e-07  3.57766e-08   4.90840e-01      -4.55639e+00     -5.29961e+00
8.00              7.40              3.88416e-06  1.22278e-07  3.57766e-08   4.89710e-01      -4.55759e+00     -5.30041e+00
8.00              7.60              3.88464e-06  1.21749e-07  3.57766e-08   4.88360e-01      -4.55899e+00     -5.30137e+00
8.00              7.80              3.88464e-06  1.21044e-07  3.57766e-08   4.87070e-01      -4.56039e+00     -5.30227e+00
8.00              8.00              3.88432e-06  1.20083e-07  3.57766e-08   4.86400e-01      -4.56109e+00     -5.30274e+00
8.00              8.05              3.88416e-06  1.19795e-07  3.57766e-08   4.86330e-01      -4.56119e+00     -5.30278e+00
8.00              8.10              3.88416e-06  1.19490e-07  3.57766e-08   4.86300e-01      -4.56119e+00     -5.30280e+00
8.00              8.15              3.88400e-06  1.19154e-07  3.57766e-08   4.86290e-01      -4.56119e+00     -5.30279e+00
8.00              8.20              3.88400e-06  1.18801e-07  3.57766e-08   4.86320e-01      -4.56109e+00     -5.30276e+00
8.00              8.25              3.88384e-06  1.18417e-07  3.57766e-08   4.86370e-01      -4.56099e+00     -5.30272e+00
8.00              8.30              3.88368e-06  1.18016e-07  3.57766e-08   4.86410e-01      -4.56099e+00     -5.30268e+00
8.00              8.35              3.88352e-06  1.17584e-07  3.57766e-08   4.86480e-01      -4.56089e+00     -5.30262e+00
8.00              8.40              3.88336e-06  1.17103e-07  3.57766e-08   4.86590e-01      -4.56069e+00     -5.30253e+00
8.00              8.45              3.88304e-06  1.16606e-07  3.57766e-08   4.86660e-01      -4.56059e+00     -5.30246e+00
8.00              8.50              3.88271e-06  1.16078e-07  3.57766e-08   4.86770e-01      -4.56039e+00     -5.30236e+00
