# Ground state spin evaluation table: nubase2020
# if the ==Spin== column contain more than two values, the gs state is uncertain.
#
#==Nuclide==                 ==Spin==                  ==Number=of=States
n                               1/2                            2  
h1                              1/2                            2  
h2                              1                              3  
h3                              1/2                            2  
he3                             1/2                            2  
li3                             3/2                            4  
h4                              2                              5  
he4                             0                              1  
li4                             2                              5  
h5                              1/2                            2  
he5                             3/2                            4  
li5                             3/2                            4  
be5                             1/2                            2  
h6                              2                              5  
he6                             0                              1  
li6                             1                              3  
be6                             0                              1  
b6                              2                              5  
h7                              1/2                            2  
he7                             3/2                            4  
li7                             3/2                            4  
be7                             3/2                            4  
b7                              3/2                            4  
he8                             0                              1  
li8                             2                              5  
be8                             0                              1  
b8                              2                              5  
c8                              0                              1  
he9                             1/2                            2  
li9                             3/2                            4  
be9                             3/2                            4  
b9                              3/2                            4  
c9                              3/2                            4  
he10                            0                              1  
li10                            1    2                         3   5  
be10                            0                              1  
b10                             3                              7  
c10                             0                              1  
n10                             1    2                         3   5  
li11                            3/2                            4  
be11                            1/2                            2  
b11                             3/2                            4  
c11                             3/2                            4  
n11                             1/2                            2  
o11                             3/2                            4  
li12                            1    2                         3   5  
be12                            0                              1  
b12                             1                              3  
c12                             0                              1  
n12                             1                              3  
o12                             0                              1  
li13                            3/2                            4  
be13                            1/2                            2  
b13                             3/2                            4  
c13                             1/2                            2  
n13                             1/2                            2  
o13                             3/2                            4  
f13                             1/2                            2  
be14                            0                              1  
b14                             2                              5  
c14                             0                              1  
n14                             1                              3  
o14                             0                              1  
f14                             2                              5  
be15                            5/2                            6  
b15                             3/2                            4  
c15                             1/2                            2  
n15                             1/2                            2  
o15                             1/2                            2  
f15                             1/2                            2  
ne15                            3/2                            4  
be16                            0                              1  
b16                             0                              1  
c16                             0                              1  
n16                             2                              5  
o16                             0                              1  
f16                             0                              1  
ne16                            0                              1  
b17                             3/2                            4  
c17                             3/2                            4  
n17                             1/2                            2  
o17                             5/2                            6  
f17                             5/2                            6  
ne17                            1/2                            2  
na17                            1/2                            2  
b18                             2                              5  
c18                             0                              1  
n18                             1                              3  
o18                             0                              1  
f18                             1                              3  
ne18                            0                              1  
na18                            1                              3  
b19                             3/2                            4  
c19                             1/2                            2  
n19                             1/2                            2  
o19                             5/2                            6  
f19                             1/2                            2  
ne19                            1/2                            2  
na19                            5/2                            6  
mg19                            1/2                            2  
b20                             1    2                         3   5  
c20                             0                              1  
n20                             2                              5  
o20                             0                              1  
f20                             2                              5  
ne20                            0                              1  
na20                            2                              5  
mg20                            0                              1  
b21                             3/2                            4  
c21                             1/2                            2  
n21                             1/2                            2  
o21                             5/2                            6  
f21                             5/2                            6  
ne21                            3/2                            4  
na21                            3/2                            4  
mg21                            5/2                            6  
al21                            5/2                            6  
c22                             0                              1  
n22                             0                              1  
o22                             0                              1  
f22                             4                              9  
ne22                            0                              1  
na22                            3                              7  
mg22                            0                              1  
al22                            4                              9  
si22                            0                              1  
c23                             3/2                            4  
n23                             1/2                            2  
o23                             1/2                            2  
f23                             5/2                            6  
ne23                            5/2                            6  
na23                            3/2                            4  
mg23                            3/2                            4  
al23                            5/2                            6  
si23                            3/2                            4  
o24                             0                              1  
f24                             3                              7  
ne24                            0                              1  
na24                            4                              9  
mg24                            0                              1  
al24                            4                              9  
si24                            0                              1  
p24                             1                              3  
n25                             1/2                            2  
o25                             3/2                            4  
f25                             5/2                            6  
ne25                            1/2                            2  
na25                            5/2                            6  
mg25                            5/2                            6  
al25                            5/2                            6  
si25                            5/2                            6  
p25                             1/2                            2  
o26                             0                              1  
f26                             1                              3  
ne26                            0                              1  
na26                            3                              7  
mg26                            0                              1  
al26                            5                              11 
si26                            0                              1  
p26                             3                              7  
s26                             0                              1  
o27                             3/2                            4  
f27                             5/2                            6  
ne27                            3/2                            4  
na27                            5/2                            6  
mg27                            1/2                            2  
al27                            5/2                            6  
si27                            5/2                            6  
p27                             1/2                            2  
s27                             5/2                            6  
o28                             0                              1  
f28                             4                              9  
ne28                            0                              1  
na28                            1                              3  
mg28                            0                              1  
al28                            3                              7  
si28                            0                              1  
p28                             3                              7  
s28                             0                              1  
cl28                            1                              3  
f29                             5/2                            6  
ne29                            3/2                            4  
na29                            3/2                            4  
mg29                            3/2                            4  
al29                            5/2                            6  
si29                            1/2                            2  
p29                             1/2                            2  
s29                             5/2                            6  
cl29                            1/2                            2  
ar29                            5/2                            6  
ne30                            0                              1  
na30                            2                              5  
mg30                            0                              1  
al30                            3                              7  
si30                            0                              1  
p30                             1                              3  
s30                             0                              1  
cl30                            3                              7  
ar30                            0                              1  
f31                             5/2                            6  
ne31                            3/2                            4  
na31                            3/2                            4  
mg31                            1/2                            2  
al31                            5/2                            6  
si31                            3/2                            4  
p31                             1/2                            2  
s31                             1/2                            2  
cl31                            3/2                            4  
ar31                            5/2                            6  
k31                             3/2                            4  
ne32                            0                              1  
na32                            3                              7  
mg32                            0                              1  
al32                            1                              3  
si32                            0                              1  
p32                             1                              3  
s32                             0                              1  
cl32                            1                              3  
ar32                            0                              1  
k32                             1                              3  
ne33                            7/2                            8  
na33                            3/2                            4  
mg33                            3/2                            4  
al33                            5/2                            6  
si33                            3/2                            4  
p33                             1/2                            2  
s33                             3/2                            4  
cl33                            3/2                            4  
ar33                            1/2                            2  
k33                             3/2                            4  
ca33                            5/2                            6  
ne34                            0                              1  
na34                            1                              3  
mg34                            0                              1  
al34                            4                              9  
si34                            0                              1  
p34                             1                              3  
s34                             0                              1  
cl34                            0                              1  
ar34                            0                              1  
k34                             1                              3  
ca34                            0                              1  
na35                            3/2                            4  
mg35                            3/2  5/2                       4   6  
al35                            5/2  3/2                       6   4  
si35                            7/2                            8  
p35                             1/2                            2  
s35                             3/2                            4  
cl35                            3/2                            4  
ar35                            3/2                            4  
k35                             3/2                            4  
ca35                            1/2                            2  
sc35                            7/2                            8  
mg36                            0                              1  
si36                            0                              1  
p36                             4                              9  
s36                             0                              1  
cl36                            2                              5  
ar36                            0                              1  
k36                             2                              5  
ca36                            0                              1  
na37                            3/2                            4  
mg37                            3/2                            4  
al37                            5/2                            6  
si37                            5/2                            6  
p37                             1/2                            2  
s37                             7/2                            8  
cl37                            3/2                            4  
ar37                            3/2                            4  
k37                             3/2                            4  
ca37                            3/2                            4  
sc37                            7/2                            8  
ti37                            1/2                            2  
mg38                            0                              1  
al38                            0                              1  
si38                            0                              1  
p38                             2                              5  
s38                             0                              1  
cl38                            2                              5  
ar38                            0                              1  
k38                             3                              7  
ca38                            0                              1  
sc38                            2                              5  
ti38                            0                              1  
na39                            3/2                            4  
mg39                            7/2                            8  
al39                            5/2                            6  
si39                            5/2                            6  
p39                             1/2                            2  
s39                             7/2                            8  
cl39                            3/2                            4  
ar39                            7/2                            8  
k39                             3/2                            4  
ca39                            3/2                            4  
sc39                            7/2                            8  
ti39                            3/2                            4  
v39                             7/2                            8  
mg40                            0                              1  
si40                            0                              1  
p40                             2    3                         5   7  
s40                             0                              1  
cl40                            2                              5  
ar40                            0                              1  
k40                             4                              9  
ca40                            0                              1  
sc40                            4                              9  
ti40                            0                              1  
v40                             2                              5  
mg41                            3/2                            4  
al41                            5/2                            6  
si41                            7/2                            8  
p41                             1/2                            2  
s41                             7/2                            8  
cl41                            1/2                            2  
ar41                            7/2                            8  
k41                             3/2                            4  
ca41                            7/2                            8  
sc41                            7/2                            8  
ti41                            3/2                            4  
v41                             7/2                            8  
cr41                            3/2                            4  
si42                            0                              1  
s42                             0                              1  
cl42                            2                              5  
ar42                            0                              1  
k42                             2                              5  
ca42                            0                              1  
sc42                            0                              1  
ti42                            0                              1  
v42                             2                              5  
cr42                            0                              1  
al43                            5/2                            6  
si43                            3/2                            4  
p43                             1/2                            2  
s43                             3/2                            4  
cl43                            3/2                            4  
ar43                            5/2                            6  
k43                             3/2                            4  
ca43                            7/2                            8  
sc43                            7/2                            8  
ti43                            7/2                            8  
v43                             7/2                            8  
cr43                            3/2                            4  
mn43                            5/2                            6  
si44                            0                              1  
s44                             0                              1  
cl44                            2                              5  
ar44                            0                              1  
k44                             2                              5  
ca44                            0                              1  
sc44                            2                              5  
ti44                            0                              1  
v44                             2                              5  
cr44                            0                              1  
mn44                            2                              5  
si45                            3/2                            4  
p45                             1/2                            2  
s45                             3/2                            4  
cl45                            3/2                            4  
ar45                            5/2  7/2                       6   8  
k45                             3/2                            4  
ca45                            7/2                            8  
sc45                            7/2                            8  
ti45                            7/2                            8  
v45                             7/2                            8  
cr45                            7/2                            8  
mn45                            5/2                            6  
fe45                            3/2                            4  
s46                             0                              1  
cl46                            2                              5  
ar46                            0                              1  
k46                             2                              5  
ca46                            0                              1  
sc46                            4                              9  
ti46                            0                              1  
v46                             0                              1  
cr46                            0                              1  
mn46                            4                              9  
fe46                            0                              1  
p47                             1/2                            2  
s47                             3/2                            4  
cl47                            3/2                            4  
ar47                            3/2                            4  
k47                             1/2                            2  
ca47                            7/2                            8  
sc47                            7/2                            8  
ti47                            5/2                            6  
v47                             3/2                            4  
