# Ground state spin evaluation table: spins2020
# if the ==Spin== column contain more than two values, the gs state is uncertain.
#
#==A==                      ==Z==                  ==Spin==                  ==Number=of=States==            ==Experimental==            ==Theoretical==
    1                         0                       1/2                            2                             s                             s  
    1                         1                       1/2                            2                             s                             s  
    2                         1                       1                              3                             s                             s  
    3                         1                       1/2                            2                             s                             s  
    3                         2                       1/2                            2                             s                             s  
    3                         3                       3/2                            4                             w                             s  
    4                         1                       2                              5                             s                             w  
    4                         2                       0                              1                             s                             w  
    4                         3                       2                              5                             s                             w  
    5                         1                       1/2                            2                             w                             w  
    5                         2                       3/2                            4                             s                             w  
    5                         3                       3/2                            4                             s                             w  
    5                         4                       1/2                            2                             w                             s  
    6                         1                       2                              5                             w                             s  
    6                         2                       0                              1                             s                             w  
    6                         3                       1                              3                             s                             s  
    6                         4                       0                              1                             s                             w  
    6                         5                       2                              5                             w                             s  
    7                         1                       1/2                            2                             w                             s  
    7                         2                       3/2                            4                             w                             w  
    7                         3                       3/2                            4                             s                             s  
    7                         4                       3/2                            4                             s                             w  
    7                         5                       3/2                            4                             w                             w  
    8                         2                       0                              1                             s                             w  
    8                         3                       2                              5                             s                             w  
    8                         4                       0                              1                             s                             w  
    8                         5                       2                              5                             s                             w  
    8                         6                       0                              1                             s                             w  
    9                         2                       1/2                            2                             s                             w  
    9                         3                       3/2                            4                             s                             w  
    9                         4                       3/2                            4                             s                             s  
    9                         5                       3/2                            4                             s                             w  
    9                         6                       3/2                            4                             s                             w  
   10                         2                       0                              1                             s                             w  
   10                         4                       0                              1                             s                             w  
   10                         5                       3                              7                             s                             s  
   10                         6                       0                              1                             s                             w  
   11                         3                       3/2                            4                             s                             s  
   11                         4                       1/2                            2                             s                             s  
   11                         5                       3/2                            4                             s                             s  
   11                         6                       3/2                            4                             s                             s  
   11                         7                       1/2                            2                             s                             w  
   11                         8                       3/2                            4                             w                             w  
   12                         4                       0                              1                             s                             w  
   12                         5                       1                              3                             s                             s  
   12                         6                       0                              1                             s                             w  
   12                         7                       1                              3                             s                             s  
   12                         8                       0                              1                             s                             w  
   13                         3                       3/2                            4                             w                             s  
   13                         4                       1/2                            2                             w                             w  
   13                         5                       3/2                            4                             s                             w  
   13                         6                       1/2                            2                             s                             s  
   13                         7                       1/2                            2                             s                             s  
   13                         8                       3/2                            4                             w                             w  
   13                         9                       1/2                            2                             w                             s  
   14                         4                       0                              1                             s                             w  
   14                         5                       2                              5                             s                             w  
   14                         6                       0                              1                             s                             w  
   14                         7                       1                              3                             s                             s  
   14                         8                       0                              1                             s                             w  
   14                         9                       2                              5                             s                             w  
   15                         4                       5/2                            6                             w                             w  
   15                         5                       3/2                            4                             s                             w  
   15                         6                       1/2                            2                             s                             w  
   15                         7                       1/2                            2                             s                             s  
   15                         8                       1/2                            2                             s                             s  
   15                         9                       1/2                            2                             s                             w  
   15                        10                       3/2                            4                             w                             w  
   16                         4                       0                              1                             s                             w  
   16                         5                       0                              1                             w                             s  
   16                         6                       0                              1                             s                             w  
   16                         7                       2                              5                             s                             w  
   16                         8                       0                              1                             s                             w  
   16                         9                       0                              1                             s                             w  
   16                        10                       0                              1                             s                             w  
   17                         5                       3/2                            4                             w                             w  
   17                         6                       3/2                            4                             s                             w  
   17                         7                       1/2                            2                             s                             w  
   17                         8                       5/2                            6                             s                             s  
   17                         9                       5/2                            6                             s                             w  
   17                        10                       1/2                            2                             s                             s  
   17                        11                       1/2                            2                             w                             w  
   18                         5                       2                              5                             w                             w  
   18                         6                       0                              1                             s                             w  
   18                         7                       1                              3                             s                             w  
   18                         8                       0                              1                             s                             w  
   18                         9                       1                              3                             s                             w  
   18                        10                       0                              1                             s                             w  
   18                        11                       1                              3                             w                             s  
   19                         5                       3/2                            4                             w                             w  
   19                         6                       1/2                            2                             s                             w  
   19                         7                       1/2                            2                             s                             w  
   19                         8                       5/2                            6                             s                             w  
   19                         9                       1/2                            2                             s                             s  
   19                        10                       1/2                            2                             s                             s  
   19                        11                       5/2                            6                             w                             w  
   19                        12                       1/2                            2                             w                             s  
   20                         6                       0                              1                             s                             w  
   20                         7                       2                              5                             w                             w  
   20                         8                       0                              1                             s                             w  
   20                         9                       2                              5                             s                             w  
   20                        10                       0                              1                             s                             w  
   20                        11                       2                              5                             s                             s  
   20                        12                       0                              1                             s                             w  
   21                         5                       3/2                            4                             w                             w  
   21                         6                       1/2                            2                             w                             s  
   21                         7                       1/2                            2                             w                             w  
   21                         8                       5/2                            6                             w                             w  
   21                         9                       5/2                            6                             s                             w  
   21                        10                       3/2                            4                             s                             s  
   21                        11                       3/2                            4                             s                             s  
   21                        12                       5/2                            6                             s                             s  
   21                        13                       5/2                            6                             w                             s  
   22                         6                       0                              1                             s                             w  
   22                         7                       0                              1                             w                             s  
   22                         8                       0                              1                             s                             w  
   22                         9                       4                              9                             w                             w  
   22                        10                       0                              1                             s                             w  
   22                        11                       3                              7                             s                             s  
   22                        12                       0                              1                             s                             w  
   22                        13                       4                              9                             w                             w  
   22                        14                       0                              1                             s                             w  
   23                         6                       3/2                            4                             w                             s  
   23                         7                       1/2                            2                             w                             s  
   23                         8                       1/2                            2                             s                             w  
   23                         9                       5/2                            6                             s                             w  
   23                        10                       5/2                            6                             s                             s  
   23                        11                       3/2                            4                             s                             s  
   23                        12                       3/2                            4                             s                             s  
   23                        13                       5/2                            6                             s                             w  
   23                        14                       3/2                            4                             w                             s  
   24                         8                       0                              1                             s                             w  
   24                         9                       3                              7                             s                             w  
   24                        10                       0                              1                             s                             w  
   24                        11                       4                              9                             s                             s  
   24                        12                       0                              1                             s                             w  
   24                        13                       4                              9                             s                             w  
   24                        14                       0                              1                             s                             w  
   24                        15                       1                              3                             w                             s  
   25                         7                       1/2                            2                             w                             s  
   25                         8                       3/2                            4                             w                             s  
   25                         9                       5/2                            6                             w                             w  
   25                        10                       1/2                            2                             s                             s  
   25                        11                       5/2                            6                             s                             s  
   25                        12                       5/2                            6                             s                             s  
   25                        13                       5/2                            6                             s                             w  
   25                        14                       5/2                            6                             s                             w  
   25                        15                       1/2                            2                             w                             s  
   26                         8                       0                              1                             s                             w  
   26                         9                       1                              3                             s                             w  
   26                        10                       0                              1                             s                             w  
   26                        11                       3                              7                             s                             s  
   26                        12                       0                              1                             s                             w  
   26                        13                       5                              11                            s                             w  
   26                        14                       0                              1                             s                             w  
   26                        15                       3                              7                             w                             w  
   26                        16                       0                              1                             s                             w  
   27                         8                       3/2                            4                             w                             s  
   27                         9                       5/2                            6                             w                             s  
   27                        10                       3/2                            4                             w                             w  
   27                        11                       5/2                            6                             s                             s  
   27                        12                       1/2                            2                             s                             s  
   27                        13                       5/2                            6                             s                             s  
   27                        14                       5/2                            6                             s                             w  
   27                        15                       1/2                            2                             s                             w  
   27                        16                       5/2                            6                             w                             w  
   28                         8                       0                              1                             s                             w  
   28                         9                       4                              9                             w                             w  
   28                        10                       0                              1                             s                             w  
   28                        11                       1                              3                             s                             s  
